"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"AIR_3","PUBLISHED","2004","EMR","","AFG","16","15.56000","","",""
"AIR_3","PUBLISHED","2004","EUR","","ALB","9","9.34000","","",""
"AIR_3","PUBLISHED","2004","AFR","","DZA","25","24.73000","","",""
"AIR_3","PUBLISHED","2004","EUR","","AND","39","38.70000","","",""
"AIR_3","PUBLISHED","2004","AFR","","AGO","20","19.97000","","",""
"AIR_3","PUBLISHED","2004","AMR","","ATG","33","33.07000","","",""
"AIR_3","PUBLISHED","2004","AMR","","ARG","74","74.17000","","",""
"AIR_3","PUBLISHED","2004","EUR","","ARM","54","53.58000","","",""
"AIR_3","PUBLISHED","2004","WPR","","AUS","72","71.69000","","",""
"AIR_3","PUBLISHED","2004","EUR","","AUT","37","37.26000","","",""
"AIR_3","PUBLISHED","2004","EUR","","AZE","23","23.27000","","",""
"AIR_3","PUBLISHED","2004","AMR","","BHS","72","72.28000","","",""
"AIR_3","PUBLISHED","2004","EMR","","BHR","26","25.88000","","",""
"AIR_3","PUBLISHED","2004","SEAR","","BGD","9","8.88000","","",""
"AIR_3","PUBLISHED","2004","AMR","","BRB","4","3.94000","","",""
"AIR_3","PUBLISHED","2004","EUR","","BLR","49","48.56000","","",""
"AIR_3","PUBLISHED","2004","EUR","","BEL","34","34.03000","","",""
"AIR_3","PUBLISHED","2004","AMR","","BLZ","25","25.02000","","",""
"AIR_3","PUBLISHED","2004","AFR","","BEN","19","19.24000","","",""
"AIR_3","PUBLISHED","2004","SEAR","","BTN","3","2.62000","","",""
"AIR_3","PUBLISHED","2004","AMR","","BOL","45","44.85000","","",""
"AIR_3","PUBLISHED","2004","EUR","","BIH","37","37.27000","","",""
"AIR_3","PUBLISHED","2004","AFR","","BWA","13","12.73000","","",""
"AIR_3","PUBLISHED","2004","AMR","","BRA","45","45.43000","","",""
"AIR_3","PUBLISHED","2004","WPR","","BRN","30","29.64000","","",""
"AIR_3","PUBLISHED","2004","EUR","","BGR","37","37.05000","","",""
"AIR_3","PUBLISHED","2004","AFR","","BFA","14","14.11000","","",""
"AIR_3","PUBLISHED","2004","AFR","","BDI","7","7.04000","","",""
"AIR_3","PUBLISHED","2004","WPR","","KHM","8","8.41000","","",""
"AIR_3","PUBLISHED","2004","AFR","","CMR","27","27.33000","","",""
"AIR_3","PUBLISHED","2004","AMR","","CAN","79","79.19000","","",""
"AIR_3","PUBLISHED","2004","AFR","","CPV","5","4.99000","","",""
"AIR_3","PUBLISHED","2004","AFR","","CAF","20","20.01000","","",""
"AIR_3","PUBLISHED","2004","AFR","","TCD","19","18.81000","","",""
"AIR_3","PUBLISHED","2004","AMR","","CHL","57","56.60000","","",""
"AIR_3","PUBLISHED","2004","WPR","","CHN","37","37.18000","","",""
"AIR_3","PUBLISHED","2004","AMR","","COL","41","41.38000","","",""
"AIR_3","PUBLISHED","2004","AFR","","COM","7","6.72000","","",""
"AIR_3","PUBLISHED","2004","AFR","","COG","54","53.94000","","",""
"AIR_3","PUBLISHED","2004","AMR","","CRI","46","46.49000","","",""
"AIR_3","PUBLISHED","2004","AFR","","CIV","26","25.83000","","",""
"AIR_3","PUBLISHED","2004","EUR","","HRV","32","32.21000","","",""
"AIR_3","PUBLISHED","2004","AMR","","CUB","39","39.35000","","",""
"AIR_3","PUBLISHED","2004","EUR","","CYP","48","48.04000","","",""
"AIR_3","PUBLISHED","2004","EUR","","CZE","24","24.18000","","",""
"AIR_3","PUBLISHED","2004","SEAR","","PRK","31","31.00000","","",""
"AIR_3","PUBLISHED","2004","AFR","WB_LI","COD","22","22.05000","","",""
"AIR_3","PUBLISHED","2004","EUR","","DNK","38","37.64000","","",""
"AIR_3","PUBLISHED","2004","EMR","","DJI","76","75.89000","","",""
"AIR_3","PUBLISHED","2004","AMR","","DMA","22","22.06000","","",""
"AIR_3","PUBLISHED","2004","AMR","","DOM","43","43.27000","","",""
"AIR_3","PUBLISHED","2004","AMR","","ECU","48","48.11000","","",""
"AIR_3","PUBLISHED","2004","EMR","","EGY","32","31.56000","","",""
"AIR_3","PUBLISHED","2004","AMR","","SLV","28","27.46000","","",""
"AIR_3","PUBLISHED","2004","AFR","","GNQ","25","25.26000","","",""
"AIR_3","PUBLISHED","2004","AFR","","ERI","16","16.43000","","",""
"AIR_3","PUBLISHED","2004","EUR","","EST","37","36.79000","","",""
"AIR_3","PUBLISHED","2004","AFR","","ETH","7","7.17000","","",""
"AIR_3","PUBLISHED","2004","WPR","","FJI","25","25.43000","","",""
"AIR_3","PUBLISHED","2004","EUR","","FIN","42","41.51000","","",""
"AIR_3","PUBLISHED","2004","EUR","","FRA","42","42.12000","","",""
"AIR_3","PUBLISHED","2004","AFR","","GAB","45","44.61000","","",""
"AIR_3","PUBLISHED","2004","AFR","","GMB","19","19.10000","","",""
"AIR_3","PUBLISHED","2004","EUR","","GEO","40","39.91000","","",""
"AIR_3","PUBLISHED","2004","EUR","","DEU","32","32.31000","","",""
"AIR_3","PUBLISHED","2004","AFR","","GHA","20","19.54000","","",""
"AIR_3","PUBLISHED","2004","EUR","","GRC","46","45.98000","","",""
"AIR_3","PUBLISHED","2004","AMR","","GTM","23","23.17000","","",""
"AIR_3","PUBLISHED","2004","AFR","","GIN","22","22.22000","","",""
"AIR_3","PUBLISHED","2004","AFR","","GNB","20","20.00000","","",""
"AIR_3","PUBLISHED","2004","AMR","","GUY","28","28.23000","","",""
"AIR_3","PUBLISHED","2004","AMR","","HTI","31","30.85000","","",""
"AIR_3","PUBLISHED","2004","AMR","","HND","31","31.18000","","",""
"AIR_3","PUBLISHED","2004","EUR","","HUN","32","31.69000","","",""
"AIR_3","PUBLISHED","2004","EUR","","ISL","59","58.67000","","",""
"AIR_3","PUBLISHED","2004","SEAR","","IND","19","18.70000","","",""
"AIR_3","PUBLISHED","2004","SEAR","","IDN","22","22.14000","","",""
"AIR_3","PUBLISHED","2004","EMR","","IRN","42","42.09000","","",""
"AIR_3","PUBLISHED","2004","EMR","","IRQ","58","58.38000","","",""
"AIR_3","PUBLISHED","2004","EUR","","IRL","32","31.72000","","",""
"AIR_3","PUBLISHED","2004","EUR","","ISR","80","79.72000","","",""
"AIR_3","PUBLISHED","2004","EUR","","ITA","27","26.62000","","",""
"AIR_3","PUBLISHED","2004","AMR","","JAM","27","26.76000","","",""
"AIR_3","PUBLISHED","2004","WPR","","JPN","64","63.69000","","",""
"AIR_3","PUBLISHED","2004","EMR","","JOR","49","49.00000","","",""
"AIR_3","PUBLISHED","2004","EUR","","KAZ","43","43.01000","","",""
"AIR_3","PUBLISHED","2004","AFR","","KEN","16","15.76000","","",""
"AIR_3","PUBLISHED","2004","EMR","","KWT","74","73.53000","","",""
"AIR_3","PUBLISHED","2004","EUR","","KGZ","16","16.14000","","",""
"AIR_3","PUBLISHED","2004","WPR","","LAO","4","3.76000","","",""
"AIR_3","PUBLISHED","2004","EUR","","LVA","42","41.78000","","",""
"AIR_3","PUBLISHED","2004","EMR","","LBN","74","73.76000","","",""
"AIR_3","PUBLISHED","2004","AFR","","LSO","10","9.84000","","",""
"AIR_3","PUBLISHED","2004","AFR","","LBR","17","16.73000","","",""
"AIR_3","PUBLISHED","2004","EMR","","LBY","85","84.84000","","",""
"AIR_3","PUBLISHED","2004","EUR","","LTU","42","41.89000","","",""
"AIR_3","PUBLISHED","2004","EUR","","LUX","19","18.92000","","",""
"AIR_3","PUBLISHED","2004","AFR","","MDG","15","14.63000","","",""
"AIR_3","PUBLISHED","2004","AFR","","MWI","10","9.82000","","",""
"AIR_3","PUBLISHED","2004","WPR","","MYS","28","27.83000","","",""
"AIR_3","PUBLISHED","2004","SEAR","","MDV","27","26.55000","","",""
"AIR_3","PUBLISHED","2004","AFR","","MLI","11","11.41000","","",""
"AIR_3","PUBLISHED","2004","AFR","","MRT","34","33.66000","","",""
"AIR_3","PUBLISHED","2004","AFR","","MUS","12","12.09000","","",""
"AIR_3","PUBLISHED","2004","AMR","","MEX","56","56.25000","","",""
"AIR_3","PUBLISHED","2004","WPR","","MNG","29","28.75000","","",""
"AIR_3","PUBLISHED","2004","EMR","","MAR","37","37.19000","","",""
"AIR_3","PUBLISHED","2004","AFR","","MOZ","25","25.38000","","",""
"AIR_3","PUBLISHED","2004","SEAR","","MMR","14","13.86000","","",""
"AIR_3","PUBLISHED","2004","AFR","","NAM","12","11.54000","","",""
"AIR_3","PUBLISHED","2004","SEAR","","NPL","4","4.03000","","",""
"AIR_3","PUBLISHED","2004","EUR","","NLD","52","52.46000","","",""
"AIR_3","PUBLISHED","2004","WPR","","NZL","70","70.31000","","",""
"AIR_3","PUBLISHED","2004","AMR","","NIC","26","25.82000","","",""
"AIR_3","PUBLISHED","2004","AFR","","NER","10","10.12000","","",""
"AIR_3","PUBLISHED","2004","AFR","","NGA","27","27.43000","","",""
"AIR_3","PUBLISHED","2004","EUR","","NOR","33","33.44000","","",""
"AIR_3","PUBLISHED","2004","EMR","","OMN","36","36.28000","","",""
"AIR_3","PUBLISHED","2004","EMR","","PAK","28","27.47000","","",""
"AIR_3","PUBLISHED","2004","AMR","","PAN","30","29.47000","","",""
"AIR_3","PUBLISHED","2004","WPR","","PNG","6","5.60000","","",""
"AIR_3","PUBLISHED","2004","AMR","","PRY","25","24.69000","","",""
"AIR_3","PUBLISHED","2004","AMR","","PER","52","52.50000","","",""
"AIR_3","PUBLISHED","2004","WPR","","PHL","41","40.96000","","",""
"AIR_3","PUBLISHED","2004","EUR","","POL","32","31.54000","","",""
"AIR_3","PUBLISHED","2004","EUR","","PRT","56","55.51000","","",""
"AIR_3","PUBLISHED","2004","EMR","","QAT","65","64.80000","","",""
"AIR_3","PUBLISHED","2004","WPR","","KOR","74","73.65000","","",""
"AIR_3","PUBLISHED","2004","EUR","","MDA","27","26.91000","","",""
"AIR_3","PUBLISHED","2004","EUR","","ROU","32","32.52000","","",""
"AIR_3","PUBLISHED","2004","EUR","","RUS","48","47.87000","","",""
"AIR_3","PUBLISHED","2004","AFR","","RWA","6","6.46000","","",""
"AIR_3","PUBLISHED","2004","AMR","","KNA","29","28.66000","","",""
"AIR_3","PUBLISHED","2004","AMR","","VCT","19","18.59000","","",""
"AIR_3","PUBLISHED","2004","AFR","","STP","27","27.04000","","",""
