"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"AIR_44","PUBLISHED","2012","WPR","BRN","29","28.79911","","",""
"AIR_44","PUBLISHED","2012","EUR","BGR","97 091","97090.69209","","",""
"AIR_44","PUBLISHED","2012","AFR","BFA","300 324","300323.79730","","",""
"AIR_44","PUBLISHED","2012","AFR","BDI","175 561","175560.67910","","",""
"AIR_44","PUBLISHED","2012","AMR","BRA","753 656","753655.92410","","",""
"AIR_44","PUBLISHED","2012","AFR","BWA","14 500","14500.43062","","",""
"AIR_44","PUBLISHED","2012","EUR","BIH","46 663","46662.57813","","",""
"AIR_44","PUBLISHED","2012","AMR","BOL","105 751","105751.37990","","",""
"AIR_44","PUBLISHED","2012","SEAR","BTN","9 477","9476.50284","","",""
"AIR_44","PUBLISHED","2012","AFR","BEN","159 471","159470.62320","","",""
"AIR_44","PUBLISHED","2012","AMR","BLZ","1 497","1496.93080","","",""
"AIR_44","PUBLISHED","2012","EUR","BEL","39 121","39120.66182","","",""
"AIR_44","PUBLISHED","2012","EUR","BLR","134 742","134742.31850","","",""
"AIR_44","PUBLISHED","2012","AMR","BRB","823","822.88602","","",""
"AIR_44","PUBLISHED","2012","SEAR","BGD","1 729 966","1729965.55100","","",""
"AIR_44","PUBLISHED","2012","EMR","BHR","9 437","9437.25694","","",""
"AIR_44","PUBLISHED","2012","AMR","BHS","2 026","2026.39859","","",""
"AIR_44","PUBLISHED","2012","EUR","AZE","128 763","128763.22050","","",""
"AIR_44","PUBLISHED","2012","EUR","AUT","29 933","29932.96711","","",""
"AIR_44","PUBLISHED","2012","WPR","AUS","1 108","1107.55792","","",""
"AIR_44","PUBLISHED","2012","EUR","ARM","44 472","44471.71910","","",""
"AIR_44","PUBLISHED","2012","AMR","ARG","194 939","194939.35240","","",""
"AIR_44","PUBLISHED","2012","AMR","ATG","512","511.65026","","",""
"AIR_44","PUBLISHED","2012","AFR","AGO","415 842","415842.03890","","",""
"AIR_44","PUBLISHED","2012","EUR","AND","215","214.68998","","",""
"AIR_44","PUBLISHED","2012","AFR","DZA","410 856","410856.14780","","",""
"AIR_44","PUBLISHED","2012","EUR","ALB","28 692","28692.22316","","",""
"AIR_44","PUBLISHED","2012","EMR","AFG","743 485","743484.62320","","",""
"AIR_44","PUBLISHED","2012","WPR","KHM","144 738","144737.50430","","",""
"AIR_44","PUBLISHED","2012","AFR","CMR","404 852","404851.91650","","",""
"AIR_44","PUBLISHED","2012","AMR","CAN","23 828","23827.90530","","",""
