"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"AIR_51","PUBLISHED","2016","EMR","AFG","BTSX","ENVCAUSE068","1 [1–1]","1.19577","0.86635","1.49465",""
"AIR_51","PUBLISHED","2016","EMR","AFG","BTSX","ENVCAUSE039","22 [16–28]","22.47373","16.12115","27.58643",""
"AIR_51","PUBLISHED","2016","EMR","AFG","BTSX","ENVCAUSE114","10 [8–12]","9.69339","7.63797","11.87558",""
"AIR_51","PUBLISHED","2016","EMR","AFG","BTSX","ENVCAUSE113","23 [18–27]","22.79201","18.10659","27.36416",""
"AIR_51","PUBLISHED","2016","EMR","AFG","BTSX","ENVCAUSE000","61 [50–71]","61.00158","50.20708","71.19258",""
"AIR_51","PUBLISHED","2016","EMR","AFG","BTSX","ENVCAUSE118","5 [3–7]","4.84668","2.88912","6.55968",""
"AIR_51","PUBLISHED","2016","EMR","AFG","FMLE","ENVCAUSE114","11 [9–14]","11.17522","8.77677","13.65204",""
"AIR_51","PUBLISHED","2016","EMR","AFG","FMLE","ENVCAUSE113","21 [17–25]","21.01994","16.89534","24.97038",""
"AIR_51","PUBLISHED","2016","EMR","AFG","FMLE","ENVCAUSE039","24 [17–29]","24.06950","17.22455","29.46424",""
"AIR_51","PUBLISHED","2016","EMR","AFG","FMLE","ENVCAUSE068","1 [1–1]","0.74939","0.57336","0.91034",""
"AIR_51","PUBLISHED","2016","EMR","AFG","FMLE","ENVCAUSE000","62 [51–72]","62.30716","51.36007","72.06107",""
"AIR_51","PUBLISHED","2016","EMR","AFG","FMLE","ENVCAUSE118","5 [4–7]","5.29311","3.55112","6.63108",""
"AIR_51","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE068","2 [1–2]","1.61535","1.11768","2.07438",""
"AIR_51","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE039","21 [15–26]","20.97379","15.10112","25.81143",""
"AIR_51","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE114","8 [7–10]","8.30055","6.51770","10.32281",""
"AIR_51","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE113","24 [19–30]","24.45766","19.33094","29.73602",""
"AIR_51","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE118","4 [1–7]","4.42707","1.14473","7.34908",""
"AIR_51","PUBLISHED","2016","EMR","AFG","MLE","ENVCAUSE000","60 [49–70]","59.77441","48.87465","70.23407",""
"AIR_51","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE113","6 [5–7]","5.99061","4.78878","7.41575",""
"AIR_51","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE039","33 [23–42]","32.87988","22.72674","41.65748",""
"AIR_51","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE114","5 [4–6]","4.62202","3.55928","5.93968",""
"AIR_51","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE068","0 [0–0]","0.23774","0.17216","0.30215",""
"AIR_51","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE118","3 [2–4]","2.72058","1.69882","3.72377",""
"AIR_51","PUBLISHED","2016","AFR","AGO","BTSX","ENVCAUSE000","46 [35–57]","46.45082","35.39953","56.83955",""
"AIR_51","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE114","5 [4–7]","5.43770","4.10979","7.01554",""
"AIR_51","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE039","33 [23–42]","33.40696","23.15386","42.18965",""
"AIR_51","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE068","0 [0–0]","0.20776","0.15425","0.25906",""
"AIR_51","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE113","6 [5–8]","6.15787","4.83498","7.74685",""
"AIR_51","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE000","48 [37–59]","48.46154","36.99055","59.19093",""
"AIR_51","PUBLISHED","2016","AFR","AGO","FMLE","ENVCAUSE118","3 [2–4]","3.25125","2.15046","4.17354",""
