"GHO","PUBLISHSTATE","YEAR","REGION","Display Value","Numeric","Low","High","Comments"
"AMRGLASS_SURVL02","PUBLISHED","2017","AFR","5","5.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2018","AFR","5","5.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2019","AFR","42","42.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2019","AMR","40 600","40600.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2017","EMR","109","109.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2018","EMR","129","129.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2019","EMR","204","204.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2017","EUR","6","6.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2018","EUR","145","145.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2019","EUR","15 901","15901.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2018","SEAR","1","1.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2019","SEAR","3","3.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2018","WPR","68","68.00000","","",""
"AMRGLASS_SURVL02","PUBLISHED","2019","WPR","68","68.00000","","",""
