"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"ANEMIAU5","PUBLISHED","1992","AFR","","DZA","46.0 [21.6-74.1]","46.04100","21.63740","74.14871",""
"ANEMIAU5","PUBLISHED","1993","AFR","","DZA","44.9 [21.7-72.9]","44.87730","21.66180","72.94420",""
"ANEMIAU5","PUBLISHED","1994","AFR","","DZA","43.7 [22.1-71.2]","43.73020","22.07930","71.22870",""
"ANEMIAU5","PUBLISHED","1995","AFR","","DZA","42.6 [21.9-69.2]","42.62220","21.94170","69.18460",""
"ANEMIAU5","PUBLISHED","1996","AFR","","DZA","41.4 [22.0-67.5]","41.39430","22.03260","67.51690",""
"ANEMIAU5","PUBLISHED","1997","AFR","","DZA","40.3 [21.6-65.9]","40.34710","21.64880","65.89090",""
"ANEMIAU5","PUBLISHED","1998","AFR","","DZA","39.2 [20.9-64.7]","39.21070","20.90120","64.69320",""
"ANEMIAU5","PUBLISHED","1999","AFR","","DZA","38.0 [20.5-62.9]","38.02040","20.51500","62.93800",""
"ANEMIAU5","PUBLISHED","2000","AFR","","DZA","37.1 [19.6-61.7]","37.09810","19.63140","61.74970",""
"ANEMIAU5","PUBLISHED","2001","AFR","","DZA","36.3 [19.3-60.6]","36.32990","19.30760","60.58740",""
"ANEMIAU5","PUBLISHED","2002","AFR","","DZA","35.7 [18.8-59.6]","35.65150","18.80140","59.63470",""
"ANEMIAU5","PUBLISHED","2003","AFR","","DZA","35.0 [18.5-59.2]","35.04650","18.45180","59.23880",""
"ANEMIAU5","PUBLISHED","2004","AFR","","DZA","34.5 [18.2-58.3]","34.46650","18.18910","58.27890",""
"ANEMIAU5","PUBLISHED","2005","AFR","","DZA","33.9 [17.7-57.5]","33.86510","17.67690","57.45020",""
"ANEMIAU5","PUBLISHED","2006","AFR","","DZA","33.2 [17.9-55.9]","33.18330","17.93270","55.90920",""
"ANEMIAU5","PUBLISHED","2007","AFR","","DZA","32.4 [17.6-55.8]","32.43980","17.55070","55.77580",""
"ANEMIAU5","PUBLISHED","2008","AFR","","DZA","31.8 [17.1-54.7]","31.79050","17.10640","54.67540",""
"ANEMIAU5","PUBLISHED","2009","AFR","","DZA","31.2 [16.6-54.0]","31.19090","16.62410","53.98320",""
"ANEMIAU5","PUBLISHED","2010","AFR","","DZA","30.7 [16.2-52.8]","30.67580","16.20100","52.83960",""
"ANEMIAU5","PUBLISHED","2011","AFR","","DZA","30.3 [15.8-52.9]","30.27430","15.78580","52.89270",""
"ANEMIAU5","PUBLISHED","2012","AFR","","DZA","29.9 [15.1-53.7]","29.91170","15.11490","53.67940",""
"ANEMIAU5","PUBLISHED","2013","AFR","","DZA","29.7 [14.2-55.3]","29.69400","14.21670","55.32300",""
"ANEMIAU5","PUBLISHED","2014","AFR","","DZA","29.6 [13.3-56.8]","29.62170","13.29060","56.76950",""
"ANEMIAU5","PUBLISHED","2015","AFR","","DZA","29.7 [12.2-57.9]","29.70880","12.18390","57.93450",""
"ANEMIAU5","PUBLISHED","2016","AFR","","DZA","30.0 [11.0-59.8]","29.98220","11.01970","59.77600",""
"ANEMIAU5","PUBLISHED","1990","AFR","","AGO","71.7 [46.1-87.0]","71.74820","46.11390","86.96490",""
"ANEMIAU5","PUBLISHED","1991","AFR","","AGO","71.4 [47.7-85.9]","71.41470","47.66130","85.85350",""
"ANEMIAU5","PUBLISHED","1992","AFR","","AGO","71.1 [49.0-84.6]","71.07390","49.01050","84.64230",""
"ANEMIAU5","PUBLISHED","1993","AFR","","AGO","70.8 [51.3-83.6]","70.81020","51.32670","83.55640",""
"ANEMIAU5","PUBLISHED","1994","AFR","","AGO","70.4 [52.8-82.4]","70.44490","52.76330","82.42010",""
"ANEMIAU5","PUBLISHED","1995","AFR","","AGO","70.0 [53.7-81.2]","69.96530","53.73050","81.20470",""
"ANEMIAU5","PUBLISHED","1996","AFR","","AGO","69.4 [54.5-80.1]","69.44920","54.50710","80.07450",""
"ANEMIAU5","PUBLISHED","1991","AFR","","DZA","47.2 [21.2-75.9]","47.22710","21.24300","75.94040",""
"ANEMIAU5","PUBLISHED","1990","AFR","","DZA","48.4 [21.0-78.1]","48.44200","20.99850","78.09200",""
"ANEMIAU5","PUBLISHED","1997","AFR","","AGO","68.7 [54.5-78.9]","68.69980","54.46530","78.93000",""
"ANEMIAU5","PUBLISHED","1998","AFR","","AGO","67.9 [54.5-77.7]","67.89470","54.54570","77.67840",""
"ANEMIAU5","PUBLISHED","1999","AFR","","AGO","67.1 [54.3-76.6]","67.06140","54.27930","76.59780",""
"ANEMIAU5","PUBLISHED","2000","AFR","","AGO","66.2 [54.2-75.4]","66.19860","54.17550","75.44190",""
"ANEMIAU5","PUBLISHED","2001","AFR","","AGO","65.2 [53.5-74.3]","65.20920","53.54470","74.25200",""
"ANEMIAU5","PUBLISHED","2002","AFR","","AGO","64.2 [53.5-72.9]","64.23400","53.46250","72.92650",""
"ANEMIAU5","PUBLISHED","2003","AFR","","AGO","63.3 [53.2-71.8]","63.25190","53.22960","71.77010",""
"ANEMIAU5","PUBLISHED","2004","AFR","","AGO","62.2 [52.7-70.4]","62.23040","52.65460","70.36470",""
"ANEMIAU5","PUBLISHED","2005","AFR","","AGO","61.0 [52.0-69.0]","60.99520","52.04750","69.02160",""
"ANEMIAU5","PUBLISHED","2006","AFR","","AGO","59.8 [51.3-67.8]","59.80670","51.32640","67.78201",""
"ANEMIAU5","PUBLISHED","2007","AFR","","AGO","58.3 [50.1-66.3]","58.28040","50.14230","66.34800",""
"ANEMIAU5","PUBLISHED","2008","AFR","","AGO","57.0 [49.2-65.3]","57.02030","49.23940","65.34150",""
"ANEMIAU5","PUBLISHED","2009","AFR","","AGO","55.8 [47.8-64.5]","55.77000","47.76930","64.49540",""
"ANEMIAU5","PUBLISHED","2010","AFR","","AGO","54.8 [46.3-63.9]","54.76880","46.28520","63.86140",""
"ANEMIAU5","PUBLISHED","2011","AFR","","AGO","54.0 [44.9-63.9]","54.04240","44.93460","63.87810",""
"ANEMIAU5","PUBLISHED","2012","AFR","","AGO","53.2 [42.5-64.6]","53.16000","42.50310","64.57450",""
"ANEMIAU5","PUBLISHED","2013","AFR","","AGO","52.4 [40.2-65.4]","52.44300","40.18470","65.44940",""
"ANEMIAU5","PUBLISHED","2014","AFR","","AGO","51.8 [37.8-66.4]","51.84270","37.80540","66.35990",""
"ANEMIAU5","PUBLISHED","2015","AFR","","AGO","51.3 [35.0-67.6]","51.30100","34.95720","67.60030",""
"ANEMIAU5","PUBLISHED","2016","AFR","","AGO","50.9 [31.9-69.3]","50.86790","31.86410","69.28440",""
"ANEMIAU5","PUBLISHED","1990","AFR","","BEN","83.7 [68.4-91.6]","83.65420","68.43370","91.59650",""
"ANEMIAU5","PUBLISHED","1991","AFR","","BEN","83.7 [70.5-91.2]","83.70290","70.50800","91.24420",""
"ANEMIAU5","PUBLISHED","1992","AFR","","BEN","83.8 [72.6-90.8]","83.77580","72.57340","90.80720",""
"ANEMIAU5","PUBLISHED","1993","AFR","","BEN","83.8 [73.9-90.2]","83.75220","73.86650","90.24650",""
"ANEMIAU5","PUBLISHED","1994","AFR","","BEN","83.7 [75.3-89.7]","83.72400","75.26830","89.73310",""
"ANEMIAU5","PUBLISHED","1995","AFR","","BEN","83.6 [76.4-89.1]","83.60860","76.38600","89.11260",""
"ANEMIAU5","PUBLISHED","1996","AFR","","BEN","83.4 [77.1-88.5]","83.43430","77.09120","88.50750",""
"ANEMIAU5","PUBLISHED","1997","AFR","","BEN","83.2 [77.5-87.7]","83.16451","77.45060","87.74250",""
"ANEMIAU5","PUBLISHED","1998","AFR","","BEN","82.9 [77.7-87.1]","82.87100","77.68780","87.06680",""
"ANEMIAU5","PUBLISHED","1999","AFR","","BEN","82.5 [77.7-86.3]","82.45680","77.70290","86.31200",""
"ANEMIAU5","PUBLISHED","2000","AFR","","BEN","82.0 [77.8-85.6]","82.00040","77.75260","85.55740",""
"ANEMIAU5","PUBLISHED","2001","AFR","","BEN","81.4 [77.5-84.8]","81.41140","77.48450","84.77420",""
"ANEMIAU5","PUBLISHED","2002","AFR","","BEN","80.7 [76.9-83.9]","80.73500","76.88230","83.94750",""
"ANEMIAU5","PUBLISHED","2003","AFR","","BEN","80.0 [76.1-83.2]","80.02030","76.07580","83.24790",""
"ANEMIAU5","PUBLISHED","2004","AFR","","BEN","79.2 [75.1-82.4]","79.15430","75.12040","82.40930",""
"ANEMIAU5","PUBLISHED","2005","AFR","","BEN","78.2 [74.0-81.6]","78.23190","74.02720","81.59350",""
"ANEMIAU5","PUBLISHED","2006","AFR","","BEN","77.1 [72.6-80.8]","77.10150","72.61450","80.84510",""
"ANEMIAU5","PUBLISHED","2007","AFR","","BEN","75.9 [70.8-80.0]","75.85550","70.82550","79.95640",""
"ANEMIAU5","PUBLISHED","2008","AFR","","BEN","74.5 [68.8-79.2]","74.46030","68.80090","79.19070",""
"ANEMIAU5","PUBLISHED","2009","AFR","","BEN","72.9 [66.4-78.5]","72.92650","66.43080","78.50430",""
"ANEMIAU5","PUBLISHED","2010","AFR","","BEN","71.3 [63.5-77.9]","71.31660","63.50420","77.90830",""
"ANEMIAU5","PUBLISHED","2011","AFR","","BEN","69.7 [60.3-77.3]","69.66550","60.31370","77.32300",""
"ANEMIAU5","PUBLISHED","2012","AFR","","BEN","68.0 [56.7-76.9]","68.03310","56.68470","76.94910",""
"ANEMIAU5","PUBLISHED","2013","AFR","","BEN","66.5 [53.0-76.6]","66.46180","53.01080","76.57650",""
"ANEMIAU5","PUBLISHED","2014","AFR","","BEN","64.9 [48.9-76.4]","64.91750","48.91390","76.44740",""
"ANEMIAU5","PUBLISHED","2015","AFR","","BEN","63.4 [44.9-76.5]","63.44230","44.88320","76.51270",""
"ANEMIAU5","PUBLISHED","2016","AFR","","BEN","62.1 [41.1-76.6]","62.09540","41.06900","76.57040",""
"ANEMIAU5","PUBLISHED","1990","AFR","","BWA","47.7 [29.5-67.1]","47.73560","29.52840","67.13720",""
"ANEMIAU5","PUBLISHED","1991","AFR","","BWA","46.7 [30.8-64.0]","46.73380","30.84080","63.96230",""
"ANEMIAU5","PUBLISHED","1992","AFR","","BWA","46.1 [32.1-61.3]","46.14490","32.10520","61.28790",""
"ANEMIAU5","PUBLISHED","1993","AFR","","BWA","45.5 [32.6-59.5]","45.53840","32.57460","59.46840",""
"ANEMIAU5","PUBLISHED","1994","AFR","","BWA","45.0 [32.6-58.1]","45.00010","32.60130","58.12870",""
"ANEMIAU5","PUBLISHED","1995","AFR","","BWA","44.5 [32.5-57.4]","44.53590","32.46990","57.36270",""
"ANEMIAU5","PUBLISHED","1996","AFR","","BWA","44.1 [31.6-57.4]","44.12750","31.62020","57.37070",""
"ANEMIAU5","PUBLISHED","1997","AFR","","BWA","43.8 [30.6-57.6]","43.77660","30.57900","57.59350",""
"ANEMIAU5","PUBLISHED","1998","AFR","","BWA","43.5 [29.5-58.3]","43.50970","29.51160","58.27860",""
"ANEMIAU5","PUBLISHED","1999","AFR","","BWA","43.2 [28.8-58.3]","43.17210","28.77900","58.31010",""
"ANEMIAU5","PUBLISHED","2000","AFR","","BWA","43.1 [28.1-58.7]","43.06340","28.09540","58.68850",""
"ANEMIAU5","PUBLISHED","2001","AFR","","BWA","43.0 [27.6-59.5]","43.00160","27.63440","59.53720",""
"ANEMIAU5","PUBLISHED","2002","AFR","","BWA","42.9 [27.4-60.0]","42.86130","27.44110","59.96510",""
"ANEMIAU5","PUBLISHED","2003","AFR","","BWA","42.9 [27.5-60.2]","42.87260","27.48990","60.17200",""
"ANEMIAU5","PUBLISHED","2004","AFR","","BWA","42.8 [27.3-60.2]","42.82480","27.31910","60.19940",""
