"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"Adult_curr_smokeless","PUBLISHED","2018","EMR","AFG","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","AGO","MLE","2.6","2.60000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","ALB","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","AND","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EMR","ARE","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","ARG","MLE","0.1","0.10000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","ARM","MLE","0.5","0.50000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","ATG","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","WPR","AUS","MLE","0.6","0.60000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","AUT","MLE","2.8","2.80000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","AZE","MLE","0.2","0.20000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","BDI","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","BEL","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","BEN","MLE","8.0","8.00000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","BFA","MLE","5.6","5.60000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","SEAR","BGD","MLE","16.2","16.20000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","BGR","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EMR","BHR","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","BHS","MLE","0.9","0.90000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","BIH","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","BLR","MLE","0.2","0.20000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","BLZ","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","BOL","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","BRA","MLE","0.5","0.50000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","BRB","MLE","0.0","0.00000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","WPR","BRN","MLE","1.7","1.70000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","SEAR","BTN","MLE","26.5","26.50000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","BWA","MLE","2.1","2.10000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","CAF","MLE","17.3","17.30000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","CAN","MLE","1.5","1.50000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","CHE","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","CHL","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","WPR","CHN","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","CIV","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","CMR","MLE","2.2","2.20000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","COD","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","COG","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","WPR","COK","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","COL","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","COM","MLE","19.5","19.50000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","CPV","MLE","3.5","3.50000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","CRI","MLE","0.1","0.10000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","CUB","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","CYP","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","CZE","MLE","3.4","3.40000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","DEU","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EMR","DJI","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","DMA","MLE","1.6","1.60000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","DNK","MLE","2.8","2.80000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","DOM","MLE","1.9","1.90000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","DZA","MLE","17.3","17.30000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AMR","ECU","MLE","0.0","0.00000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EMR","EGY","MLE","0.4","0.40000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","ERI","MLE","11.6","11.60000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","ESP","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","EST","MLE","9.2","9.20000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","ETH","MLE","2.6","2.60000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","FIN","MLE","9.2","9.20000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","WPR","FJI","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","FRA","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","WPR","FSM","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","GAB","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","GBR","MLE","Data not available","","","",""
"Adult_curr_smokeless","PUBLISHED","2018","EUR","GEO","MLE","0.5","0.50000","","",""
"Adult_curr_smokeless","PUBLISHED","2018","AFR","GHA","MLE","1.9","1.90000","","",""
