"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"Adult_curr_tob_use","PUBLISHED","2018","EMR","AFG","MLE","48.2","48.20000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AFR","AGO","MLE","15.7","15.70000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EUR","ALB","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EUR","AND","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EMR","ARE","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AMR","ARG","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EUR","ARM","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AMR","ATG","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","WPR","AUS","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EUR","AUT","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EUR","AZE","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AFR","BDI","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EUR","BEL","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AFR","BEN","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AFR","BFA","MLE","29.2","29.20000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","SEAR","BGD","MLE","46.0","46.00000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EUR","BGR","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EMR","BHR","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AMR","BHS","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EUR","BIH","MLE","39.9","39.90000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EUR","BLR","MLE","48.4","48.40000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AMR","BLZ","MLE","16.4","16.40000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AMR","BOL","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AMR","BRA","MLE","19.2","19.20000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AMR","BRB","MLE","Data not available","","","",""
"Adult_curr_tob_use","PUBLISHED","2018","WPR","BRN","MLE","37.3","37.30000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","SEAR","BTN","MLE","33.6","33.60000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AFR","BWA","MLE","27.0","27.00000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AFR","CAF","MLE","38.6","38.60000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","AMR","CAN","MLE","21.2","21.20000","","",""
"Adult_curr_tob_use","PUBLISHED","2018","EUR","CHE","MLE","Data not available","","","",""
