"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","AGO","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","ARG","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","ARM","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","WPR","AUS","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","AUT","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","AZE","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","BDI","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","BEL","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","BEN","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","BFA","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","SEAR","BGD","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","BGR","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","BHS","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","BLR","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","BRA","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","BRB","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","WPR","BRN","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","SEAR","BTN","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","BWA","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","CAF","Subnational","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","CAN","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","CHE","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","CHL","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","WPR","CHN","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","CMR","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","COM","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","CPV","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","CRI","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","CYP","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","CZE","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","DEU","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","DMA","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","DNK","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","DOM","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","DZA","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","ECU","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EMR","EGY","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","ERI","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","EST","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","ETH","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","FIN","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","FRA","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","GBR","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","GEO","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","GHA","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","GMB","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","GRC","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","GRD","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","HRV","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","HTI","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","HUN","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","SEAR","IDN","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","SEAR","IND","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","IRL","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EMR","IRQ","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","ISL","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","ITA","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","KAZ","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AFR","KEN","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EUR","KGZ","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","WPR","KHM","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","WPR","KIR","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","AMR","KNA","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","WPR","KOR","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","EMR","KWT","National","","","",""
"Adult_nonsmoked_national","PUBLISHED","2018","WPR","LAO","National","","","",""
