"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","AGO","2015-16","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","ARG","2011-12","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","ARM","2016","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","WPR","AUS","2013","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","AUT","2015","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","AZE","2011","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","BDI","2016-17","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","BEL","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","BEN","2015","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","BFA","2013","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","SEAR","BGD","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","BGR","2014","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","BHS","2012","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","BLR","2016-17","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","BRA","2013","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","BRB","2007","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","WPR","BRN","2016","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","SEAR","BTN","2014","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","BWA","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","CAF","2010","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","CAN","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","CHE","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","CHL","2016-17","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","WPR","CHN","2015","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","CMR","2013","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","COM","2011","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","CPV","2007","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","CRI","2015","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","CYP","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","CZE","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","DEU","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","DMA","2007-08","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","DNK","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","DOM","2007","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","DZA","2016-17","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","ECU","2018","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EMR","EGY","2016-17","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","ERI","2010","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","EST","2018","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","ETH","2016","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","FIN","2018","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","FRA","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","GBR","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","GEO","2016","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","GHA","2014","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","GMB","2010","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","GRC","2013","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","GRD","2010-11","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","HRV","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","HTI","2016-17","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","HUN","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","SEAR","IDN","2018","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","SEAR","IND","2016-17","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","IRL","2018","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EMR","IRQ","2015","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","ISL","2018","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","ITA","2017","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","KAZ","2014","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AFR","KEN","2015","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","EUR","KGZ","2013","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","WPR","KHM","2014","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","WPR","KIR","2015-16","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","AMR","KNA","2007-08","","","",""
"Adult_nonsmoked_svy_yr","PUBLISHED","2018","WPR","KOR","2017","","","",""
