"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"Adult_svy_age_range","PUBLISHED","2018","EMR","AFG","15-49","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","AGO","15-49","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","ALB","15-59 (men) 15-49 (women)","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","AND","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EMR","ARE","18+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","ARG","18+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","ARM","16+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","WPR","AUS","14+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","AUT","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","AZE","18-69","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","BDI","15-59 (men) 15-49 (women)","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","BEL","15-75","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","BEN","18-69","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","BFA","25-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","SEAR","BGD","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","BGR","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EMR","BHR","20-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","BHS","Dec-65","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","BIH","15-49","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","BLR","18-69","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","BLZ","15-49","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","BOL","Dec-65","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","BRA","18+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","BRB","25+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","WPR","BRN","18-69","","","",""
"Adult_svy_age_range","PUBLISHED","2018","SEAR","BTN","18-69","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","BWA","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","CAF","25-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","CAN","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","CHE","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","CHL","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","WPR","CHN","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","CIV","15-49","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","CMR","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","COD","15-59 (men) 15-49 (women)","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","COG","15-49","","","",""
"Adult_svy_age_range","PUBLISHED","2018","WPR","COK","18-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","COL","18-80","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","COM","25-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","CPV","15-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","CRI","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","CUB","15-49","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","CYP","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","CZE","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","DEU","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EMR","DJI","10+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","DMA","15-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","DNK","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","DOM","15-59 (men) 15-49 (women)","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","DZA","18-69","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AMR","ECU","18-69","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EMR","EGY","15-69","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","ERI","25-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","ESP","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","EST","16-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","ETH","15+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","FIN","20-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","WPR","FJI","25-64","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","FRA","18-75","","","",""
"Adult_svy_age_range","PUBLISHED","2018","WPR","FSM","Dec-98","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","GAB","15-59 (men) 15-49 (women)","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","GBR","16+","","","",""
"Adult_svy_age_range","PUBLISHED","2018","EUR","GEO","18-69","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","GHA","15-49","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","GIN","15-49","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","GMB","15-59 (men) 15-49 (women)","","","",""
"Adult_svy_age_range","PUBLISHED","2018","AFR","GNQ","15-59 (men) 15-49 (women)","","","",""
