"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"Adult_svy_yr","PUBLISHED","2018","EMR","AFG","2015","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","AGO","2015-16","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","ALB","2017-18","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","AND","2011","","","",""
"Adult_svy_yr","PUBLISHED","2018","EMR","ARE","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","ARG","2013","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","ARM","2016","","","",""
"Adult_svy_yr","PUBLISHED","2018","WPR","AUS","2016","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","AUT","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","AZE","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","BDI","2016-17","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","BEL","2018","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","BEN","2015","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","BFA","2013","","","",""
"Adult_svy_yr","PUBLISHED","2018","SEAR","BGD","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","BGR","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","EMR","BHR","2007","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","BHS","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","BIH","2011-12","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","BLR","2016-17","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","BLZ","2015","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","BOL","2014","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","BRA","2013","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","BRB","2011-12","","","",""
"Adult_svy_yr","PUBLISHED","2018","WPR","BRN","2016","","","",""
"Adult_svy_yr","PUBLISHED","2018","SEAR","BTN","2014","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","BWA","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","CAF","2010","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","CAN","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","CHE","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","CHL","2016-17","","","",""
"Adult_svy_yr","PUBLISHED","2018","WPR","CHN","2015","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","CIV","2016","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","CMR","2013","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","COD","2013-14","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","COG","2014-15","","","",""
"Adult_svy_yr","PUBLISHED","2018","WPR","COK","2014","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","COL","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","COM","2011","","","",""
"Adult_svy_yr","PUBLISHED","2018","AFR","CPV","2012","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","CRI","2015","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","CUB","2014","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","CYP","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","CZE","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","EUR","DEU","2017","","","",""
"Adult_svy_yr","PUBLISHED","2018","EMR","DJI","2012","","","",""
"Adult_svy_yr","PUBLISHED","2018","AMR","DMA","2007-08","","","",""
