"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"BP_03","PUBLISHED","2000","EMR","","AFG","YEARS18-PLUS","MLE","22.5 [16.2-30.0]","22.50000","16.20000","30.00000",""
"BP_03","PUBLISHED","2002","EMR","","AFG","YEARS18-PLUS","MLE","22.8 [16.5-30.1]","22.80000","16.50000","30.10000",""
"BP_03","PUBLISHED","1986","EUR","","ALB","YEARS18-PLUS","MLE","29.0 [21.3-37.3]","29.00000","21.30000","37.30000",""
"BP_03","PUBLISHED","2011","EUR","","ALB","YEARS18-PLUS","MLE","35.2 [27.3-43.8]","35.20000","27.30000","43.80000",""
"BP_03","PUBLISHED","1993","AFR","","DZA","YEARS18-PLUS","MLE","23.8 [17.2-30.9]","23.80000","17.20000","30.90000",""
"BP_03","PUBLISHED","2003","AFR","","DZA","YEARS18-PLUS","MLE","22.9 [17.5-29.1]","22.90000","17.50000","29.10000",""
"BP_03","PUBLISHED","1994","EUR","","AND","YEARS18-PLUS","MLE","36.9 [28.2-45.3]","36.90000","28.20000","45.30000",""
"BP_03","PUBLISHED","1994","AFR","","AGO","YEARS18-PLUS","MLE","24.3 [16.2-34.0]","24.30000","16.20000","34.00000",""
"BP_03","PUBLISHED","1996","AMR","","ATG","YEARS18-PLUS","MLE","24.4 [16.6-33.2]","24.40000","16.60000","33.20000",""
"BP_03","PUBLISHED","2003","AMR","","ATG","YEARS18-PLUS","MLE","24.5 [17.1-32.9]","24.50000","17.10000","32.90000",""
"BP_03","PUBLISHED","1988","AMR","","ARG","YEARS18-PLUS","MLE","39.2 [30.2-48.7]","39.20000","30.20000","48.70000",""
"BP_03","PUBLISHED","1995","AMR","","ARG","YEARS18-PLUS","MLE","35.2 [26.9-43.8]","35.20000","26.90000","43.80000",""
"BP_03","PUBLISHED","2013","AMR","","ARG","YEARS18-PLUS","MLE","28.4 [20.3-37.5]","28.40000","20.30000","37.50000",""
"BP_03","PUBLISHED","1990","EUR","","AUT","YEARS18-PLUS","MLE","38.9 [31.8-46.1]","38.90000","31.80000","46.10000",""
"BP_03","PUBLISHED","2001","EUR","","AUT","YEARS18-PLUS","MLE","36.1 [29.3-43.1]","36.10000","29.30000","43.10000",""
"BP_03","PUBLISHED","1976","EUR","","AZE","YEARS18-PLUS","MLE","27.2 [15.3-40.9]","27.20000","15.30000","40.90000",""
"BP_03","PUBLISHED","2015","EUR","","AZE","YEARS18-PLUS","MLE","23.9 [14.7-34.6]","23.90000","14.70000","34.60000",""
