"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"BP_05","PUBLISHED","1990","AFR","AGO","AGE25-PLUS","MLE","131.0 [123.6-138.7]","131.00000","123.60000","138.70000",""
"BP_05","PUBLISHED","1991","AFR","AGO","AGE25-PLUS","MLE","130.9 [123.3-138.6]","130.90000","123.30000","138.60000",""
"BP_05","PUBLISHED","1992","AFR","AGO","AGE25-PLUS","MLE","130.7 [123.1-138.5]","130.70000","123.10000","138.50000",""
"BP_05","PUBLISHED","1993","AFR","AGO","AGE25-PLUS","MLE","130.5 [122.7-138.4]","130.50000","122.70000","138.40000",""
"BP_05","PUBLISHED","2006","AFR","AGO","AGE25-PLUS","MLE","130.6 [123.0-137.9]","130.60000","123.00000","137.90000",""
"BP_05","PUBLISHED","2007","AFR","AGO","AGE25-PLUS","MLE","130.8 [122.9-138.4]","130.80000","122.90000","138.40000",""
"BP_05","PUBLISHED","2008","AFR","AGO","AGE25-PLUS","MLE","131.0 [122.7-139.0]","131.00000","122.70000","139.00000",""
"BP_05","PUBLISHED","2009","AFR","AGO","AGE25-PLUS","MLE","131.2 [122.2-139.8]","131.20000","122.20000","139.80000",""
"BP_05","PUBLISHED","1980","AMR","ARG","AGE25-PLUS","MLE","131.7 [121.6-142.4]","131.70000","121.60000","142.40000",""
"BP_05","PUBLISHED","2006","AFR","DZA","AGE25-PLUS","MLE","128.2 [123.0-133.7]","128.20000","123.00000","133.70000",""
"BP_05","PUBLISHED","2005","AFR","DZA","AGE25-PLUS","MLE","128.1 [123.2-133.2]","128.10000","123.20000","133.20000",""
"BP_05","PUBLISHED","2004","AFR","DZA","AGE25-PLUS","MLE","128.0 [123.3-132.9]","128.00000","123.30000","132.90000",""
"BP_05","PUBLISHED","2003","AFR","DZA","AGE25-PLUS","MLE","128.0 [123.2-132.8]","128.00000","123.20000","132.80000",""
"BP_05","PUBLISHED","1989","AFR","DZA","AGE25-PLUS","MLE","129.1 [123.2-134.9]","129.10000","123.20000","134.90000",""
"BP_05","PUBLISHED","1988","AFR","DZA","AGE25-PLUS","MLE","129.4 [123.5-135.2]","129.40000","123.50000","135.20000",""
"BP_05","PUBLISHED","1987","AFR","DZA","AGE25-PLUS","MLE","129.6 [123.6-135.6]","129.60000","123.60000","135.60000",""
"BP_05","PUBLISHED","1986","AFR","DZA","AGE25-PLUS","MLE","129.8 [123.6-135.9]","129.80000","123.60000","135.90000",""
"BP_05","PUBLISHED","2003","EUR","ALB","AGE25-PLUS","MLE","132.7 [126.7-138.6]","132.70000","126.70000","138.60000",""
"BP_05","PUBLISHED","2002","EUR","ALB","AGE25-PLUS","MLE","132.5 [126.4-138.3]","132.50000","126.40000","138.30000",""
"BP_05","PUBLISHED","2001","EUR","ALB","AGE25-PLUS","MLE","132.2 [126.1-138.1]","132.20000","126.10000","138.10000",""
"BP_05","PUBLISHED","2000","EUR","ALB","AGE25-PLUS","MLE","132.0 [125.8-138.0]","132.00000","125.80000","138.00000",""
"BP_05","PUBLISHED","1986","EUR","ALB","AGE25-PLUS","MLE","132.5 [126.1-139.1]","132.50000","126.10000","139.10000",""
"BP_05","PUBLISHED","1985","EUR","ALB","AGE25-PLUS","MLE","132.6 [125.9-139.2]","132.60000","125.90000","139.20000",""
