"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"CCO_3","PUBLISHED","2012","EMR","AFG","147","147.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","ALB","41","41.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","DZA","74","74.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","ARG","71","71.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","ARM","59","59.00000","","",""
"CCO_3","PUBLISHED","2012","WPR","AUS","17","17.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","AUT","14","14.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","AZE","54","54.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","BHS","53","53.00000","","",""
"CCO_3","PUBLISHED","2012","EMR","BHR","45","45.00000","","",""
"CCO_3","PUBLISHED","2012","SEAR","BGD","111","111.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","BRB","61","61.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","BEL","12","12.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","BLZ","79","79.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","BEN","135","135.00000","","",""
"CCO_3","PUBLISHED","2012","SEAR","BTN","92","92.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","BOL","97","97.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","BWA","102","102.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","BRA","85","85.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","BGR","38","38.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","BFA","131","131.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","BDI","98","98.00000","","",""
"CCO_3","PUBLISHED","2012","WPR","KHM","96","96.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","CMR","137","137.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","CAN","18","18.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","CAF","142","142.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","CHL","66","66.00000","","",""
"CCO_3","PUBLISHED","2012","WPR","CHN","35","35.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","COL","88","88.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","COG","132","132.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","CRI","62","62.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","HRV","33","33.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","CUB","63","63.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","CYP","22","22.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","CZE","20","20.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","CIV","138","138.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","COD","144","144.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","DNK","3","3.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","DOM","109","109.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","ECU","83","83.00000","","",""
"CCO_3","PUBLISHED","2012","EMR","EGY","126","126.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","SLV","82","82.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","EST","29","29.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","FIN","6","6.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","FRA","9","9.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","GAB","105","105.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","GMB","128","128.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","GEO","81","81.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","DEU","6","6.00000","","",""
"CCO_3","PUBLISHED","2012","AFR","GHA","121","121.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","GRC","23","23.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","GTM","114","114.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","GUY","104","104.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","HTI","127","127.00000","","",""
"CCO_3","PUBLISHED","2012","AMR","HND","100","100.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","HUN","42","42.00000","","",""
"CCO_3","PUBLISHED","2012","EUR","ISL","10","10.00000","","",""
"CCO_3","PUBLISHED","2012","SEAR","IND","132","132.00000","","",""
"CCO_3","PUBLISHED","2012","SEAR","IDN","106","106.00000","","",""
