"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"CHOLERA_0000000003","PUBLISHED","1993","AFR","BEN","20","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","BOL","2.51","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","BRA","1.09","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AFR","BDI","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","WPR","KHM","4.62","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AFR","CMR","2.93","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","CAN","16.67","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","CHL","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","WPR","CHN","0.81","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","COL","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","CRI","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AFR","COD","17.75","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EUR","DNK","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EMR","DJI","0.98","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","ECU","1.05","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","SLV","0.21","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EUR","EST","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EUR","FRA","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EUR","GEO","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EUR","DEU","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AFR","GHA","2.62","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EUR","GRC","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","GTM","1","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","GUY","3.03","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","HND","2.54","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","SEAR","IND","0.42","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","SEAR","IDN","0.7","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EMR","IRN","0.37","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EMR","IRQ","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","WPR","JPN","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EUR","KAZ","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EMR","KWT","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","WPR","LAO","4.62","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","BLZ","2.22","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EUR","BEL","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","SEAR","BGD","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EUR","AUT","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","WPR","AUS","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","AMR","ARG","1.45","","","",""
"CHOLERA_0000000003","PUBLISHED","1993","EMR","AFG","2.51","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","WPR","VNM","1.67","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","SEAR","THA","6.15","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","WPR","PHL","9.78","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","EMR","PAK","4.76","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","SEAR","NPL","13.34","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","SEAR","MMR","3.86","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","WPR","MYS","6.25","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","SEAR","IND","29.67","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","WPR","BRN","3.03","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","SEAR","BGD","60.82","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","EMR","BHR","0","","","",""
"CHOLERA_0000000003","PUBLISHED","1965","EMR","AFG","25.23","","","",""
"CHOLERA_0000000003","PUBLISHED","1960","EMR","PAK","16.51","","","",""
"CHOLERA_0000000003","PUBLISHED","1960","SEAR","MMR","77.22","","","",""
"CHOLERA_0000000003","PUBLISHED","1960","SEAR","IDN","53.66","","","",""
"CHOLERA_0000000003","PUBLISHED","1960","SEAR","BGD","40.16","","","",""
"CHOLERA_0000000003","PUBLISHED","1960","EMR","AFG","22.44","","","",""
