"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","Display Value","Numeric","Low","High","Comments"
"CHOL_05","PUBLISHED","2008","AMR","","AGE25-PLUS","MLE","11.2 [8.6-14.4]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","","AGE25-PLUS","MLE","16.3 [12.5-20.9]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","HTI","AGE25-PLUS","MLE","3.1 [0.9-7.7]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","HUN","AGE25-PLUS","MLE","16.5 [5.3-36.0]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","ISR","AGE25-PLUS","MLE","13.3 [5.7-25.4]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","JAM","AGE25-PLUS","MLE","4.7 [2.7-7.5]","","","",""
"CHOL_05","PUBLISHED","2008","WPR","KIR","AGE25-PLUS","MLE","6.2 [2.9-11.6]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","KGZ","AGE25-PLUS","MLE","5.3 [1.5-13.3]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","LVA","AGE25-PLUS","MLE","16.6 [5.1-36.3]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","LTU","AGE25-PLUS","MLE","16.1 [4.9-34.6]","","","",""
"CHOL_05","PUBLISHED","2008","WPR","COK","AGE25-PLUS","MLE","19.0 [6.9-38.0]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","CHL","AGE25-PLUS","MLE","12.1 [5.6-22.4]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","CAF","AGE25-PLUS","MLE","3.4 [0.7-9.5]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","BGR","AGE25-PLUS","MLE","13.5 [4.4-29.1]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","AMR","BRA","AGE25-PLUS","MLE","10.6 [4.2-21.9]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","BEL","AGE25-PLUS","MLE","22.2 [8.3-42.8]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","AMR","BRB","AGE25-PLUS","MLE","8.9 [2.6-20.9]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","AUT","AGE25-PLUS","MLE","19.6 [7.6-38.2]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","ARM","AGE25-PLUS","MLE","8.9 [2.7-21.0]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EMR","AFG","AGE25-PLUS","MLE","3.5 [1.0-8.3]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","WB_HI","","AGE25-PLUS","FMLE","17.0 [13.7-20.9]","","","",""
"CHOL_05","PUBLISHED","2008","WB_LMI","","AGE25-PLUS","FMLE","8.3 [5.9-11.3]","","","",""
"CHOL_05","PUBLISHED","2008","WB_HI","","AGE25-PLUS","MLE","16.5 [13.6-19.8]","","","",""
"CHOL_05","PUBLISHED","2008","WPR","","AGE25-PLUS","BTSX","8.4 [6.3-11.0]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","","AGE25-PLUS","BTSX","16.8 [13.7-20.4]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","","AGE25-PLUS","FMLE","17.0 [12.5-22.6]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","","AGE25-PLUS","FMLE","13.7 [10.0-18.1]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","GHA","AGE25-PLUS","MLE","2.4 [0.7-6.4]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","GEO","AGE25-PLUS","MLE","7.5 [2.2-18.1]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","WPR","FJI","AGE25-PLUS","MLE","16.3 [7.1-30.5]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","EST","AGE25-PLUS","MLE","17.0 [5.4-36.0]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","DMA","AGE25-PLUS","MLE","6.0 [2.9-10.8]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","DNK","AGE25-PLUS","MLE","26.0 [11.3-45.7]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","CIV","AGE25-PLUS","MLE","3.1 [1.0-7.3]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","MDG","AGE25-PLUS","MLE","4.1 [1.2-10.0]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","AFR","MRT","AGE25-PLUS","MLE","3.4 [1.6-6.4]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","MEX","AGE25-PLUS","MLE","11.3 [6.2-18.5]","","","",""
"CHOL_05","PUBLISHED","2008","EMR","MAR","AGE25-PLUS","MLE","7.2 [2.8-14.5]","","","",""
"CHOL_05","PUBLISHED","2008","SEAR","MMR","AGE25-PLUS","MLE","5.1 [1.6-12.4]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","WPR","NRU","AGE25-PLUS","MLE","9.0 [4.3-16.0]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","NER","AGE25-PLUS","MLE","2.1 [0.6-5.2]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","WPR","NIU","AGE25-PLUS","MLE","...","","","","No data available.  Estimate could not be calculated due to lack of covariate data."
"CHOL_05","PUBLISHED","2008","AMR","ATG","AGE25-PLUS","FMLE","12.7 [3.5-29.3]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","TJK","AGE25-PLUS","MLE","3.8 [1.0-9.6]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","WPR","TON","AGE25-PLUS","MLE","14.2 [6.8-26.1]","","","",""
"CHOL_05","PUBLISHED","2008","EMR","TUN","AGE25-PLUS","MLE","8.1 [2.6-18.8]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","GBR","AGE25-PLUS","MLE","21.6 [10.9-36.4]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","USA","AGE25-PLUS","MLE","13.1 [9.2-17.7]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","ZMB","AGE25-PLUS","MLE","4.6 [2.2-8.2]","","","",""
"CHOL_05","PUBLISHED","2008","EMR","AFG","AGE25-PLUS","FMLE","4.5 [1.2-11.6]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","ARM","AGE25-PLUS","FMLE","11.0 [3.0-26.8]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","AMR","BRB","AGE25-PLUS","FMLE","12.5 [3.7-28.1]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","BEL","AGE25-PLUS","FMLE","20.8 [7.6-39.5]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","AMR","PRY","AGE25-PLUS","MLE","7.8 [2.2-19.1]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","WPR","PHL","AGE25-PLUS","MLE","8.2 [4.0-14.6]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","MDA","AGE25-PLUS","MLE","7.5 [1.9-18.5]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","RUS","AGE25-PLUS","MLE","12.3 [3.8-27.4]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","KNA","AGE25-PLUS","MLE","8.8 [2.6-21.5]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","AFR","STP","AGE25-PLUS","MLE","2.3 [1.3-3.9]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","SEN","AGE25-PLUS","MLE","3.2 [1.0-8.0]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","WPR","SLB","AGE25-PLUS","MLE","5.5 [2.5-10.3]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","ZAF","AGE25-PLUS","MLE","6.0 [2.1-13.0]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","CHE","AGE25-PLUS","MLE","18.7 [9.6-31.0]","","","",""
"CHOL_05","PUBLISHED","2008","WPR","COK","AGE25-PLUS","FMLE","20.6 [7.1-39.9]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","CIV","AGE25-PLUS","FMLE","4.5 [1.3-11.3]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","BRA","AGE25-PLUS","FMLE","13.0 [4.3-27.3]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","BGR","AGE25-PLUS","FMLE","14.5 [4.4-31.5]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","AMR","CAN","AGE25-PLUS","FMLE","17.3 [5.7-35.3]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","CAF","AGE25-PLUS","FMLE","4.8 [1.1-13.0]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","WPR","NIU","AGE25-PLUS","FMLE","...","","","","No data available.  Estimate could not be calculated due to lack of covariate data."
"CHOL_05","PUBLISHED","2008","AMR","PAN","AGE25-PLUS","FMLE","12.6 [3.7-28.4]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","DNK","AGE25-PLUS","FMLE","24.6 [10.5-42.1]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","DMA","AGE25-PLUS","FMLE","12.2 [5.5-22.5]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","GNQ","AGE25-PLUS","FMLE","11.4 [2.6-29.4]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","EST","AGE25-PLUS","FMLE","19.3 [5.5-40.7]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","GEO","AGE25-PLUS","FMLE","9.5 [2.7-23.1]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","AFR","GHA","AGE25-PLUS","FMLE","3.8 [1.3-8.3]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","HTI","AGE25-PLUS","FMLE","5.2 [1.4-13.6]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","HUN","AGE25-PLUS","FMLE","18.5 [5.5-39.8]","","","",""
"CHOL_05","PUBLISHED","2008","EMR","IRQ","AGE25-PLUS","FMLE","11.0 [5.1-19.8]","","","",""
"CHOL_05","PUBLISHED","2008","AMR","PRY","AGE25-PLUS","FMLE","10.3 [2.8-25.6]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","MDA","AGE25-PLUS","FMLE","9.3 [2.2-24.0]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","ISR","AGE25-PLUS","FMLE","15.5 [6.0-30.2]","","","",""
"CHOL_05","PUBLISHED","2008","WPR","KIR","AGE25-PLUS","FMLE","8.9 [3.4-19.0]","","","",""
"CHOL_05","PUBLISHED","2008","EUR","KGZ","AGE25-PLUS","FMLE","7.0 [1.8-18.0]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","LTU","AGE25-PLUS","FMLE","17.2 [4.3-38.4]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","MDG","AGE25-PLUS","FMLE","5.1 [1.5-12.8]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","MLT","AGE25-PLUS","FMLE","18.9 [6.5-37.2]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","MRT","AGE25-PLUS","FMLE","4.3 [1.8-8.6]","","","",""
"CHOL_05","PUBLISHED","2008","EMR","MAR","AGE25-PLUS","FMLE","9.6 [3.3-21.0]","","","",""
"CHOL_05","PUBLISHED","2008","SEAR","MMR","AGE25-PLUS","FMLE","7.5 [2.1-18.3]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","AFR","NER","AGE25-PLUS","FMLE","3.0 [0.8-8.0]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","AFR","SEN","AGE25-PLUS","FMLE","4.5 [1.3-11.6]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","EUR","SVK","AGE25-PLUS","FMLE","16.1 [4.7-35.6]","","","","No country data available.  Estimate modeled using data from other countries and specific country characteristics."
"CHOL_05","PUBLISHED","2008","WPR","SLB","AGE25-PLUS","FMLE","8.0 [3.2-16.4]","","","",""
"CHOL_05","PUBLISHED","2008","AFR","ZAF","AGE25-PLUS","FMLE","9.5 [3.0-22.4]","","","",""
