"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"CM_01","PUBLISHED","1967","EMR","","","AFG","BTSX","161588","161588.00000","143258.00000","183065.00000",""
"CM_01","PUBLISHED","1972","EMR","","","AFG","BTSX","166120","166120.00000","147372.00000","188896.00000",""
"CM_01","PUBLISHED","1974","EMR","","","AFG","BTSX","166690","166690.00000","148447.00000","189544.00000",""
"CM_01","PUBLISHED","1981","EMR","","","AFG","BTSX","149378","149378.00000","134288.00000","168693.00000",""
"CM_01","PUBLISHED","1983","EMR","","","AFG","BTSX","138142","138142.00000","124571.00000","155201.00000",""
"CM_01","PUBLISHED","1990","EMR","","","AFG","BTSX","110011","110011.00000","100845.00000","120093.00000",""
"CM_01","PUBLISHED","1992","EMR","","","AFG","BTSX","111102","111102.00000","102378.00000","120376.00000",""
"CM_01","PUBLISHED","1997","EMR","","","AFG","BTSX","121967","121967.00000","113097.00000","131484.00000",""
"CM_01","PUBLISHED","1999","EMR","","","AFG","BTSX","124664","124664.00000","115833.00000","134492.00000",""
"CM_01","PUBLISHED","2006","EMR","","","AFG","BTSX","115387","115387.00000","107287.00000","124589.00000",""
"CM_01","PUBLISHED","2008","EMR","","","AFG","BTSX","108874","108874.00000","100870.00000","118038.00000",""
"CM_01","PUBLISHED","2015","EMR","","","AFG","BTSX","82999","82999.00000","71565.00000","95223.00000",""
"CM_01","PUBLISHED","2017","EMR","","","AFG","BTSX","77124","77124.00000","63866.00000","91209.00000",""
"CM_01","PUBLISHED","1969","EMR","","","AFG","FMLE","77423","77423.00000","68466.00000","88064.00000",""
"CM_01","PUBLISHED","1971","EMR","","","AFG","FMLE","78249","78249.00000","69210.00000","89465.00000",""
"CM_01","PUBLISHED","1978","EMR","","","AFG","FMLE","76533","76533.00000","68188.00000","86720.00000",""
"CM_01","PUBLISHED","1980","EMR","","","AFG","FMLE","73162","73162.00000","65306.00000","82778.00000",""
"CM_01","PUBLISHED","1987","EMR","","","AFG","FMLE","55370","55370.00000","50250.00000","61446.00000",""
"CM_01","PUBLISHED","1989","EMR","","","AFG","FMLE","52595","52595.00000","47959.00000","57783.00000",""
