"GHO","PUBLISHSTATE","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"Camp_airtime","PUBLISHED","AFR","COG","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","BWA","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","BFA","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","CPV","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","KEN","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","WPR","TUV","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","DZA","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","MDG","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","NGA","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","SYC","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","ZMB","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","BRB","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","GTM","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","PRY","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AMR","KNA","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EMR","EGY","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","AND","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","AZE","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","BIH","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","DNK","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","EST","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","GEO","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","ISR","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","MCO","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","SWE","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","CHE","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","UKR","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","SEAR","MDV","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","SEAR","LKA","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","WPR","MHL","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","WPR","PHL","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","TCD","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","COD","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","MWI","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EMR","QAT","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EMR","SYR","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","ALB","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","POL","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","EUR","SMR","Not applicable","","","","Data not required/not applicable"
"Camp_airtime","PUBLISHED","AFR","SWZ","Not applicable","","","","Data not required/not applicable"
