"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"CaseCS","ECDC","PUBLISHED","2012","EUR","SVN","0","0.00000","","",""
"CaseCS","GARPR","PUBLISHED","2012","AMR","VCT","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","GBR","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","CZE","1","1.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AFR","GAB","1","1.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","LVA","1","1.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","LTU","1","1.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","WPR","NRU","1","1.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","NIC","1","1.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","ESP","1","1.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","SWE","1","1.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","EUR","TJK","1","1.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","EUR","ALB","2","2.00000","","",""
"CaseCS","GARPR","PUBLISHED","2011","EMR","ARE","2","2.00000","","","Data from MoH, Health Authority of Abu Dhabi (HAAD) and Medical Services Corps (MSC)"
"CaseCS","GARPR","PUBLISHED","2013","AMR","CUB","3","3.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","SVK","0","0.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AFR","SYC","0","0.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","EMR","SAU","0","0.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","EMR","OMN","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","NOR","0","0.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AFR","MUS","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","MLT","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","LUX","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","IRL","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2010","EUR","ISL","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","HUN","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","GRC","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","EST","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2008","EUR","DNK","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","CYP","0","0.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","HRV","0","0.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","EUR","BLR","0","0.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","BHS","0","0.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","WPR","AUS","0","0.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","EUR","ARM","0","0.00000","","",""
"CaseCS","GARPR","PUBLISHED","2012","AMR","ATG","0","0.00000","","","All data is based on STI clinic reports"
"CaseCS","ECDC","PUBLISHED","2012","EUR","ITA","3","3.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","CRI","83","83.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","MEX","85","85.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","PAN","113","113.00000","","",""
"CaseCS","GARPR","PUBLISHED","","AMR","PER","344","344.00000","","","Reported cases Source: General Directorate of Epidemiology.  Spanish translation: Casos notificados, Fuente: Direccion General de Epidemiologia"
"CaseCS","GARPR","PUBLISHED","2013","AFR","MOZ","644","644.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","ARG","731","731.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","COL","1912","1912.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","BRA","11316","11316.00000","","",""
"CaseCS","GARPR","PUBLISHED","2012","AMR","GTM","12","12.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","DEU","4","4.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","WPR","MYS","4","4.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","EMR","ARE","4","4.00000","","",""
"CaseCS","GARPR","PUBLISHED","2012","EMR","BHR","5","5.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","SLV","6","6.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","ROU","6","6.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","EUR","MDA","9","9.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","SEAR","LKA","10","10.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","PRT","12","12.00000","","",""
"CaseCS","GARPR","PUBLISHED","2011","AMR","BOL","15","15.00000","","","The report presented corresponds to a surveillance study (baseline) made?in the year 2011, in five major reference maternal and child hospitals in regions of the country including a capital city with high concentration of rural population. The study was conducted on 6,200 women expecting and in labor. In this study a total of 15 children born with syphilis was found.  Spanish translation: El reporte presentado corresponde a un estudio de vigilancia (linea de base) realizado en el ano 2011, en cinco hospitales materno infantiles de mayor referencia en el pais de los despartamentos del eje troncal incluida una ciudad capital con alta concentracion de poblacion rural. El estudio fue realizado en 6.200 mujeres parturientes y puereras. En este estudio se encontro un total de 15 ninos nacidos con sifilis"
"CaseCS","GARPR","PUBLISHED","2013","EUR","KGZ","17","17.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","WPR","MNG","23","23.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","HND","26","26.00000","","","Data do not include stillbirths. Spanish translation: Los datos no incluyen mortinatos."
"CaseCS","GARPR","PUBLISHED","2013","WPR","FJI","28","28.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","BGR","29","29.00000","","",""
"CaseCS","ECDC","PUBLISHED","2012","EUR","POL","32","32.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","CHL","55","55.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","URY","76","76.00000","","",""
"CaseCS","GARPR","PUBLISHED","2013","AMR","BLZ","0","0.00000","","","Source: National case reporting. Data are representative. "
"CaseCS","GARPR","PUBLISHED","2013","AMR","BRB","0","0.00000","","","Source: ANC Clinic, 2013. Data are not representative. "
"CaseCS","GARPR","PUBLISHED","2013","AMR","DMA","0","0.00000","","","Source: Sentinel case reporting; Community Health Nurses Report. Data are representative."
"CaseCS","GARPR","PUBLISHED","2013","AMR","DOM","16","16.00000","","","Source: National case reporting; National Epidemiological Surveillance System, 2013.  Basic Health Indicators Report RD, 2013. (Original: Sistema Nacional de Vigilancia Epidemiologica, 2013. Denominador Informe Indicadores Basicos de Salud RD, 2013).   Data are representative."
"CaseCS","GARPR","PUBLISHED","2014","AMR","BHS","0","0.00000","","","Source: National case reporting.             Comments: Denominator is an estimate based on events occurring in major public and private hospitals, and excludes some private birthing institutions. The numerator is representative of the entire country but the denominator is an estimate based on events occurring in major public and private hospitals and excludes some private birthing institutions. Data are not representative."
"CaseCS","GARPR","PUBLISHED","2014","EUR","BLR","0","0.00000","","","Source: National case reporting; Statistical data of the Ministry of Health of the Republic of Belarus. The final report for 2014."
"CaseCS","GARPR","PUBLISHED","2014","AMR","BRA","13705","13705.00000","","","Data collection period: 01/01/2013 to 01/01/2013.               Source: National Disease Reporting System (SINAN)"
"CaseCS","GARPR","PUBLISHED","2014","AMR","CHL","41","41.00000","","","Data collection period: 01/01/2013 to 01/01/2013.               Source: Epidemiological Surveillance System of STIs. Ministry of Health (Original: Sistema de Vigilancia Epidemiol�gica de las ITS. Ministerio de Salud)                    Comments: The information comes from the universal system of surveillance of syphilis of the Ministry of Health. The denominator is the number of live births corrected in 2012, awarded by the National Statistics Institute-INE, the country (Original: La informaci�n proviene del sistema de vigilancia universal de la s�filis, del Ministerio de Salud. El denominador corresponde al n�mero de nacidos vivos corregidos del a�o 2012, entregado por el Instituto Nacional de Estad�sticas-INE, del pa�s.)"
"CaseCS","GARPR","PUBLISHED","2014","WPR","CHN","9252","9252.00000","","","Source: China Information System For Diseases Control and Prevention.                           Comments: No data for stillbirth cases. Data are representative."
"CaseCS","GARPR","PUBLISHED","2014","AMR","COL","1120","1120.00000","","","Source: Sentinel case reporting. Data are representative. "
"CaseCS","GARPR","PUBLISHED","2014","AFR","CPV","1","1.00000","","","Source: National case reporting.  Data are not representative. "
"CaseCS","GARPR","PUBLISHED","2014","AMR","GTM","1","1.00000","","","Source: National case reporting; SIGSA, Source for the denominator is the National Vital Statistics Report of 2012.                       Comments: Data are representative."
"CaseCS","GARPR","PUBLISHED","2014","AMR","HND","57","57.00000","","","Source: National case reporting.                   Comments: The numerator is notifications of cases of congenital syphilis by the national laboratory of the Ministry of Health and the denominator comes from the estimate of live births by 2014. Data are representative. "
"CaseCS","GARPR","PUBLISHED","2014","EUR","KGZ","11","11.00000","","","Source: National case reporting.  Data are representative. "
"CaseCS","GARPR","PUBLISHED","2014","AMR","KNA","0","0.00000","","","Source: National case reporting.                       Comments: Public sector only. Data are not representative. "
"CaseCS","GARPR","PUBLISHED","2013","WPR","FSM","9","9.00000","","","Source: FSM STD Quarterly Report. Data are representative."
"CaseCS","GARPR","PUBLISHED","2013","AMR","GRD","9","9.00000","","","Source: National case reporting; Laboratory records.  Data are representative."
"CaseCS","GARPR","PUBLISHED","2013","AMR","GUY","0","0.00000","","","Source: National case reporting. Data are representative. "
