"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"DEVICES03","PUBLISHED","2010","EMR","AFG","0.18","0.18000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","ALB","0.72","0.72000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","ARM","1.75","1.75000","","",""
"DEVICES03","PUBLISHED","2010","EUR","AZE","5.44","5.44000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","BHS","0.00","0.00000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","SEAR","BGD","0.04","0.04000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","BRB","0.00","0.00000","","",""
"DEVICES03","PUBLISHED","2010","EUR","BLR","4.01","4.01000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","BLZ","1.28","1.28000","","",""
"DEVICES03","PUBLISHED","2010","AFR","BEN","0.29","0.29000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","SEAR","BTN","1.38","1.38000","","",""
"DEVICES03","PUBLISHED","2010","AMR","BOL","0.84","0.84000","","",""
"DEVICES03","PUBLISHED","2010","EUR","BIH","0.03","0.03000","","",""
"DEVICES03","PUBLISHED","2010","AFR","BWA","0.80","0.80000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","WPR","BRN","0.75","0.75000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","BFA","0.98","0.98000","","",""
"DEVICES03","PUBLISHED","2010","AFR","BDI","0.39","0.39000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","WPR","KHM","0.43","0.43000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","CMR","0.77","0.77000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","CAN","0.88","0.88000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","CPV","0.60","0.60000","","",""
"DEVICES03","PUBLISHED","2010","AFR","CAF","0.30","0.30000","","",""
"DEVICES03","PUBLISHED","2010","AFR","TCD","0.57","0.57000","","",""
"DEVICES03","PUBLISHED","2010","AMR","CHL","0.58","0.58000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","COM","0.27","0.27000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","CRI","0.28","0.28000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","CIV","1.19","1.19000","","",""
"DEVICES03","PUBLISHED","2010","EUR","HRV","0.50","0.50000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","CUB","0.15","0.15000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","CZE","0.41","0.41000","","",""
"DEVICES03","PUBLISHED","2010","AFR","COD","0.44","0.44000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","DNK","0.52","0.52000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","DMA","2.95","2.95000","","",""
"DEVICES03","PUBLISHED","2010","EMR","EGY","0.50","0.50000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","SLV","0.40","0.40000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","ERI","0.30","0.30000","","",""
"DEVICES03","PUBLISHED","2010","EUR","EST","1.34","1.34000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","ETH","0.22","0.22000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","FIN","0.43","0.43000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","GAB","2.72","2.72000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","GMB","0.41","0.41000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","GHA","1.38","1.38000","","",""
"DEVICES03","PUBLISHED","2010","AMR","GRD","0.96","0.96000","","",""
"DEVICES03","PUBLISHED","2010","AMR","GTM","0.30","0.30000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","GIN","0.31","0.31000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","GNB","28.84","28.84000","","",""
"DEVICES03","PUBLISHED","2010","AMR","GUY","2.12","2.12000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","HTI","0.17","0.17000","","",""
"DEVICES03","PUBLISHED","2010","AMR","HND","0.21","0.21000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","HUN","0.74","0.74000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","ISL","2.19","2.19000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","SEAR","IDN","0.45","0.45000","","",""
"DEVICES03","PUBLISHED","2010","EUR","ITA","0.11","0.11000","","",""
"DEVICES03","PUBLISHED","2010","AMR","JAM","0.40","0.40000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EMR","JOR","1.66","1.66000","","",""
"DEVICES03","PUBLISHED","2010","AFR","KEN","1.55","1.55000","","",""
"DEVICES03","PUBLISHED","2010","WPR","KIR","0.00","0.00000","","",""
"DEVICES03","PUBLISHED","2010","EUR","KGZ","1.86","1.86000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","WPR","LAO","2.03","2.03000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","LVA","0.44","0.44000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EMR","LBN","0.88","0.88000","","",""
"DEVICES03","PUBLISHED","2010","AFR","LBR","0.38","0.38000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EMR","LBY","1.56","1.56000","","",""
"DEVICES03","PUBLISHED","2010","EUR","LTU","0.27","0.27000","","",""
"DEVICES03","PUBLISHED","2010","EUR","LUX","0.20","0.20000","","","Only private sector data"
"DEVICES03","PUBLISHED","2010","AFR","MDG","0.37","0.37000","","",""
"DEVICES03","PUBLISHED","2010","WPR","MYS","0.33","0.33000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","SEAR","MDV","6.65","6.65000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","MLI","0.38","0.38000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","MLT","0.48","0.48000","","",""
"DEVICES03","PUBLISHED","2010","WPR","MHL","0.00","0.00000","","",""
"DEVICES03","PUBLISHED","2010","AFR","MRT","0.78","0.78000","","",""
"DEVICES03","PUBLISHED","2010","AFR","MUS","0.15","0.15000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","WPR","FSM","0.93","0.93000","","",""
"DEVICES03","PUBLISHED","2010","WPR","MNG","1.27","1.27000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","MNE","1.43","1.43000","","",""
"DEVICES03","PUBLISHED","2010","SEAR","MMR","0.57","0.57000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","NAM","1.31","1.31000","","",""
"DEVICES03","PUBLISHED","2010","SEAR","NPL","0.22","0.22000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","NIC","0.45","0.45000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AFR","NER","0.50","0.50000","","",""
"DEVICES03","PUBLISHED","2010","EMR","OMN","1.26","1.26000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EMR","PAK","0.37","0.37000","","",""
"DEVICES03","PUBLISHED","2010","AMR","PAN","0.43","0.43000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","WPR","PNG","1.30","1.30000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","AMR","PRY","2.17","2.17000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","WPR","PHL","1.56","1.56000","","",""
"DEVICES03","PUBLISHED","2010","EUR","POL","0.18","0.18000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","MDA","0.95","0.95000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","ROU","0.43","0.43000","","","Only public sector data"
"DEVICES03","PUBLISHED","2010","EUR","RUS","0.00","0.00000","","","Only public sector data"
