"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"E14_prod_tv_films","PUBLISHED","2014","AFR","DZA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","AGO","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","BEN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","BWA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","BFA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","BDI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","CPV","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","CMR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","CAF","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","RWA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","NGA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","MUS","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","MRT","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","MLI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","MWI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","LSO","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","GNB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","GIN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","GHA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","GMB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","GAB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","ETH","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","ERI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","GNQ","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","COD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","CIV","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","COG","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","COM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","TCD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","NER","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","NAM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","MOZ","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","MDG","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","LBR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","STP","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","HTI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","SEN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","DMA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","GRD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","SYC","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","SLE","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","ZAF","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","SSD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","GTM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","GUY","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","SWZ","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","UGA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","TZA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","ZMB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","ZWE","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","ATG","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","BHS","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","BRB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","BLZ","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","BOL","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","BRA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","CAN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","CHL","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","CUB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","DOM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","HND","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","AZE","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","JAM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","MEX","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","AUT","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","NIC","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","PRY","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","PER","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","KNA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","LCA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","VCT","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","SUR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","TTO","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","USA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","VEN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","AFG","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","IRQ","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","JOR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","KWT","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","MAR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","OMN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","SAU","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","SOM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","TUN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","AND","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","ARM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","BLR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","BIH","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","BGR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","BEL","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","CYP","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","PRT","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","MDA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","CZE","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","DNK","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","EST","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","FIN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","DEU","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","GRC","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","HUN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","IRL","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","ISR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","ITA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","KAZ","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","LVA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","LTU","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","LUX","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","MLT","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","MCO","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","MNE","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","NLD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","NOR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","POL","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","SMR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","ROU","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","SRB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","SVK","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","MHL","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","FSM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","KIR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","SVN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","LAO","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","MYS","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","ESP","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","SWE","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","CHE","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","TJK","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","MKD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","TKM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","UKR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","GBR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","UZB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","BGD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","PRK","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","MMR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","THA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","TLS","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","AUS","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","BRN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","KHM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","CHN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","FJI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","JPN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","MNG","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","DJI","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","NRU","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","NZL","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","NIU","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","PLW","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","PNG","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","PHL","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","KOR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","WSM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","SGP","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","KEN","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AFR","TGO","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","ARG","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","COL","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","CRI","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","ECU","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","SLV","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","PAN","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","AMR","URY","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","BHR","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","EGY","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","IRN","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","IDN","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","LBN","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","LBY","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","PAK","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","QAT","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","SDN","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","SYR","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","ARE","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EMR","YEM","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","ALB","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","HRV","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","FRA","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","GEO","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","ISL","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","KGZ","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","RUS","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","EUR","TUR","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","BTN","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","IND","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","MDV","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","NPL","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","SEAR","LKA","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","SLB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","GAB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","ETH","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","COK","Yes","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","DZA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","AGO","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","BEN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","BWA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","BDI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","TON","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","TUV","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","VUT","No","","","",""
"E14_prod_tv_films","PUBLISHED","2014","WPR","VNM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","CPV","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","CMR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","CAF","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","TCD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","COM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","COG","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","CIV","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","COD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","GNQ","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","ERI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","GMB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","BFA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","GHA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","GIN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","GNB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","LSO","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","MWI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","LBR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","SLE","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","ATG","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","TZA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","MDG","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","MLI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","ZMB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","MRT","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","ZWE","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","MUS","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","MOZ","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","NAM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","NER","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","NGA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","RWA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","STP","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","SEN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","SYC","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","ZAF","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","SSD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","SWZ","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AFR","UGA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","BHS","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","BRB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","BOL","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","BLZ","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","BRA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","CAN","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","EMR","MAR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","CHL","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","CUB","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","EMR","JOR","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","DMA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","DOM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","GRD","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","GTM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","GUY","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","HTI","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","HND","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","JAM","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","MEX","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","NIC","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","PRY","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","PER","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","AMR","KNA","No","","","",""
"E14_prod_tv_films","PUBLISHED","2012","EMR","KWT","No","","","",""
