"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"E16_csr_promo_self","PUBLISHED","2014","AFR","DZA","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","AGO","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","BEN","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","BWA","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","BDI","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","CPV","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","CAF","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","COM","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","CIV","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","COD","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","GNQ","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","ETH","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","GAB","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","GMB","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","GNB","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","LSO","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","LBR","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","MWI","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","MRT","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","MOZ","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","NGA","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","RWA","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","STP","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","SLE","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","SSD","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","UGA","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","TZA","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","ZMB","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AFR","ZWE","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","ATG","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","BHS","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","BRB","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","BLZ","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","CHL","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","CUB","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","DMA","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","DOM","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","GRD","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","GTM","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","GUY","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","HTI","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","HND","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","JAM","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","NIC","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","PRY","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","LCA","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","VCT","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","USA","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","AMR","VEN","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","EMR","AFG","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","EMR","EGY","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","EMR","IRQ","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","EMR","JOR","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","EMR","KWT","No","","","",""
"E16_csr_promo_self","PUBLISHED","2014","EMR","MAR","No","","","",""
