"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","DZA","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","AGO","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","BEN","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","BWA","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","BFA","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","BDI","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","CPV","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","CMR","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","CAF","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","TCD","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","COM","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","COG","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","CIV","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","COD","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","GNQ","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","ERI","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","ETH","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","GAB","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","GMB","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","GHA","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","GIN","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","GNB","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","LSO","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","LBR","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","MDG","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","MWI","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","MLI","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","MRT","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","MUS","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","NAM","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","NER","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","RWA","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","STP","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","SEN","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","SYC","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","SLE","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","ZAF","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","SSD","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","SWZ","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","UGA","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AFR","TZA","No","","","",""
"E19_movies_anti_tob_ads","PUBLISHED","2014","AMR","ATG","No","","","",""
