"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","DZA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","AGO","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","BEN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","BWA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","BFA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","BDI","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","CPV","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","CMR","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","CAF","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","TCD","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","COM","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","COG","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","CIV","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","COD","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","GNQ","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","ERI","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","ETH","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","GAB","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","GMB","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","GHA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","GIN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","GNB","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","LSO","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","LBR","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","MDG","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","MWI","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","MLI","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","MRT","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","MOZ","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","NAM","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","NER","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","NGA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","RWA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","STP","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","SEN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","SYC","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","SLE","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","ZAF","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","SSD","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","UGA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","TZA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","ZMB","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AFR","ZWE","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","ATG","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","ARG","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","BHS","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","BRB","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","BLZ","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","BOL","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","BRA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","CAN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","CHL","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","COL","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","CRI","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","CUB","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","DMA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","DOM","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","ECU","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","SLV","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","GRD","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","GTM","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","GUY","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","HTI","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","HND","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","JAM","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","MEX","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","NIC","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","PRY","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","PER","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","KNA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","LCA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","VCT","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","USA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","AMR","VEN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","AFG","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","BHR","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","DJI","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","EGY","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","JOR","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","KWT","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","LBN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","LBY","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","MAR","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","OMN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","PAK","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","QAT","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","SOM","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","SDN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","SYR","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","TUN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EMR","ARE","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","ALB","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","AND","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","ARM","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","AUT","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","AZE","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","BLR","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","BEL","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","BIH","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","BGR","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","CYP","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","CZE","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","DNK","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","EST","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","FIN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","FRA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","GEO","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","DEU","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","GRC","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","HUN","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","ISL","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","ISR","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","ITA","No","","","",""
"E25_ban_display_pt_of_sale","PUBLISHED","2014","EUR","KAZ","No","","","",""
