"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"E26_direct_ad_fines","PUBLISHED","2014","AFR","DZA","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","AGO","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","BDI","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","CAF","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","CIV","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","GNQ","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","GNB","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","LSO","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","LBR","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","MDG","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","MWI","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","MRT","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","NGA","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","RWA","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","STP","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","SLE","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","SSD","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","UGA","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","ZMB","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","ZWE","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","ATG","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","BRB","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","BLZ","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","CUB","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","DMA","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","DOM","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","GRD","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","GUY","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","HTI","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","PRY","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","KNA","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","LCA","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AMR","VCT","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EMR","AFG","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EMR","BHR","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EMR","OMN","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EMR","SAU","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EMR","SOM","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EUR","AND","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EUR","AZE","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EUR","GEO","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EUR","MCO","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EUR","MDA","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EUR","SWE","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","EUR","UZB","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","SEAR","PRK","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","SEAR","IDN","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","SEAR","TLS","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","WPR","KHM","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","WPR","JPN","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","WPR","LAO","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","WPR","FSM","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","WPR","NIU","No","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","BFA","Yes","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","CMR","Yes","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","COG","Yes","","","",""
"E26_direct_ad_fines","PUBLISHED","2014","AFR","ERI","Yes","","","",""
