"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","DZA","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","AGO","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","BDI","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","CPV","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","CAF","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","CIV","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","COD","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","GNQ","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","ETH","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","GNB","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","LSO","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","LBR","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","MDG","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","MWI","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","MRT","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","NGA","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","STP","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","SLE","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","SSD","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","UGA","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AFR","ZMB","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","ATG","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","BHS","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","BRB","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","BLZ","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","CUB","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","DMA","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","DOM","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","GRD","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","GTM","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","GUY","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","HTI","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","HND","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","JAM","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","NIC","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","PRY","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","PER","No","","","",""
"E27_indirect_ad_fines","PUBLISHED","2014","AMR","KNA","No","","","",""
