"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"EC_indirect_compliance","PUBLISHED","2014","AFR","TZA","0","0.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","ALB","0","0.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","GEO","0","0.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","SEAR","IDN","0","0.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EMR","PAK","1","1.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","AFR","GIN","2","2.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","AFR","SEN","3","3.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","AMR","BOL","3","3.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EMR","EGY","3","3.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EMR","JOR","3","3.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EMR","LBY","3","3.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","MDA","3","3.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","SRB","3","3.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EMR","IRQ","4","4.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","KAZ","4","4.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","WPR","CHN","4","4.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","AFR","COM","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","AFR","SWZ","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","AMR","COL","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","AMR","GTM","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","AMR","MEX","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","AMR","SUR","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EMR","AFG","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EMR","SDN","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","ARM","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","AZE","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","BIH","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","CYP","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","CZE","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","DNK","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","GRC","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","ITA","5","5.00000","","",""
"EC_indirect_compliance","PUBLISHED","2014","EUR","LTU","5","5.00000","","",""
