"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EMFEXPOSED","EMFFREQUENCY","Display Value","Numeric","Low","High","Comments"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","ARG","EMFWORKER","EMFLOW","25","","","",""
"EMFLIMITELECTRICLF","PUBLISHED","2017","","ARG","EMFPUBLIC","EMFLOW","3","","","","At the edge of the right-of-way"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","AUS","EMFWORKER","EMFLOW","[10-30]","","","","10 kV/m: continuous exposure during the working day; 10 - 30 kV/m: short term exposure permitted, provided the rms electric field strength (kV/m) times the duration of exposure (hrs) does not exceed 80 for the whole working day"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","AUT","EMFWORKER","EMFLOW","10/20","","","","10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","RUS","EMFPUBLIC","EMFSTATIC","15","","","",""
"EMFLIMITELECTRICLF","PUBLISHED","2017","","BEL","EMFWORKER","EMFLOW","10/20","","","","10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","BGR","EMFWORKER","EMFLOW","10/20","","","","10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","BHR","EMFWORKER","EMFLOW","10","","","",""
"EMFLIMITELECTRICLF","PUBLISHED","2017","","BRA","EMFWORKER","EMFLOW","8.33","","","",""
"EMFLIMITELECTRICLF","PUBLISHED","2017","","CHE","EMFWORKER","EMFLOW","10","","","",""
"EMFLIMITELECTRICLF","PUBLISHED","2017","","CYP","EMFWORKER","EMFLOW","10/20","","","","10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","DEU","EMFWORKER","EMFLOW","10/20","","","","10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","FIN","EMFWORKER","EMFLOW","10/20","","","","10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","FRA","EMFWORKER","EMFLOW","10/20","","","","10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","GBR","EMFWORKER","EMFLOW","10/20","","","","10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","GRC","EMFWORKER","EMFLOW","10/20","","","","10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)"
"EMFLIMITELECTRICLF","PUBLISHED","2017","","IRN","EMFWORKER","EMFLOW","10","","","","(ICNIRP 1998)"
