"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EMFEXPOSED","EMFFREQUENCY","Display Value","Numeric","Low","High","Comments"
"EMFLIMITMAGNETIC","PUBLISHED","2017","","ARG","EMFWORKER","EMFLOW","1,200","","","",""
"EMFLIMITMAGNETIC","PUBLISHED","2017","","AUS","EMFWORKER","EMFLOW","[500]/[5,000]/[25,000]","","","","500 microT: continuous exposure during the working day; 5,000 microT: short term exposure for up to 2 hrs per working day; 25,000 microT: restricted to the limbs"
"EMFLIMITMAGNETIC","PUBLISHED","2017","","AUT","EMFWORKER","EMFLOW","1,000/6,000/18,000","","","","1 mT for low action levels; 6 mT for high action levels; 18 mT (exposure of limbs to localized magnetic field (DIRECTIVE 2013/35/EU)"
"EMFLIMITMAGNETIC","PUBLISHED","2017","","BEL","EMFWORKER","EMFLOW","1,000/6,000/18,000","","","","1 mT for low action levels; 6 mT for high action levels; 18 mT (exposure of limbs to localized magnetic field (DIRECTIVE 2013/35/EU)"
"EMFLIMITMAGNETIC","PUBLISHED","2017","","BGR","EMFWORKER","EMFLOW","1,000/6,000/18,000","","","","1 mT for low action levels; 6 mT for high action levels; 18 mT (exposure of limbs to localized magnetic field (DIRECTIVE 2013/35/EU)"
"EMFLIMITMAGNETIC","PUBLISHED","2017","","BHR","EMFWORKER","EMFLOW","500","","","",""
"EMFLIMITMAGNETIC","PUBLISHED","2017","","BRA","EMFWORKER","EMFLOW","416","","","",""
"EMFLIMITMAGNETIC","PUBLISHED","2017","","CHE","EMFWORKER","EMFLOW","500","","","",""
"EMFLIMITMAGNETIC","PUBLISHED","2017","","CYP","EMFWORKER","EMFLOW","1,000/6,000/18,000","","","","1 mT for low action levels; 6 mT for high action levels; 18 mT (exposure of limbs to localized magnetic field (DIRECTIVE 2013/35/EU)"
"EMFLIMITMAGNETIC","PUBLISHED","2017","","DEU","EMFWORKER","EMFLOW","1,000/6,000/18,000","","","","1 mT for low action levels; 6 mT for high action levels; 18 mT (exposure of limbs to localized magnetic field (DIRECTIVE 2013/35/EU)"
