"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EMFEXPOSED","EMFFREQUENCY","Display Value","Numeric","Low","High","Comments"
"EMFPOWERFREQUENCY","PUBLISHED","2017","","ARG","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","AUS","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","AUT","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","BEL","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","BGR","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","BHR","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","BRA","EMFWORKER","EMFLOW","60","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","CHE","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","CYP","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","DEU","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","FIN","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","FRA","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","GBR","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","GRC","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","IRN","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","ISR","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","ITA","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","KOR","EMFWORKER","EMFLOW","60","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","NLD","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","NOR","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","NZL","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","PHL","EMFWORKER","EMFLOW","60","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","USA","EMFWORKER","EMFLOW","60","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","SWE","EMFWORKER","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","ARG","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","AUS","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","AUT","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","BEL","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","BHR","EMFPUBLIC","EMFLOW","50","","","",""
"EMFPOWERFREQUENCY","PUBLISHED","2017","","BRA","EMFPUBLIC","EMFLOW","60","","","",""
