"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2001","AFR","BEN","","WQ1","150.6","150.60000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2001","AFR","BEN","","WQ2","100.3","100.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2001","AFR","BEN","","WQ3","65.5","65.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2001","AFR","BEN","","WQ4","49.6","49.60000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2001","AFR","BEN","","WQ5","12.8","12.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","WQ4","129.8","129.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","WQ3","145.0","145.00000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","WQ2","170.8","170.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","WQ1","177.5","177.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","WQ2","203.6","203.60000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","WQ1","237.6","237.60000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1996","SEAR","BGD","RUR","","230.7","230.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1996","SEAR","BGD","URB","","182.3","182.30000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2006","EUR","AZE","","WQ2","47.5","47.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2006","EUR","AZE","","WQ1","56.8","56.80000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2006","EUR","AZE","RUR","","54.1","54.10000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AFR","BEN","","WQ2","104.2","104.20000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1996","AMR","BRA","URB","","80.5","80.50000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AFR","BEN","","WQ3","77.9","77.90000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AFR","BEN","","WQ4","67.7","67.70000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","2011","AFR","BEN","","WQ5","29.6","29.60000","","",""
"EQ_ADOBIRTH","EQ_DHS","PUBLISHED","1998","AMR","BOL","","WQ3","68.3","68.30000","","",""
