"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","","9.6","9.60000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","URB","","9.3","9.30000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","RUR","","9.8","9.80000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL00TO05YR","FMLE","","","12.2","12.20000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL06TO11YR","FMLE","","","9.9","9.90000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL12PLUSYR","FMLE","","","8.8","8.80000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","WQ1","10.2","10.20000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","WQ2","10.6","10.60000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","WQ3","9.2","9.20000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","WQ4","11.6","11.60000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2008","EUR","ALB","","FMLE","","WQ5","6.2","6.20000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","","FMLE","","","14.0","14.00000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","","FMLE","URB","","13.2","13.20000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","","FMLE","RUR","","15.2","15.20000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL00TO05YR","FMLE","","","0.0","0.00000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL06TO11YR","FMLE","","","14.1","14.10000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL12PLUSYR","FMLE","","","12.6","12.60000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","","FMLE","","WQ1","11.9","11.90000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","","FMLE","","WQ2","13.7","13.70000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","","FMLE","","WQ3","13.9","13.90000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","","FMLE","","WQ4","13.1","13.10000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2000","EUR","ARM","","FMLE","","WQ5","13.4","13.40000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2005","EUR","ARM","","FMLE","","","15.4","15.40000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2005","EUR","ARM","","FMLE","URB","","15.4","15.40000","","",""
"EQ_BMI30","EQ_DHS","PUBLISHED","2005","EUR","ARM","","FMLE","RUR","","15.3","15.30000","","",""
