"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1996","SEAR","BGD","EDLVL06TO11YR","","","67.8","67.80000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ1","52.7","52.70000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","WQ5","67.7","67.70000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","WQ3","56.2","56.20000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","URB","","54.4","54.40000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","53.1","53.10000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ4","59.1","59.10000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL06TO11YR","","","55.6","55.60000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2000","EUR","ARM","","RUR","","62.5","62.50000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","60.5","60.50000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ1","73.2","73.20000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","RUR","","52.3","52.30000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","WQ5","64.2","64.20000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2012","AMR","BRB","","URB","","60.9","60.90000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","WQ3","60.8","60.80000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","WQ5","65.0","65.00000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","WQ2","75.0","75.00000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2005","EUR","BLR","","","WQ4","76.6","76.60000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2012","EUR","BLR","EDLVL00TO05YR","","","59.3","59.30000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2012","EUR","BLR","EDLVL12PLUSYR","","","70.0","70.00000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","URB","","62.2","62.20000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2011","AMR","BLZ","EDLVL00TO05YR","","","64.6","64.60000","","",""
"EQ_CONTRACEPTIVE","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ5","68.5","68.50000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1996","AFR","BEN","","URB","","19.0","19.00000","","",""
"EQ_CONTRACEPTIVE","EQ_DHS","PUBLISHED","1996","AFR","BEN","","","WQ1","7.6","7.60000","","",""
