"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","65.9","65.90000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","URB","","56.6","56.60000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","RUR","","67.6","67.60000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","WQ1","63.5","63.50000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","WQ2","50.4","50.40000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","WQ3","59.9","59.90000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","WQ4","53.1","53.10000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","WQ5","53.1","53.10000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","16.7","16.70000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","URB","","17.0","17.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","RUR","","16.5","16.50000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","","WQ1","34.0","34.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","","WQ2","0.0","0.00000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","","WQ3","4.7","4.70000","","",""
"EQ_INFANTMORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","","WQ4","15.3","15.30000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","18.0","18.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","URB","","15.0","15.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","RUR","","19.0","19.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","WQ1","8.0","8.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","WQ2","22.0","22.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","WQ3","4.0","4.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","WQ4","21.0","21.00000","","",""
"EQ_INFANTMORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","WQ5","8.0","8.00000","","",""
