"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2012","AFR","COM","","RUR","","42.2","42.22493","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2012","AFR","COM","EDLVL06TO11YR","","","33.4","33.41337","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2010","AFR","TCD","","","WQ1","6.3","6.29389","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2010","AFR","TCD","EDLVL06TO11YR","","","32.3","32.31542","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","WQ5","43.3","43.31606","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2010","AFR","CAF","","","WQ3","35.1","35.10393","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2010","AFR","CAF","","URB","","41.3","41.26126","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2011","AFR","CMR","","","WQ5","31.9","31.89555","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2011","AFR","CMR","EDLVL00TO05YR","","","15.6","15.60119","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2011","AFR","CMR","","URB","","24.8","24.81513","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2005","WPR","KHM","","","WQ2","2.7","2.69384","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2005","WPR","KHM","EDLVL12PLUSYR","","","0.7","0.66677","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2003","AFR","BFA","EDLVL06TO11YR","","","6.6","6.60923","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","WQ3","68.4","68.35405","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2011","AFR","BEN","","","WQ1","68.4","68.43762","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2011","AFR","BEN","","URB","","71.1","71.13702","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","WQ5","37.6","37.56315","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2005","AFR","COG","","","","6.0","6.01858","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2005","AFR","ETH","","","","1.5","1.54575","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2005","AFR","COG","","RUR","","6.1","6.12643","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2005","AFR","COG","","","WQ2","5.7","5.73848","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2005","AFR","COG","","","WQ4","5.0","5.00465","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2011","AFR","COG","EDLVL12PLUSYR","","","25.7","25.67854","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2011","AFR","COG","","","WQ2","25.3","25.31065","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2007","AFR","COD","EDLVL00TO05YR","","","4.8","4.76746","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2007","AFR","COD","EDLVL12PLUSYR","","","17.2","17.17126","","",""
"EQ_ITNUNDER5","EQ_DHS","PUBLISHED","2007","AFR","COD","","","WQ5","15.8","15.82885","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2010","AFR","COD","","URB","","42.8","42.79205","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2010","AFR","COD","","","WQ3","38.8","38.76499","","",""
"EQ_ITNUNDER5","EQ_MICS","PUBLISHED","2010","AFR","COD","","","WQ5","56.3","56.34362","","",""
