"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","","MLE","","","75.5","75.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","","MLE","URB","","83.7","83.70000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL00TO05YR","MLE","","","20.1","20.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","","MLE","RUR","","68.5","68.50000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL00TO05YR","MLE","","","47.2","47.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL06TO11YR","MLE","","","80.4","80.40000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL12PLUSYR","MLE","","","87.8","87.80000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","","MLE","","WQ1","71.0","71.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","","MLE","","WQ2","82.2","82.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","","MLE","","WQ3","86.0","86.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","","MLE","","WQ4","85.9","85.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2008","EUR","ALB","","MLE","","WQ5","91.7","91.70000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","","MLE","","","81.1","81.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","","MLE","URB","","88.9","88.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","","MLE","RUR","","67.1","67.10000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL00TO05YR","MLE","","","100.0","100.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL06TO11YR","MLE","","","88.9","88.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL12PLUSYR","MLE","","","88.9","88.90000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","","MLE","","WQ1","79.0","79.00000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","","MLE","","WQ2","93.2","93.20000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","","MLE","","WQ3","83.6","83.60000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","","MLE","","WQ4","90.7","90.70000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2000","EUR","ARM","","MLE","","WQ5","97.3","97.30000","","",""
"EQ_KNHIV","EQ_DHS","PUBLISHED","2005","EUR","ARM","","MLE","","","78.3","78.30000","","",""
