"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","49.6","49.60000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2010","EMR","AFG","","URB","","67.0","67.00000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2010","EMR","AFG","","RUR","","46.6","46.60000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2010","EMR","AFG","EDLVL00TO05YR","","","64.0","64.00000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2010","EMR","AFG","EDLVL06TO11YR","","","82.5","82.50000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2010","EMR","AFG","EDLVL12PLUSYR","","","88.9","88.90000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ1","55.8","55.80000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ2","61.7","61.70000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ3","68.0","68.00000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ5","79.1","79.10000","","",""
"EQ_MEAIMM","EQ_DHS","PUBLISHED","2000","EUR","ARM","","URB","","85.0","85.00000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","79.5","79.50000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","","URB","","82.0","82.00000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","","RUR","","78.1","78.10000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","EDLVL00TO05YR","","","67.9","67.90000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","EDLVL06TO11YR","","","83.4","83.40000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","EDLVL12PLUSYR","","","75.7","75.70000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ1","65.6","65.60000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ2","83.4","83.40000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ3","82.9","82.90000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ4","87.6","87.60000","","",""
"EQ_MEAIMM","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ5","92.3","92.30000","","",""
"EQ_MEAIMM","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","97.7","97.70000","","",""
"EQ_MEAIMM","EQ_DHS","PUBLISHED","2008","EUR","ALB","","URB","","97.6","97.60000","","",""
"EQ_MEAIMM","EQ_DHS","PUBLISHED","2008","EUR","ALB","","RUR","","97.8","97.80000","","",""
"EQ_MEAIMM","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL00TO05YR","","","89.0","89.00000","","",""
"EQ_MEAIMM","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL06TO11YR","","","97.8","97.80000","","",""
"EQ_MEAIMM","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL12PLUSYR","","","98.1","98.10000","","",""
