"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","WQ4","0.0","0.00000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","23.0","23.00000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ2","1.9","1.90000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ4","0.0","0.00000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","1999","SEAR","BGD","EDLVL00TO05YR","","","5.3","5.30000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","1999","SEAR","BGD","EDLVL12PLUSYR","","","0.0","0.00000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","WQ2","0.8","0.80000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","1993","SEAR","BGD","EDLVL06TO11YR","","","1.2","1.20000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","RUR","","29.5","29.50000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","26.6","26.60000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","WQ1","0.9","0.90000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","2006","EUR","AZE","EDLVL06TO11YR","","","0.1","0.10000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ3","0.0","0.00000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ1","0.2","0.20000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","2010","EUR","ARM","","URB","","0.0","0.00000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ5","0.0","0.00000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ3","0.0","0.00000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL00TO05YR","","","0.1","0.10000","","",""
"EQ_OPENDEFECATION","EQ_DHS","PUBLISHED","2005","EUR","ARM","","URB","","0.1","0.10000","","",""
