"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","URB","","1.4","1.40000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","RUR","","0.8","0.80000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2007","SEAR","BGD","EDLVL12PLUSYR","","","5.0","5.00000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","WQ1","0.1","0.10000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","WQ2","0.7","0.70000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","","WQ3","0.1","0.10000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL12PLUSYR","","","10.9","10.90000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ1","7.7","7.70000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ3","6.4","6.40000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ4","11.7","11.70000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ5","15.8","15.80000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2001","AFR","BEN","","URB","","2.5","2.50000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2001","AFR","BEN","","RUR","","2.7","2.70000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2001","AFR","BEN","EDLVL00TO05YR","","","2.4","2.40000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2001","AFR","BEN","EDLVL06TO11YR","","","1.7","1.70000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ5","14.0","14.00000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","12.9","12.90000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2006","EUR","AZE","","URB","","14.2","14.20000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2006","EUR","AZE","","RUR","","11.5","11.50000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","0.9","0.90000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ2","18.6","18.60000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2010","SEAR","BTN","EDLVL00TO05YR","","","8.7","8.70000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2010","SEAR","BTN","EDLVL06TO11YR","","","12.0","12.00000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2010","SEAR","BTN","EDLVL12PLUSYR","","","10.0","10.00000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","WQ2","7.0","7.00000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","WQ3","10.6","10.60000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","WQ4","8.5","8.50000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","1994","AMR","BOL","","","WQ5","6.3","6.30000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ3","20.4","20.40000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ4","25.9","25.90000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ5","19.9","19.90000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","15.5","15.50000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL00TO05YR","","","4.8","4.80000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL06TO11YR","","","11.7","11.70000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","1996","SEAR","BGD","EDLVL06TO11YR","","","2.3","2.30000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","1996","SEAR","BGD","EDLVL12PLUSYR","","","3.2","3.20000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ1","3.2","3.20000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ2","0.0","0.00000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","WQ3","2.0","2.00000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","WQ5","2.3","2.30000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2012","AMR","BRB","","","","12.2","12.20000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2012","AMR","BRB","","URB","","11.4","11.40000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2012","AMR","BRB","","RUR","","13.7","13.70000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2012","AMR","BRB","EDLVL06TO11YR","","","9.7","9.70000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ1","2.3","2.30000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","","WQ2","13.2","13.20000","","",""
"EQ_OVERWEIGHT","EQ_MICS","PUBLISHED","2010","SEAR","BTN","","RUR","","6.6","6.60000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2003","AFR","BFA","EDLVL12PLUSYR","","","5.6","5.60000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2003","AFR","BFA","","","WQ1","1.1","1.10000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","WQ3","4.3","4.30000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","WQ4","2.8","2.80000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2010","AFR","BFA","","","WQ5","3.5","3.50000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2010","AFR","BDI","","","","2.7","2.70000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2010","AFR","BDI","","URB","","3.0","3.00000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","WQ4","10.8","10.80000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2008","AMR","BOL","","","WQ5","11.6","11.60000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","WQ2","9.7","9.70000","","",""
"EQ_OVERWEIGHT","EQ_DHS","PUBLISHED","2006","AFR","BEN","","","WQ3","7.3","7.30000","","",""
