"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","38.6","38.60000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","","URB","","74.3","74.30000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","","RUR","","30.5","30.50000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","EDLVL00TO05YR","","","70.5","70.50000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","EDLVL06TO11YR","","","90.7","90.70000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","EDLVL12PLUSYR","","","96.7","96.70000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ1","49.7","49.70000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ2","69.6","69.60000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ3","79.4","79.40000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ4","88.1","88.10000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","WQ5","93.4","93.40000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","","99.8","99.80000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2005","EUR","ALB","","URB","","100.0","100.00000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2005","EUR","ALB","","RUR","","99.6","99.60000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2005","EUR","ALB","EDLVL00TO05YR","","","100.0","100.00000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2005","EUR","ALB","EDLVL06TO11YR","","","100.0","100.00000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ1","100.0","100.00000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ2","100.0","100.00000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ3","100.0","100.00000","","",""
"EQ_SBA","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ4","100.0","100.00000","","",""
