"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","SEX","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MDG","","FMLE","RUR","","30.5","0.30500","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","MDG","","FMLE","RUR","","47.4","0.47400","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","MLI","","FMLE","RUR","","43.5","0.43500","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","CMR","","FMLE","","","11.8","0.11800","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","COG","","FMLE","","","67.2","0.67200","","",""
"EQ_SLEPTNETS","PUBLISHED","2009","AMR","GUY","","FMLE","","","77.2","0.77200","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","SWZ","","FMLE","","","0.4","0.00400","","",""
"EQ_SLEPTNETS","PUBLISHED","2004","AFR","TZA","","FMLE","","","34.6","0.34600","","",""
"EQ_SLEPTNETS","PUBLISHED","2010","AFR","TZA","","FMLE","","","64.2","0.64200","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NER","","FMLE","URB","","32.6","0.32600","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","NGA","","FMLE","URB","","2.8","0.02800","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","NGA","","FMLE","URB","","6.4","0.06400","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","EMR","PAK","","FMLE","URB","","0.9","0.00900","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","GHA","","FMLE","","WQ1","22.5","0.22500","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","GIN","","FMLE","","WQ1","11.1","0.11100","","",""
"EQ_SLEPTNETS","PUBLISHED","2009","AMR","GUY","","FMLE","","WQ1","60.8","0.60800","","",""
"EQ_SLEPTNETS","PUBLISHED","2008","AFR","MDG","","FMLE","","WQ1","50.3","0.50300","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","UGA","","FMLE","","WQ1","33.3","0.33300","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AFR","ZMB","","FMLE","","WQ1","13.3","0.13300","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","ZMB","","FMLE","","WQ1","32.3","0.32300","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AFR","BEN","","FMLE","","WQ2","29.1","0.29100","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","BEN","","FMLE","","WQ2","49.1","0.49100","","",""
"EQ_SLEPTNETS","PUBLISHED","2001","AMR","NIC","","FMLE","","WQ2","39.9","0.39900","","",""
"EQ_SLEPTNETS","PUBLISHED","2006","AFR","NER","","FMLE","","WQ2","33.8","0.33800","","",""
"EQ_SLEPTNETS","PUBLISHED","2005","AFR","RWA","","FMLE","","WQ2","17.9","0.17900","","",""
"EQ_SLEPTNETS","PUBLISHED","2007","AFR","RWA","","FMLE","","WQ2","58.2","0.58200","","",""
"EQ_SLEPTNETS","PUBLISHED","2003","AFR","MDG","","FMLE","","WQ3","34.6","0.34600","","",""
