"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2006","EUR","AZE","","URB","","1.0","1.00000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2006","EUR","AZE","","RUR","","22.5","22.50000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","","84.5","84.50000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2010","EMR","AFG","","URB","","32.7","32.70000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2010","EMR","AFG","","RUR","","95.7","95.70000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2010","EMR","AFG","EDLVL00TO05YR","","","41.7","41.70000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2005","EUR","ALB","EDLVL12PLUSYR","","","16.1","16.10000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ1","76.0","76.00000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","WQ2","43.9","43.90000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ1","3.4","3.40000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ2","0.6","0.60000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ3","0.1","0.10000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ4","0.0","0.00000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","10.6","10.60000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","URB","","62.3","62.30000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","WQ4","0.0","0.00000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2012","EUR","BLR","","","WQ5","0.0","0.00000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2011","AMR","BLZ","","RUR","","29.1","29.10000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2011","AMR","BLZ","EDLVL00TO05YR","","","6.9","6.90000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2007","SEAR","BGD","","RUR","","99.4","99.40000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2006","EUR","AZE","EDLVL00TO05YR","","","2.6","2.60000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2006","EUR","AZE","EDLVL06TO11YR","","","1.3","1.30000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","WQ1","98.7","98.70000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","WQ2","94.7","94.70000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","WQ3","78.6","78.60000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","WQ4","49.6","49.60000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2007","SEAR","BGD","EDLVL00TO05YR","","","75.4","75.40000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2007","SEAR","BGD","EDLVL06TO11YR","","","56.3","56.30000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","WQ2","85.7","85.70000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","WQ3","53.4","53.40000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","WQ4","36.6","36.60000","","",""
"EQ_SOLIDFUELS","EQ_DHS","PUBLISHED","2011","SEAR","BGD","","","WQ5","5.9","5.90000","","",""
"EQ_SOLIDFUELS","EQ_MICS","PUBLISHED","2005","EUR","BLR","","URB","","0.3","0.30000","","",""
