"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","","19.3","19.30000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","URB","","19.8","19.80000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","RUR","","18.9","18.90000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL00TO05YR","","","35.8","35.80000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL06TO11YR","","","21.5","21.50000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","EDLVL12PLUSYR","","","17.6","17.60000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ1","29.1","29.10000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ2","21.4","21.40000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ3","23.5","23.50000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ4","16.1","16.10000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","WQ5","11.5","11.50000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","","16.7","16.70000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2000","EUR","ARM","","URB","","14.2","14.20000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2000","EUR","ARM","","RUR","","19.4","19.40000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL06TO11YR","","","15.2","15.20000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2000","EUR","ARM","EDLVL12PLUSYR","","","13.4","13.40000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ1","16.2","16.20000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ2","14.3","14.30000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ3","13.5","13.50000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ4","15.8","15.80000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2000","EUR","ARM","","","WQ5","11.1","11.10000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","18.0","18.00000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","","URB","","18.7","18.70000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ2","9.5","9.50000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ3","23.0","23.00000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ4","33.9","33.90000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ5","11.7","11.70000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","19.2","19.20000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2010","EUR","ARM","","URB","","17.4","17.40000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2010","EUR","ARM","","RUR","","21.8","21.80000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2010","EUR","ARM","EDLVL06TO11YR","","","20.4","20.40000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2010","EUR","ARM","EDLVL12PLUSYR","","","15.9","15.90000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ1","19.4","19.40000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ2","18.1","18.10000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ3","20.0","20.00000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ4","12.7","12.70000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","WQ5","17.7","17.70000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","25.1","25.10000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2006","EUR","AZE","","URB","","20.4","20.40000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2006","EUR","AZE","","RUR","","29.7","29.70000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2006","EUR","AZE","EDLVL00TO05YR","","","53.0","53.00000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2006","EUR","AZE","EDLVL06TO11YR","","","24.4","24.40000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","","RUR","","16.9","16.90000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL00TO05YR","","","68.2","68.20000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL06TO11YR","","","19.0","19.00000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","EDLVL12PLUSYR","","","13.4","13.40000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","WQ1","11.2","11.20000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","WQ1","32.5","32.50000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","WQ3","50.0","50.00000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","WQ2","23.6","23.60000","","",""
"EQ_STUNT","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","WQ3","20.5","20.50000","","",""
