"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","","102.2","102.20000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","URB","","86.0","86.00000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","RUR","","105.3","105.30000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","WQ1","98.0","98.00000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","WQ2","75.1","75.10000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","WQ3","91.7","91.70000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","WQ4","79.8","79.80000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2010","EMR","AFG","","WQ5","79.8","79.80000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","","","19.9","19.90000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","URB","","20.3","20.30000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","RUR","","19.6","19.60000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","","WQ1","47.1","47.10000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","","WQ2","0.0","0.00000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","","WQ3","5.4","5.40000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2005","EUR","ARM","","WQ5","18.0","18.00000","","",""
"EQ_U5MORT","EQ_MICS","PUBLISHED","2005","EUR","ALB","","WQ4","18.2","18.20000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","","22.0","22.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","URB","","15.0","15.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","RUR","","25.0","25.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","WQ1","9.0","9.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","WQ2","22.0","22.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","WQ3","4.0","4.00000","","",""
"EQ_U5MORT","EQ_DHS","PUBLISHED","2008","EUR","ALB","","WQ4","21.0","21.00000","","",""
