"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"EQ_URBPOP","PUBLISHED","1950","EMR","AFG","5.8","5.80000","","",""
"EQ_URBPOP","PUBLISHED","1960","EMR","AFG","8.2","8.22100","","",""
"EQ_URBPOP","PUBLISHED","1970","EMR","AFG","11.5","11.52900","","",""
"EQ_URBPOP","PUBLISHED","1980","EMR","AFG","15.7","15.68100","","",""
"EQ_URBPOP","PUBLISHED","1990","EMR","AFG","18.3","18.31600","","",""
"EQ_URBPOP","PUBLISHED","2000","EMR","AFG","21.3","21.28200","","",""
"EQ_URBPOP","PUBLISHED","2010","EMR","AFG","24.7","24.68900","","",""
"EQ_URBPOP","PUBLISHED","2020","EMR","AFG","28.9","28.93700","","",""
"EQ_URBPOP","PUBLISHED","2030","EMR","AFG","34.0","33.99600","","",""
"EQ_URBPOP","PUBLISHED","2040","EMR","AFG","39.5","39.52900","","",""
"EQ_URBPOP","PUBLISHED","2050","EMR","AFG","45.3","45.34300","","",""
"EQ_URBPOP","PUBLISHED","1950","AFR","AGO","7.6","7.57600","","",""
"EQ_URBPOP","PUBLISHED","1960","AFR","AGO","10.4","10.43500","","",""
"EQ_URBPOP","PUBLISHED","1970","AFR","AGO","15.0","14.95700","","",""
"EQ_URBPOP","PUBLISHED","1980","AFR","AGO","19.8","19.76600","","",""
"EQ_URBPOP","PUBLISHED","1990","AFR","AGO","25.6","25.58200","","",""
"EQ_URBPOP","PUBLISHED","2000","AFR","AGO","32.4","32.41900","","",""
"EQ_URBPOP","PUBLISHED","2010","AFR","AGO","40.1","40.09700","","",""
"EQ_URBPOP","PUBLISHED","2020","AFR","AGO","47.8","47.79500","","",""
"EQ_URBPOP","PUBLISHED","2030","AFR","AGO","54.4","54.36200","","",""
"EQ_URBPOP","PUBLISHED","2040","AFR","AGO","59.4","59.36800","","",""
"EQ_URBPOP","PUBLISHED","2050","AFR","AGO","63.8","63.83100","","",""
"EQ_URBPOP","PUBLISHED","1950","EUR","ALB","20.5","20.52800","","",""
"EQ_URBPOP","PUBLISHED","1960","EUR","ALB","30.7","30.70500","","",""
"EQ_URBPOP","PUBLISHED","1970","EUR","ALB","31.7","31.74000","","",""
"EQ_URBPOP","PUBLISHED","1980","EUR","ALB","33.8","33.76200","","",""
"EQ_URBPOP","PUBLISHED","1990","EUR","ALB","36.4","36.42800","","",""
"EQ_URBPOP","PUBLISHED","2000","EUR","ALB","41.7","41.74100","","",""
"EQ_URBPOP","PUBLISHED","2010","EUR","ALB","52.2","52.16300","","",""
"EQ_URBPOP","PUBLISHED","2020","EUR","ALB","62.0","61.95300","","",""
"EQ_URBPOP","PUBLISHED","2030","EUR","ALB","68.8","68.77100","","",""
"EQ_URBPOP","PUBLISHED","2040","EUR","ALB","72.8","72.76400","","",""
"EQ_URBPOP","PUBLISHED","2050","EUR","ALB","75.8","75.80500","","",""
"EQ_URBPOP","PUBLISHED","1950","EUR","AND","38.8","38.80000","","",""
"EQ_URBPOP","PUBLISHED","1960","EUR","AND","58.5","58.45000","","",""
"EQ_URBPOP","PUBLISHED","1970","EUR","AND","80.2","80.15500","","",""
"EQ_URBPOP","PUBLISHED","1980","EUR","AND","92.1","92.06400","","",""
"EQ_URBPOP","PUBLISHED","1990","EUR","AND","94.7","94.71200","","",""
"EQ_URBPOP","PUBLISHED","2000","EUR","AND","92.4","92.39500","","",""
"EQ_URBPOP","PUBLISHED","2010","EUR","AND","87.8","87.81700","","",""
"EQ_URBPOP","PUBLISHED","2020","EUR","AND","82.8","82.80400","","",""
"EQ_URBPOP","PUBLISHED","2030","EUR","AND","80.3","80.34200","","",""
"EQ_URBPOP","PUBLISHED","2040","EUR","AND","81.3","81.30400","","",""
"EQ_URBPOP","PUBLISHED","2050","EUR","AND","83.0","82.95600","","",""
"EQ_URBPOP","PUBLISHED","1950","EMR","ARE","54.5","54.50000","","",""
"EQ_URBPOP","PUBLISHED","1960","EMR","ARE","73.5","73.50000","","",""
"EQ_URBPOP","PUBLISHED","1970","EMR","ARE","79.8","79.80000","","",""
