"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_WATER","PUBLISHED","1991","AFR","CMR","","WQ5","96.6","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","CMR","","WQ1","34.7","","","",""
"EQ_WATER","PUBLISHED","1991","AFR","CMR","","WQ4","87.8","","","",""
"EQ_WATER","PUBLISHED","1991","AFR","CMR","","WQ3","81.7","","","",""
"EQ_WATER","PUBLISHED","1991","AFR","CMR","","WQ2","61.2","","","",""
"EQ_WATER","PUBLISHED","1991","AFR","CMR","","WQ1","33.7","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","BFA","","WQ5","99.5","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","BFA","","WQ4","96.2","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","BFA","","WQ3","90.7","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","BFA","","WQ2","89.7","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","BFA","","WQ1","53.5","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","BFA","","WQ5","92.9","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","BFA","","WQ4","77.5","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","BFA","","WQ3","74.9","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","BFA","","WQ2","56.6","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","BFA","","WQ1","30.8","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","BEN","","WQ5","96.8","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","BEN","","WQ4","91.0","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","BEN","","WQ3","86.1","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","BEN","","WQ2","75.1","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","BEN","","WQ1","52.5","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","BEN","","WQ5","95.8","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","BEN","","WQ4","87.2","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","BEN","","WQ3","79.9","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","BEN","","WQ2","65.2","","","",""
"EQ_WATER","PUBLISHED","1996","AFR","BEN","","WQ1","42.5","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","CMR","","WQ2","67.4","","","",""
"EQ_WATER","PUBLISHED","1990","AMR","COL","","WQ2","99.4","","","",""
"EQ_WATER","PUBLISHED","1990","AMR","COL","","WQ3","100.0","","","",""
"EQ_WATER","PUBLISHED","1990","AMR","COL","","WQ4","100.0","","","",""
"EQ_WATER","PUBLISHED","1990","AMR","COL","","WQ5","100.0","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","COL","","WQ1","88.4","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","COL","","WQ2","92.7","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","COL","","WQ3","94.5","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","COL","","WQ4","95.4","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","COL","","WQ5","94.6","","","",""
"EQ_WATER","PUBLISHED","1996","AMR","DOM","","WQ1","96.0","","","",""
"EQ_WATER","PUBLISHED","1996","AMR","DOM","","WQ2","85.0","","","",""
"EQ_WATER","PUBLISHED","1996","AMR","DOM","","WQ3","65.4","","","",""
"EQ_WATER","PUBLISHED","1996","AMR","DOM","","WQ4","52.0","","","",""
"EQ_WATER","PUBLISHED","1996","AMR","DOM","","WQ5","33.1","","","",""
"EQ_WATER","PUBLISHED","2007","AMR","DOM","","WQ1","46.9","","","",""
"EQ_WATER","PUBLISHED","2007","AMR","DOM","","WQ2","28.7","","","",""
"EQ_WATER","PUBLISHED","2007","AMR","DOM","","WQ3","19.9","","","",""
"EQ_WATER","PUBLISHED","2007","AMR","DOM","","WQ4","10.5","","","",""
"EQ_WATER","PUBLISHED","2007","AMR","DOM","","WQ5","7.4","","","",""
"EQ_WATER","PUBLISHED","1995","EMR","EGY","","WQ1","87.6","","","",""
"EQ_WATER","PUBLISHED","1995","EMR","EGY","","WQ2","97.0","","","",""
"EQ_WATER","PUBLISHED","1995","EMR","EGY","","WQ3","98.6","","","",""
"EQ_WATER","PUBLISHED","1995","EMR","EGY","","WQ4","99.3","","","",""
"EQ_WATER","PUBLISHED","1995","EMR","EGY","","WQ5","99.9","","","",""
"EQ_WATER","PUBLISHED","2005","EMR","EGY","","WQ1","96.5","","","",""
"EQ_WATER","PUBLISHED","2005","EMR","EGY","","WQ2","99.4","","","",""
"EQ_WATER","PUBLISHED","2005","EMR","EGY","","WQ3","99.5","","","",""
"EQ_WATER","PUBLISHED","2005","EMR","EGY","","WQ4","99.2","","","",""
"EQ_WATER","PUBLISHED","2005","EMR","EGY","","WQ5","99.2","","","",""
"EQ_WATER","PUBLISHED","1993","SEAR","BGD","","WQ1","98.7","","","",""
"EQ_WATER","PUBLISHED","1993","SEAR","BGD","","WQ2","95.8","","","",""
"EQ_WATER","PUBLISHED","1993","SEAR","BGD","","WQ3","99.0","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","CMR","","WQ3","80.8","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","CMR","","WQ4","85.0","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","CMR","","WQ5","93.2","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","GHA","","WQ1","42.5","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","GHA","","WQ2","78.4","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","GHA","","WQ3","89.4","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","GHA","","WQ4","94.2","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","GHA","","WQ5","96.9","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","GHA","","WQ1","69.2","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","GHA","","WQ2","77.3","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","GHA","","WQ3","89.4","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","GHA","","WQ4","88.8","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","GHA","","WQ5","92.9","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","BOL","","WQ1","57.3","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","BOL","","WQ2","81.8","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","BOL","","WQ3","93.3","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","BOL","","WQ4","98.1","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","BOL","","WQ5","100.0","","","",""
"EQ_WATER","PUBLISHED","2003","AMR","BOL","","WQ1","68.3","","","",""
"EQ_WATER","PUBLISHED","2003","AMR","BOL","","WQ2","90.0","","","",""
"EQ_WATER","PUBLISHED","2003","AMR","BOL","","WQ3","94.3","","","",""
"EQ_WATER","PUBLISHED","2003","AMR","BOL","","WQ4","97.8","","","",""
"EQ_WATER","PUBLISHED","2003","AMR","BOL","","WQ5","99.1","","","",""
"EQ_WATER","PUBLISHED","1990","AMR","COL","","WQ1","90.4","","","",""
"EQ_WATER","PUBLISHED","1993","SEAR","BGD","","WQ4","99.4","","","",""
"EQ_WATER","PUBLISHED","1993","SEAR","BGD","","WQ5","100.0","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","BGD","","WQ1","98.9","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","BGD","","WQ2","98.9","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","BGD","","WQ3","99.5","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","BGD","","WQ4","99.7","","","",""
"EQ_WATER","PUBLISHED","2007","SEAR","BGD","","WQ5","99.7","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","KEN","","WQ1","81.1","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","KEN","","WQ2","78.9","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","KEN","","WQ3","89.1","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","KEN","","WQ4","93.1","","","",""
"EQ_WATER","PUBLISHED","1993","AFR","KEN","","WQ5","99.4","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","KEN","","WQ1","43.4","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","KEN","","WQ2","74.1","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","KEN","","WQ3","83.6","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","KEN","","WQ4","96.0","","","",""
"EQ_WATER","PUBLISHED","2003","AFR","KEN","","WQ5","96.3","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","MWI","","WQ1","66.7","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","MWI","","WQ2","89.6","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","MWI","","WQ3","96.0","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","MWI","","WQ4","100.0","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","MWI","","WQ5","100.0","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","MWI","","WQ1","72.2","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","MWI","","WQ2","91.3","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","MWI","","WQ3","95.2","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","MWI","","WQ4","97.8","","","",""
"EQ_WATER","PUBLISHED","2004","AFR","MWI","","WQ5","98.6","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","MLI","","WQ1","19.1","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","MLI","","WQ2","42.6","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","MLI","","WQ3","50.9","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","MLI","","WQ4","66.8","","","",""
"EQ_WATER","PUBLISHED","1995","AFR","MLI","","WQ5","81.6","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","MLI","","WQ1","41.6","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","MLI","","WQ2","60.6","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","MLI","","WQ3","85.8","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","MLI","","WQ4","92.1","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","MLI","","WQ5","98.2","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","NAM","","WQ1","83.7","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","NAM","","WQ2","98.4","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","NAM","","WQ3","99.6","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","NAM","","WQ4","99.2","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","NAM","","WQ5","100.0","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","NAM","","WQ1","97.6","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","NAM","","WQ2","99.4","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","NAM","","WQ3","99.8","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","NAM","","WQ4","99.5","","","",""
"EQ_WATER","PUBLISHED","2006","AFR","NAM","","WQ5","96.9","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","RWA","","WQ1","35.7","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","RWA","","WQ2","62.1","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","RWA","","WQ3","63.7","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","RWA","","WQ4","90.8","","","",""
"EQ_WATER","PUBLISHED","1992","AFR","RWA","","WQ5","96.9","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","RWA","","WQ1","19.0","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","RWA","","WQ2","39.4","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","RWA","","WQ3","55.2","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","RWA","","WQ4","75.0","","","",""
"EQ_WATER","PUBLISHED","2005","AFR","RWA","","WQ5","87.8","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","HTI","","WQ1","49.0","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","HTI","","WQ2","40.8","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","HTI","","WQ3","50.4","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","HTI","","WQ4","54.5","","","",""
"EQ_WATER","PUBLISHED","1994","AMR","HTI","","WQ5","68.0","","","",""
"EQ_WATER","PUBLISHED","2005","AMR","HTI","","WQ1","47.0","","","",""
"EQ_WATER","PUBLISHED","1992","SEAR","IND","","WQ1","47.0","","","",""
"EQ_WATER","PUBLISHED","1992","SEAR","IND","","WQ2","64.1","","","",""
"EQ_WATER","PUBLISHED","1992","SEAR","IND","","WQ3","72.9","","","",""
"EQ_WATER","PUBLISHED","1992","SEAR","IND","","WQ4","81.0","","","",""
"EQ_WATER","PUBLISHED","1992","SEAR","IND","","WQ5","89.5","","","",""
"EQ_WATER","PUBLISHED","2005","SEAR","IND","","WQ1","58.3","","","",""
"EQ_WATER","PUBLISHED","2005","SEAR","IND","","WQ2","69.5","","","",""
"EQ_WATER","PUBLISHED","2005","SEAR","IND","","WQ3","72.4","","","",""
"EQ_WATER","PUBLISHED","2005","SEAR","IND","","WQ4","77.2","","","",""
"EQ_WATER","PUBLISHED","2005","SEAR","IND","","WQ5","81.6","","","",""
"EQ_WATER","PUBLISHED","1997","SEAR","IDN","","WQ1","64.2","","","",""
"EQ_WATER","PUBLISHED","1997","SEAR","IDN","","WQ2","73.8","","","",""
