"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_WATERPIPED","PUBLISHED","2007","SEAR","BGD","","RUR","","0.4","0.00376","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AFR","BEN","","RUR","","15.2","0.15150","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AMR","BOL","","RUR","","57.1","0.57091","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AMR","BOL","","RUR","","69.4","0.69409","","",""
"EQ_WATERPIPED","PUBLISHED","1997","AFR","MDG","","RUR","","4.6","0.04575","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AMR","HTI","","","","36.3","0.36334","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","NER","","RUR","","8.3","0.08340","","",""
"EQ_WATERPIPED","PUBLISHED","1991","AMR","PER","","RUR","","28.9","0.28857","","",""
"EQ_WATERPIPED","PUBLISHED","2005","EUR","MDA","","","","36.9","0.36921","","",""
"EQ_WATERPIPED","PUBLISHED","2003","WPR","PHL","","","","52.7","0.52714","","",""
"EQ_WATERPIPED","PUBLISHED","2007","AFR","RWA","","","","35.7","0.35700","","",""
"EQ_WATERPIPED","PUBLISHED","2010","AFR","RWA","","","","30.4","0.30388","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","STP","","","","88.3","0.88290","","",""
"EQ_WATERPIPED","PUBLISHED","1999","AFR","ZWE","","","","48.3","0.48255","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AFR","ZWE","","","","41.3","0.41258","","",""
"EQ_WATERPIPED","PUBLISHED","2006","EUR","AZE","","URB","","79.7","0.79660","","",""
"EQ_WATERPIPED","PUBLISHED","1993","SEAR","BGD","","URB","","36.8","0.36758","","",""
"EQ_WATERPIPED","PUBLISHED","1996","SEAR","BGD","","URB","","39.2","0.39208","","",""
"EQ_WATERPIPED","PUBLISHED","2000","EMR","EGY","","RUR","","75.9","0.75918","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AFR","ETH","","RUR","","12.5","0.12532","","",""
"EQ_WATERPIPED","PUBLISHED","2011","AFR","ETH","","RUR","","18.9","0.18891","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AFR","GAB","","RUR","","19.1","0.19122","","",""
"EQ_WATERPIPED","PUBLISHED","1993","AFR","KEN","","RUR","","19.7","0.19724","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","KEN","","RUR","","18.7","0.18675","","",""
"EQ_WATERPIPED","PUBLISHED","2009","AFR","LSO","","RUR","","55.9","0.55862","","",""
"EQ_WATERPIPED","PUBLISHED","2007","AFR","LBR","","RUR","","0.3","0.00291","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AMR","PER","","RUR","","33.2","0.33209","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AFR","MWI","","","","23.3","0.23331","","",""
"EQ_WATERPIPED","PUBLISHED","2001","AFR","MLI","","","","27.5","0.27489","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","MLI","","","","25.9","0.25883","","",""
"EQ_WATERPIPED","PUBLISHED","1995","AFR","UGA","","RUR","","1.1","0.01112","","",""
"EQ_WATERPIPED","PUBLISHED","2002","WPR","VNM","","RUR","","6.5","0.06496","","",""
"EQ_WATERPIPED","PUBLISHED","2001","AFR","ZMB","","RUR","","6.5","0.06475","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AFR","BFA","","","","21.3","0.21308","","",""
"EQ_WATERPIPED","PUBLISHED","2000","WPR","KHM","","","","5.9","0.05945","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AFR","TCD","","","","8.8","0.08771","","",""
"EQ_WATERPIPED","PUBLISHED","2004","AFR","TCD","","","","10.5","0.10454","","",""
"EQ_WATERPIPED","PUBLISHED","1990","AMR","COL","","","","88.6","0.88565","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","GHA","","","","43.3","0.43251","","",""
"EQ_WATERPIPED","PUBLISHED","1994","AMR","HTI","","","","36.4","0.36446","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AMR","HTI","","","","53.2","0.53198","","",""
"EQ_WATERPIPED","PUBLISHED","2001","SEAR","NPL","","URB","","55.2","0.55217","","",""
"EQ_WATERPIPED","PUBLISHED","2006","SEAR","NPL","","URB","","50.5","0.50470","","",""
"EQ_WATERPIPED","PUBLISHED","2011","SEAR","NPL","","URB","","55.2","0.55216","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AMR","COL","","URB","","91.7","0.91691","","",""
"EQ_WATERPIPED","PUBLISHED","2010","AMR","COL","","URB","","91.7","0.91674","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","CIV","","URB","","79.1","0.79142","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AMR","DOM","","URB","","57.5","0.57530","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","NER","","","WQ1","72.6","0.72605","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AMR","PER","","","WQ1","50.2","0.50191","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AMR","PER","","","WQ1","60.4","0.60390","","",""
"EQ_WATERPIPED","PUBLISHED","1995","AFR","UGA","","","WQ1","5.7","0.05743","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AFR","UGA","","","WQ1","28.5","0.28496","","",""
"EQ_WATERPIPED","PUBLISHED","2002","WPR","VNM","","","WQ1","30.8","0.30801","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AFR","ZMB","","","WQ1","39.8","0.39762","","",""
"EQ_WATERPIPED","PUBLISHED","1998","SEAR","IND","","URB","","74.4","0.74383","","",""
"EQ_WATERPIPED","PUBLISHED","2005","SEAR","IND","","URB","","71.1","0.71066","","",""
"EQ_WATERPIPED","PUBLISHED","2002","EMR","JOR","","URB","","86.5","0.86489","","",""
"EQ_WATERPIPED","PUBLISHED","2007","EMR","JOR","","URB","","69.6","0.69606","","",""
"EQ_WATERPIPED","PUBLISHED","1997","AFR","MOZ","","URB","","70.7","0.70749","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AFR","MOZ","","URB","","59.1","0.59097","","",""
"EQ_WATERPIPED","PUBLISHED","1999","EUR","KAZ","","","WQ1","65.3","0.65314","","",""
"EQ_WATERPIPED","PUBLISHED","1993","AFR","KEN","","","WQ1","80.9","0.80884","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","KEN","","","WQ1","66.7","0.66713","","",""
"EQ_WATERPIPED","PUBLISHED","2009","AFR","LSO","","","WQ1","62.9","0.62877","","",""
"EQ_WATERPIPED","PUBLISHED","2007","AFR","LBR","","","WQ1","5.6","0.05564","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","NER","","","WQ1","63.5","0.63483","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","SLE","","URB","","47.1","0.47076","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","ZAF","","URB","","98.4","0.98440","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","SWZ","","URB","","87.8","0.87812","","",""
"EQ_WATERPIPED","PUBLISHED","2009","SEAR","TLS","","URB","","63.2","0.63214","","",""
"EQ_WATERPIPED","PUBLISHED","2007","SEAR","BGD","","","WQ1","0.2","0.00164","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AFR","BEN","","","WQ1","14.9","0.14886","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AMR","BOL","","","WQ1","67.7","0.67655","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AMR","BOL","","","WQ1","82.1","0.82065","","",""
"EQ_WATERPIPED","PUBLISHED","1995","EMR","EGY","","","WQ1","87.6","0.87628","","",""
"EQ_WATERPIPED","PUBLISHED","2000","EMR","EGY","","","WQ1","96.5","0.96461","","",""
"EQ_WATERPIPED","PUBLISHED","2003","EMR","EGY","","","WQ1","98.9","0.98871","","",""
"EQ_WATERPIPED","PUBLISHED","2011","AFR","ETH","","","WQ1","70.7","0.70695","","",""
"EQ_WATERPIPED","PUBLISHED","1995","AMR","GTM","","","WQ2","81.4","0.81381","","",""
"EQ_WATERPIPED","PUBLISHED","1994","AMR","HTI","","","WQ2","38.4","0.38445","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","MDG","","","WQ2","64.7","0.64732","","",""
"EQ_WATERPIPED","PUBLISHED","1992","AFR","MWI","","","WQ2","71.4","0.71389","","",""
"EQ_WATERPIPED","PUBLISHED","2000","AFR","MWI","","","WQ2","63.5","0.63467","","",""
"EQ_WATERPIPED","PUBLISHED","2006","AFR","MLI","","","WQ2","43.6","0.43616","","",""
"EQ_WATERPIPED","PUBLISHED","2000","WPR","KHM","","","WQ2","1.4","0.01392","","",""
"EQ_WATERPIPED","PUBLISHED","1991","AFR","CMR","","","WQ2","61.2","0.61174","","",""
"EQ_WATERPIPED","PUBLISHED","2004","AFR","TCD","","","WQ2","40.7","0.40745","","",""
"EQ_WATERPIPED","PUBLISHED","1990","AMR","COL","","","WQ2","99.4","0.99393","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AFR","GHA","","","WQ2","60.8","0.60803","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","GHA","","","WQ2","70.9","0.70865","","",""
"EQ_WATERPIPED","PUBLISHED","2003","WPR","PHL","","","WQ2","65.8","0.65813","","",""
"EQ_WATERPIPED","PUBLISHED","2008","WPR","PHL","","","WQ2","46.6","0.46570","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","STP","","","WQ2","94.7","0.94704","","",""
"EQ_WATERPIPED","PUBLISHED","1999","AFR","ZWE","","","WQ2","99.1","0.99091","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AFR","ZWE","","","WQ2","99.3","0.99257","","",""
"EQ_WATERPIPED","PUBLISHED","1993","SEAR","BGD","","","WQ3","23.9","0.23860","","",""
"EQ_WATERPIPED","PUBLISHED","1996","SEAR","BGD","","","WQ3","25.7","0.25691","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AFR","COM","","","WQ3","64.3","0.64341","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AMR","DOM","","","WQ3","60.4","0.60373","","",""
"EQ_WATERPIPED","PUBLISHED","1999","AMR","DOM","","","WQ3","35.6","0.35633","","",""
"EQ_WATERPIPED","PUBLISHED","2002","AMR","DOM","","","WQ3","27.9","0.27867","","",""
"EQ_WATERPIPED","PUBLISHED","2005","SEAR","IND","","","WQ3","72.4","0.72364","","",""
