"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"E_compl_e12","PUBLISHED","2018","EMR","AFG","2","2.00000","","",""
"E_compl_e12","PUBLISHED","2018","AFR","AGO","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","ALB","8","8.00000","","",""
"E_compl_e12","PUBLISHED","2018","EUR","AND","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EMR","ARE","8","8.00000","","",""
"E_compl_e12","PUBLISHED","2018","AMR","ARG","8","8.00000","","",""
"E_compl_e12","PUBLISHED","2018","EUR","ARM","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","ATG","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","AUS","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","AUT","10","10.00000","","",""
"E_compl_e12","PUBLISHED","2018","EUR","AZE","Data not available","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","BDI","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","BEL","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","BEN","Data not available","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","BFA","3","3.00000","","",""
"E_compl_e12","PUBLISHED","2018","SEAR","BGD","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","BGR","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EMR","BHR","10","10.00000","","",""
"E_compl_e12","PUBLISHED","2018","AMR","BHS","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","BIH","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","BLR","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","BLZ","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","BOL","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","BRA","10","10.00000","","",""
"E_compl_e12","PUBLISHED","2018","AMR","BRB","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","BRN","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","SEAR","BTN","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","BWA","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","CAF","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","CAN","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","CHE","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","CHL","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","CHN","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","CIV","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","CMR","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","COD","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","COG","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","COK","10","10.00000","","",""
"E_compl_e12","PUBLISHED","2018","AMR","COL","5","5.00000","","",""
"E_compl_e12","PUBLISHED","2018","AFR","COM","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","CPV","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","CRI","3","3.00000","","",""
"E_compl_e12","PUBLISHED","2018","AMR","CUB","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","CYP","Data not available","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","CZE","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","DEU","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EMR","DJI","Data not available","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","DMA","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","DNK","9","9.00000","","",""
"E_compl_e12","PUBLISHED","2018","AMR","DOM","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","DZA","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","ECU","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EMR","EGY","5","5.00000","","",""
"E_compl_e12","PUBLISHED","2018","AFR","ERI","Data not available","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","ESP","10","10.00000","","",""
"E_compl_e12","PUBLISHED","2018","EUR","EST","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","ETH","5","5.00000","","",""
"E_compl_e12","PUBLISHED","2018","EUR","FIN","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","FJI","9","9.00000","","",""
"E_compl_e12","PUBLISHED","2018","EUR","FRA","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","FSM","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","GAB","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","GBR","Data not available","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","GEO","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","GHA","6","6.00000","","",""
"E_compl_e12","PUBLISHED","2018","AFR","GIN","Data not available","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","GMB","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","GNB","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","GNQ","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","GRC","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","GRD","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","GTM","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","GUY","7","7.00000","","",""
"E_compl_e12","PUBLISHED","2018","AMR","HND","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","HRV","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","HTI","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","HUN","7","7.00000","","",""
"E_compl_e12","PUBLISHED","2018","SEAR","IDN","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","SEAR","IND","4","4.00000","","",""
"E_compl_e12","PUBLISHED","2018","EUR","IRL","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EMR","IRN","10","10.00000","","",""
"E_compl_e12","PUBLISHED","2018","EMR","IRQ","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","ISL","10","10.00000","","",""
"E_compl_e12","PUBLISHED","2018","EUR","ISR","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","ITA","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AMR","JAM","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EMR","JOR","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","JPN","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","KAZ","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","KEN","10","10.00000","","",""
"E_compl_e12","PUBLISHED","2018","EUR","KGZ","7","7.00000","","",""
"E_compl_e12","PUBLISHED","2018","WPR","KHM","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","KIR","7","7.00000","","",""
"E_compl_e12","PUBLISHED","2018","AMR","KNA","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","KOR","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EMR","KWT","Data not available","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","LAO","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EMR","LBN","5","5.00000","","",""
"E_compl_e12","PUBLISHED","2018","AFR","LBR","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EMR","LBY","2","2.00000","","",""
"E_compl_e12","PUBLISHED","2018","AMR","LCA","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","SEAR","LKA","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","AFR","LSO","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","LTU","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","LUX","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","LVA","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EMR","MAR","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","MCO","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","EUR","MDA","8","8.00000","","",""
"E_compl_e12","PUBLISHED","2018","AFR","MDG","6","6.00000","","",""
"E_compl_e12","PUBLISHED","2018","SEAR","MDV","4","4.00000","","",""
"E_compl_e12","PUBLISHED","2018","AMR","MEX","Not applicable","","","",""
"E_compl_e12","PUBLISHED","2018","WPR","MHL","Not applicable","","","",""
