"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPAFG2007","PUBLISHED","2007","EMR","AFG","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPAGO2008","PUBLISHED","2008","AFR","AGO","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPALB2002","PUBLISHED","2002","EUR","ALB","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPALB2005","PUBLISHED","2005","EUR","ALB","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPALB2008","PUBLISHED","2008","EUR","ALB","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPALB2012","PUBLISHED","2012","EUR","ALB","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPARG1996","PUBLISHED","1996","AMR","ARG","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPARG2004","PUBLISHED","2004","AMR","ARG","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPARM2010","PUBLISHED","2010","EUR","ARM","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPARM2011","PUBLISHED","2011","EUR","ARM","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPARM2012","PUBLISHED","2012","EUR","ARM","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPARM2013","PUBLISHED","2013","EUR","ARM","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPAUS2010","PUBLISHED","2010","WPR","AUS","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPAUT1999","PUBLISHED","1999","EUR","AUT","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPAZE2002","PUBLISHED","2002","EUR","AZE","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPAZE2003","PUBLISHED","2003","EUR","AZE","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPAZE2004","PUBLISHED","2004","EUR","AZE","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPAZE2005","PUBLISHED","2005","EUR","AZE","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBDI2006","PUBLISHED","2006","AFR","BDI","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBEL1997","PUBLISHED","1997","EUR","BEL","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBEL2010","PUBLISHED","2010","EUR","BEL","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBEN2003","PUBLISHED","2003","AFR","BEN","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBFA1998","PUBLISHED","1998","AFR","BFA","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBFA2003","PUBLISHED","2003","AFR","BFA","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBFA2009","PUBLISHED","2009","AFR","BFA","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBGD2000","PUBLISHED","2000","SEAR","BGD","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBGD2005","PUBLISHED","2005","SEAR","BGD","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBGD2010","PUBLISHED","2010","SEAR","BGD","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBGR1997","PUBLISHED","1997","EUR","BGR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBGR2000","PUBLISHED","2000","EUR","BGR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBGR2001","PUBLISHED","2001","EUR","BGR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBGR2007","PUBLISHED","2007","EUR","BGR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBGR2010","PUBLISHED","2010","EUR","BGR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBIH2001","PUBLISHED","2001","EUR","BIH","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBIH2004","PUBLISHED","2004","EUR","BIH","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBIH2007","PUBLISHED","2007","EUR","BIH","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBIH2011","PUBLISHED","2011","EUR","BIH","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR1998","PUBLISHED","1998","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR1999","PUBLISHED","1999","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2000","PUBLISHED","2000","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2001","PUBLISHED","2001","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2002","PUBLISHED","2002","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2003","PUBLISHED","2003","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2004","PUBLISHED","2004","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2005","PUBLISHED","2005","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2006","PUBLISHED","2006","EUR","BLR","Yes","1.00000","","",""
"FINPROTECTION_CATA_ESTIMATE_AVAILABLE","FPBLR2007","PUBLISHED","2007","EUR","BLR","Yes","1.00000","","",""
