"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","WORLDBANKREGION","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","WB_UMI","","","385.06","385.05670","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","WB_EAP","","313.82","313.82430","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","WB_ECA","","66.95","66.95170","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","WB_LAC","","94.36","94.35630","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","WB_MNA","","57.57","57.57390","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","WB_NAR","","15.77","15.77260","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","WB_SAR","","301.54","301.54070","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2015","","","","WB_SSA","","76.56","76.55950","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","AFR","","","","","63.24","63.24120","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","AMR","","","","","124.83","124.83400","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","EMR","","","","","61.28","61.27500","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","EUR","","","","","58.94","58.93730","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","828.26","828.26490","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","SEAR","","","","","232.49","232.49250","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","WPR","","","","","286.20","286.19970","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_CENTRALASIASOUTHERNASIA","241.20","241.20230","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","299.74","299.73510","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_EUROPE","49.25","49.25030","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_LAC","109.54","109.54100","","",""
"FINPROTECTION_CATA_TOT_10_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_NORTHERNAMR","15.64","15.63800","","",""
