"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_TOT_10_POP","FPARG1996","PUBLISHED","1996","AMR","ARG","TOTL","9.70","9.70000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARG2004","PUBLISHED","2004","AMR","ARG","TOTL","16.90","16.90000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARG2004","PUBLISHED","2004","AMR","ARG","RUR","11.34","11.34000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPARG2004","PUBLISHED","2004","AMR","ARG","URB","17.35","17.35000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2012","PUBLISHED","2012","EUR","ALB","URB","14.67","14.67000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2012","PUBLISHED","2012","EUR","ALB","RUR","19.14","19.14000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2012","PUBLISHED","2012","EUR","ALB","TOTL","16.72","16.72000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2008","PUBLISHED","2008","EUR","ALB","URB","15.77","15.77000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2008","PUBLISHED","2008","EUR","ALB","RUR","12.00","12.00000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2008","PUBLISHED","2008","EUR","ALB","TOTL","13.91","13.91000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2005","PUBLISHED","2005","EUR","ALB","URB","22.14","22.14000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2005","PUBLISHED","2005","EUR","ALB","RUR","16.16","16.16000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2005","PUBLISHED","2005","EUR","ALB","TOTL","19.51","19.51000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2002","PUBLISHED","2002","EUR","ALB","URB","16.93","16.93000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2002","PUBLISHED","2002","EUR","ALB","RUR","27.96","27.96000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB2002","PUBLISHED","2002","EUR","ALB","TOTL","23.37","23.37000","","",""
"FINPROTECTION_CATA_TOT_10_POP","FPALB1996","PUBLISHED","1996","EUR","ALB","URB","6.90","6.90000","","",""
