"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","WORLDBANKREGION","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","AFR","","","","","1.78","1.78163","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","AMR","","","","","1.84","1.84456","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","EMR","","","","","1.87","1.87334","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","EUR","","","","","1.15","1.15060","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","2.85","2.85340","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","SEAR","","","","","3.83","3.82829","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","WPR","","","","","4.15","4.15230","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","","UNSDG_CENTRALASIASOUTHERNASIA","4.03","4.03116","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","3.58","3.58191","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","","UNSDG_EUROPE","1.09","1.08943","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","","UNSDG_LAC","2.48","2.48179","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","","UNSDG_NORTHERNAMR","0.73","0.72843","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","","UNSDG_OCEANIA","0.49","0.49271","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","","UNSDG_SUBSAHARANAFRICA","1.81","1.81132","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","","UNSDG_WESTERNASIANORTHERNAFR","1.89","1.89030","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","UN_Africa","","","","1.94","1.94133","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","UN_Asia","","","","3.65","3.64782","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","UN_Europe","","","","1.09","1.08943","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","UN_Latin America_Caribbean","","","","2.48","2.48179","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","UN_Northern_America","","","","0.73","0.72843","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","UN_Oceania","","","","0.49","0.49271","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","WB_HI","","","1.09","1.08587","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","WB_LI","","","1.52","1.51550","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","WB_LMI","","","3.26","3.26464","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","WB_UMI","","","3.51","3.50559","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","WB_EAP","","3.53","3.52765","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","WB_ECA","","1.15","1.15115","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","WB_LAC","","2.48","2.48179","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","WB_MNA","","2.28","2.27952","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","WB_NAR","","0.73","0.72842","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","WB_SAR","","4.14","4.13626","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2015","","","","WB_SSA","","1.86","1.85605","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","AFR","","","","","1.71","1.70645","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","AMR","","","","","2.15","2.15269","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","EMR","","","","","1.74","1.74417","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","EUR","","","","","1.05","1.04669","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","2.61","2.61155","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","SEAR","","","","","2.80","2.79729","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","WPR","","","","","4.18","4.17970","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","","UNSDG_CENTRALASIASOUTHERNASIA","3.01","3.01300","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","3.58","3.57680","","",""
"FINPROTECTION_CATA_TOT_25_LEVEL_SH","PUBLISHED","2010","","","","","UNSDG_EUROPE","0.99","0.98926","","",""
