"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_BNLFHU_P_HH","FPALB2009","PUBLISHED","2009","EUR","ALB","7.9","7.90000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPALB2015","PUBLISHED","2015","EUR","ALB","6.71","6.71000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPAUT2004","PUBLISHED","2004","EUR","AUT","0.4","0.39906","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPAUT2009","PUBLISHED","2009","EUR","AUT","0.45","0.44520","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPAUT2014","PUBLISHED","2014","EUR","AUT","0.78","0.78000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPCYP2003","PUBLISHED","2003","EUR","CYP","0.8","0.79790","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPCYP2009","PUBLISHED","2009","EUR","CYP","0.48","0.47996","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPCYP2015","PUBLISHED","2015","EUR","CYP","1.32","1.32227","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPCZE2007","PUBLISHED","2007","EUR","CZE","0.32","0.32000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPCZE2008","PUBLISHED","2008","EUR","CZE","0.53","0.53000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPCZE2009","PUBLISHED","2009","EUR","CZE","0.56","0.56000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPCZE2010","PUBLISHED","2010","EUR","CZE","0.44","0.44000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPCZE2011","PUBLISHED","2011","EUR","CZE","0.77","0.77000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPCZE2012","PUBLISHED","2012","EUR","CZE","0.44","0.44000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPDEU2003","PUBLISHED","2003","EUR","DEU","0.47","0.47000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPDEU2008","PUBLISHED","2008","EUR","DEU","1.2","1.20000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPDEU2013","PUBLISHED","2013","EUR","DEU","0.81","0.81000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPESP2015","PUBLISHED","2015","EUR","ESP","2.22","2.22138","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2000","PUBLISHED","2000","EUR","EST","2.43","2.42674","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2001","PUBLISHED","2001","EUR","EST","1.88","1.87849","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2002","PUBLISHED","2002","EUR","EST","2.28","2.27560","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2003","PUBLISHED","2003","EUR","EST","3.01","3.00682","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2004","PUBLISHED","2004","EUR","EST","2.42","2.42437","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2005","PUBLISHED","2005","EUR","EST","3.23","3.23146","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2006","PUBLISHED","2006","EUR","EST","3.53","3.53422","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2007","PUBLISHED","2007","EUR","EST","2.99","2.98998","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2010","PUBLISHED","2010","EUR","EST","1.97","1.96581","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2011","PUBLISHED","2011","EUR","EST","1.82","1.81939","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2012","PUBLISHED","2012","EUR","EST","1.58","1.57937","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2015","PUBLISHED","2015","EUR","EST","1.09","1.08863","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPEST2016","PUBLISHED","2016","EUR","EST","1.47","1.46840","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPFRA2011","PUBLISHED","2011","EUR","FRA","1.06","1.06000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGBR2008","PUBLISHED","2008","EUR","GBR","0.42","0.42000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGBR2009","PUBLISHED","2009","EUR","GBR","0.64","0.64000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGBR2010","PUBLISHED","2010","EUR","GBR","0.6","0.60000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGBR2011","PUBLISHED","2011","EUR","GBR","0.64","0.64000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGBR2012","PUBLISHED","2012","EUR","GBR","0.7","0.70000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGBR2013","PUBLISHED","2013","EUR","GBR","0.65","0.65000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGBR2014","PUBLISHED","2014","EUR","GBR","0.78","0.78000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGEO2010","PUBLISHED","2010","EUR","GEO","3.24","3.24000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGEO2011","PUBLISHED","2011","EUR","GEO","3.77","3.77000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGEO2012","PUBLISHED","2012","EUR","GEO","3.33","3.33000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGEO2013","PUBLISHED","2013","EUR","GEO","2.81","2.81000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGEO2014","PUBLISHED","2014","EUR","GEO","2.97","2.97000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGEO2015","PUBLISHED","2015","EUR","GEO","2.67","2.67000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGRC2008","PUBLISHED","2008","EUR","GRC","1","1.00000","","",""
"FINPROTECTION_IMP_BNLFHU_P_HH","FPGRC2009","PUBLISHED","2009","EUR","GRC","0.74","0.74000","","",""
