"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","WORLDBANKREGION","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","AFR","","","","","13.29","13.28710","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","AMR","","","","","4.22","4.21770","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","EMR","","","","","8.22","8.21770","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","EUR","","","","","1.10","1.10010","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","98.76","98.75730","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","SEAR","","","","","63.62","63.62400","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","WPR","","","","","8.24","8.23770","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_CENTRALASIASOUTHERNASIA","66.04","66.03860","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","12.16","12.15670","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_EUROPE","0.46","0.45760","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_LAC","4.23","4.23350","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_NORTHERNAMR","0.00","0.00140","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_OCEANIA","0.00","0.00000","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_SUBSAHARANAFRICA","13.14","13.13950","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","","UNSDG_WESTERNASIANORTHERNAFR","2.73","2.72980","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","UN_Africa","","","","14.95","14.95190","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","UN_Asia","","","","79.11","79.11290","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","UN_Europe","","","","0.46","0.45760","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","UN_Latin America_Caribbean","","","","4.23","4.23350","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","UN_Northern_America","","","","0.00","0.00140","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","UN_Oceania","","","","0.00","0.00000","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","WB_HI","","","0.72","0.72380","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","WB_LI","","","5.69","5.69400","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","WB_LMI","","","81.58","81.58470","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","WB_UMI","","","10.75","10.75480","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","WB_EAP","","12.16","12.15670","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","WB_ECA","","1.10","1.10170","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","WB_LAC","","4.23","4.23350","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","WB_MNA","","2.22","2.22180","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","WB_NAR","","0.00","0.00140","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","WB_SAR","","65.68","65.67850","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2015","","","","WB_SSA","","13.36","13.36360","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","AFR","","","","","13.40","13.40180","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","AMR","","","","","7.28","7.27650","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","EMR","","","","","8.37","8.37310","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","EUR","","","","","1.60","1.59550","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","119.46","119.45870","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","SEAR","","","","","61.34","61.34390","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","WPR","","","","","27.35","27.34510","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_CENTRALASIASOUTHERNASIA","63.19","63.19300","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","31.62","31.61980","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_EUROPE","0.56","0.56030","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_LAC","7.30","7.29930","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_NORTHERNAMR","0.00","0.00480","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_OCEANIA","0.00","0.00000","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_SUBSAHARANAFRICA","13.25","13.25080","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","","UNSDG_WESTERNASIANORTHERNAFR","3.53","3.53060","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","UN_Africa","","","","15.54","15.53500","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","UN_Asia","","","","96.06","96.05920","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","UN_Europe","","","","0.56","0.56030","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","UN_Latin America_Caribbean","","","","7.30","7.29930","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","UN_Northern_America","","","","0.00","0.00480","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","UN_Oceania","","","","0.00","0.00000","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","WB_HI","","","0.94","0.93850","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","WB_LI","","","14.57","14.56930","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","WB_LMI","","","72.04","72.03670","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","WB_UMI","","","31.85","31.85200","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","WB_EAP","","31.62","31.61980","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","WB_ECA","","1.62","1.61960","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","WB_LAC","","7.30","7.29930","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","WB_MNA","","3.14","3.13550","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","WB_NAR","","0.00","0.00480","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","WB_SAR","","62.31","62.30850","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2010","","","","WB_SSA","","13.47","13.47120","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","AFR","","","","","9.83","9.82720","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","AMR","","","","","7.76","7.75750","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","EMR","","","","","9.82","9.81960","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","EUR","","","","","2.03","2.02980","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","GLOBAL","UN_World","WB_WORLD_INCOME","GLOBAL","UNSDG_WORLD","118.89","118.88770","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","SEAR","","","","","49.62","49.62270","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","WPR","","","","","39.69","39.68720","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_CENTRALASIASOUTHERNASIA","52.82","52.81790","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_EASTERNASIASOUTHEASTERNASIA","43.12","43.12010","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_EUROPE","1.09","1.09090","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_LAC","7.78","7.78120","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_NORTHERNAMR","0.01","0.01020","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_OCEANIA","0.00","0.00000","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_SUBSAHARANAFRICA","9.62","9.61930","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","","","","UNSDG_WESTERNASIANORTHERNAFR","4.45","4.44810","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","UN_Africa","","","","12.03","12.03390","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","UN_Asia","","","","97.97","97.97150","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","UN_Europe","","","","1.09","1.09090","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","UN_Latin America_Caribbean","","","","7.78","7.78120","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","UN_Northern_America","","","","0.01","0.01020","","",""
"FINPROTECTION_IMP_NP_310_LEVEL_MILLION","PUBLISHED","2005","","UN_Oceania","","","","0.00","0.00000","","",""
