"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_PG_190","FPAFG2007","PUBLISHED","2007","EMR","AFG","TOTL","0.25","0.25000","","",""
"FINPROTECTION_IMP_PG_190","FPAFG2007","PUBLISHED","2007","EMR","AFG","URB","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPAFG2007","PUBLISHED","2007","EMR","AFG","RUR","0.31","0.31000","","",""
"FINPROTECTION_IMP_PG_190","FPAFG2013","PUBLISHED","2013","EMR","AFG","TOTL","3.68","3.68000","","",""
"FINPROTECTION_IMP_PG_190","FPAFG2013","PUBLISHED","2013","EMR","AFG","URB","1.35","1.35000","","",""
"FINPROTECTION_IMP_PG_190","FPAFG2013","PUBLISHED","2013","EMR","AFG","RUR","4.30","4.30000","","",""
"FINPROTECTION_IMP_PG_190","FPAGO2008","PUBLISHED","2008","AFR","AGO","TOTL","1.47","1.47000","","",""
"FINPROTECTION_IMP_PG_190","FPAGO2008","PUBLISHED","2008","AFR","AGO","URB","1.47","1.47000","","",""
"FINPROTECTION_IMP_PG_190","FPAGO2008","PUBLISHED","2008","AFR","AGO","RUR","1.47","1.47000","","",""
"FINPROTECTION_IMP_PG_190","FPALB1996","PUBLISHED","1996","EUR","ALB","TOTL","0.78","0.78000","","",""
"FINPROTECTION_IMP_PG_190","FPALB1996","PUBLISHED","1996","EUR","ALB","URB","0.58","0.58000","","",""
"FINPROTECTION_IMP_PG_190","FPALB1996","PUBLISHED","1996","EUR","ALB","RUR","0.88","0.88000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2002","PUBLISHED","2002","EUR","ALB","TOTL","0.35","0.35000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2002","PUBLISHED","2002","EUR","ALB","URB","0.25","0.25000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2002","PUBLISHED","2002","EUR","ALB","RUR","0.42","0.42000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2005","PUBLISHED","2005","EUR","ALB","TOTL","0.17","0.17000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2005","PUBLISHED","2005","EUR","ALB","URB","0.29","0.29000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2005","PUBLISHED","2005","EUR","ALB","RUR","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2008","PUBLISHED","2008","EUR","ALB","TOTL","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2008","PUBLISHED","2008","EUR","ALB","URB","0.02","0.02000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2008","PUBLISHED","2008","EUR","ALB","RUR","0.03","0.03000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2012","PUBLISHED","2012","EUR","ALB","TOTL","0.12","0.12000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2012","PUBLISHED","2012","EUR","ALB","URB","0.14","0.14000","","",""
"FINPROTECTION_IMP_PG_190","FPALB2012","PUBLISHED","2012","EUR","ALB","RUR","0.09","0.09000","","",""
"FINPROTECTION_IMP_PG_190","FPARG1996","PUBLISHED","1996","AMR","ARG","TOTL","0.18","0.18000","","",""
"FINPROTECTION_IMP_PG_190","FPARG2004","PUBLISHED","2004","AMR","ARG","TOTL","0.11","0.11000","","",""
"FINPROTECTION_IMP_PG_190","FPARG2004","PUBLISHED","2004","AMR","ARG","URB","0.11","0.11000","","",""
"FINPROTECTION_IMP_PG_190","FPARG2004","PUBLISHED","2004","AMR","ARG","RUR","0.12","0.12000","","",""
"FINPROTECTION_IMP_PG_190","FPARM1999","PUBLISHED","1999","EUR","ARM","TOTL","1.42","1.42000","","",""
"FINPROTECTION_IMP_PG_190","FPARM1999","PUBLISHED","1999","EUR","ARM","URB","1.68","1.68000","","",""
"FINPROTECTION_IMP_PG_190","FPARM1999","PUBLISHED","1999","EUR","ARM","RUR","1.08","1.08000","","",""
"FINPROTECTION_IMP_PG_190","FPARM2001","PUBLISHED","2001","EUR","ARM","TOTL","1.29","1.29000","","",""
