"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"FINPROTECTION_IMP_PG_310_STD","FPAFG2007","PUBLISHED","2007","EMR","AFG","TOTL","0.76","0.76000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAFG2007","PUBLISHED","2007","EMR","AFG","RUR","0.92","0.92000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAFG2007","PUBLISHED","2007","EMR","AFG","URB","0.15","0.15000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAFG2013","PUBLISHED","2013","EMR","AFG","TOTL","2.85","2.85000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAFG2013","PUBLISHED","2013","EMR","AFG","RUR","2.98","2.98000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAFG2013","PUBLISHED","2013","EMR","AFG","URB","2.14","2.14000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAGO2008","PUBLISHED","2008","AFR","AGO","TOTL","1.44","1.44000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAGO2008","PUBLISHED","2008","AFR","AGO","RUR","1.40","1.40000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPAGO2008","PUBLISHED","2008","AFR","AGO","URB","1.49","1.49000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPALB1996","PUBLISHED","1996","EUR","ALB","TOTL","0.75","0.75000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPALB1996","PUBLISHED","1996","EUR","ALB","RUR","0.95","0.95000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPALB1996","PUBLISHED","1996","EUR","ALB","URB","0.37","0.37000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPALB2002","PUBLISHED","2002","EUR","ALB","TOTL","1.25","1.25000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPALB2002","PUBLISHED","2002","EUR","ALB","RUR","1.60","1.60000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPALB2002","PUBLISHED","2002","EUR","ALB","URB","0.75","0.75000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPALB2005","PUBLISHED","2005","EUR","ALB","TOTL","0.77","0.77000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPALB2005","PUBLISHED","2005","EUR","ALB","RUR","0.46","0.46000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPALB2005","PUBLISHED","2005","EUR","ALB","URB","1.02","1.02000","","",""
"FINPROTECTION_IMP_PG_310_STD","FPALB2008","PUBLISHED","2008","EUR","ALB","TOTL","0.32","0.32000","","",""
