"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GASPRP","PUBLISHED","2009","AMR","ARG","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","AUS","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","AUT","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","BEL","Yes","","","",""
"GASPRP","PUBLISHED","2009","EMR","BHR","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","BLR","Yes","","","",""
"GASPRP","PUBLISHED","2009","AMR","BOL","Yes","","","",""
"GASPRP","PUBLISHED","2009","AMR","BRA","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","BRN","Yes","","","",""
"GASPRP","PUBLISHED","2009","SEAR","BTN","Yes","","","",""
"GASPRP","PUBLISHED","2009","AMR","CAN","Yes","","","",""
"GASPRP","PUBLISHED","2009","AMR","CHL","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","CHN","Yes","","","",""
"GASPRP","PUBLISHED","2009","AFR","CIV","Yes","","","",""
"GASPRP","PUBLISHED","2009","AMR","COL","Yes","","","",""
"GASPRP","PUBLISHED","2009","AMR","CUB","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","DEU","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","DNK","Yes","","","",""
"GASPRP","PUBLISHED","2009","AMR","DOM","Yes","","","",""
"GASPRP","PUBLISHED","2009","AMR","ECU","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","ESP","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","FJI","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","FRA","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","GBR","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","GRC","Yes","","","",""
"GASPRP","PUBLISHED","2009","SEAR","IND","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","ITA","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","JPN","Yes","","","",""
"GASPRP","PUBLISHED","2009","AFR","KEN","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","KHM","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","KOR","Yes","","","",""
"GASPRP","PUBLISHED","2009","SEAR","LKA","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","LVA","Yes","","","",""
"GASPRP","PUBLISHED","2009","EMR","MAR","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","MLT","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","MNG","Yes","","","",""
"GASPRP","PUBLISHED","2009","AFR","MOZ","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","MYS","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","NLD","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","NOR","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","NZL","Yes","","","",""
"GASPRP","PUBLISHED","2009","AMR","PER","Yes","","","",""
"GASPRP","PUBLISHED","2009","WPR","PHL","Yes","","","",""
"GASPRP","PUBLISHED","2009","EUR","PRT","Yes","","","",""
