"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GASPRSAZM","PUBLISHED","2009","AMR","ARG","0.00","0.00000","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","AUT","28.85","28.84615","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","BEL","14.55","14.54545","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","BLR","17.50","17.50000","","",""
"GASPRSAZM","PUBLISHED","2009","AMR","BRA","0.83","0.83333","","",""
"GASPRSAZM","PUBLISHED","2009","AMR","CHL","45.57","45.57235","","",""
"GASPRSAZM","PUBLISHED","2009","AMR","COL","0.00","0.00000","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","DEU","0.00","0.00000","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","DNK","46.22","46.21849","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","ESP","5.83","5.82524","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","FRA","18.27","18.26923","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","GBR","4.17","4.16667","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","GRC","8.18","8.18182","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","ITA","28.57","28.57143","","",""
"GASPRSAZM","PUBLISHED","2009","AFR","KEN","0.00","0.00000","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","LVA","0.00","0.00000","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","MLT","4.55","4.54545","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","NLD","2.63","2.63158","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","NOR","1.82","1.81818","","",""
"GASPRSAZM","PUBLISHED","2009","AMR","PER","75.00","75.00000","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","PRT","0.00","0.00000","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","RUS","2.33","2.33333","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","SVK","6.67","6.66667","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","SVN","8.33","8.33333","","",""
"GASPRSAZM","PUBLISHED","2009","EUR","SWE","10.19","10.18519","","",""
"GASPRSAZM","PUBLISHED","2009","AFR","UGA","2.44","2.43902","","",""
"GASPRSAZM","PUBLISHED","2009","AMR","URY","9.09","9.09091","","",""
"GASPRSAZM","PUBLISHED","2009","AMR","USA","0.21","0.21314","","",""
"GASPRSAZM","PUBLISHED","2009","WPR","VNM","0.00","0.00000","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","AUT","10.00","10.00000","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","BEL","2.73","2.72727","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","BLR","11.54","11.53846","","",""
"GASPRSAZM","PUBLISHED","2010","AMR","CAN","1.25","1.24579","","",""
"GASPRSAZM","PUBLISHED","2010","AMR","CHL","0.53","0.52910","","",""
"GASPRSAZM","PUBLISHED","2010","WPR","CHN","0.00","0.00000","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","CYP","0.00","0.00000","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","DEU","8.26","8.25688","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","DNK","16.67","16.66667","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","ESP","9.90","9.90099","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","FRA","0.00","0.00000","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","GBR","0.45","0.45045","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","GRC","6.19","6.18557","","",""
"GASPRSAZM","PUBLISHED","2010","EUR","HUN","0.00","0.00000","","",""
