"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GASPRSCFM","PUBLISHED","2009","EUR","AUT","21.15","21.15385","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","BEL","6.36","6.36364","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","BLR","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2009","AMR","CAN","1.13","1.12685","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","DEU","2.22","2.22222","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","DNK","15.13","15.12605","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","ESP","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","FRA","1.92","1.92308","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","GBR","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","GRC","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","ITA","18.57","18.57143","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","LVA","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","MLT","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","NLD","0.88","0.87719","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","NOR","0.91","0.90909","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","PRT","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","SVK","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","SVN","8.33","8.33333","","",""
"GASPRSCFM","PUBLISHED","2009","EUR","SWE","2.78","2.77778","","",""
"GASPRSCFM","PUBLISHED","2009","AMR","USA","0.80","0.79929","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","AUT","22.73","22.72727","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","BEL","3.64","3.63636","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","BLR","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2010","AMR","CAN","3.30","3.29966","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","CYP","50.00","50.00000","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","DEU","11.93","11.92661","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","DNK","20.83","20.83333","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","ESP","15.84","15.84158","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","FRA","1.80","1.80180","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","GBR","3.15","3.15315","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","GRC","13.40","13.40206","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","HUN","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","IRL","4.55","4.54545","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","ITA","5.71","5.71429","","",""
"GASPRSCFM","PUBLISHED","2010","AFR","KEN","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","LVA","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","MLT","0.00","0.00000","","",""
"GASPRSCFM","PUBLISHED","2010","EUR","NLD","3.26","3.25581","","",""
