"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GASPRSCIP","PUBLISHED","2009","AMR","ARG","22.90","22.90323","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","AUS","42.55","42.54658","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","AUT","79.81","79.80769","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","BEL","67.27","67.27273","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","BLR","35.00","35.00000","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","BOL","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","BRA","1.67","1.66667","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","BRN","93.02","93.02326","","",""
"GASPRSCIP","PUBLISHED","2009","SEAR","BTN","96.09","96.08939","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","CAN","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","CHL","46.22","46.22030","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","CHN","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","COL","24.00","24.00000","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","CUB","32.50","32.50000","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","DEU","73.33","73.33333","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","DNK","69.75","69.74790","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","DOM","33.33","33.33333","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","ECU","85.71","85.71429","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","ESP","65.05","65.04854","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","FJI","0.18","0.18484","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","FRA","43.27","43.26923","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","GBR","35.00","35.00000","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","GRC","67.27","67.27273","","",""
"GASPRSCIP","PUBLISHED","2009","SEAR","IND","97.30","97.29730","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","ITA","75.71","75.71429","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","JPN","79.85","79.84791","","",""
"GASPRSCIP","PUBLISHED","2009","AFR","KEN","53.25","53.24675","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","KHM","66.67","66.66667","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","KOR","91.80","91.80328","","",""
"GASPRSCIP","PUBLISHED","2009","SEAR","LKA","90.28","90.27778","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","LVA","11.11","11.11111","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","MLT","90.91","90.90909","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","MNG","74.67","74.66667","","",""
"GASPRSCIP","PUBLISHED","2009","AFR","MOZ","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","MYS","80.00","80.00000","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","NLD","49.12","49.12281","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","NOR","80.00","80.00000","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","NZL","35.04","35.04274","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","PER","90.00","90.00000","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","PHL","97.50","97.50000","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","PRT","34.18","34.17722","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","RUS","44.42","44.41667","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","SGP","76.67","76.66667","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","SVK","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","SVN","79.17","79.16667","","",""
"GASPRSCIP","PUBLISHED","2009","EUR","SWE","71.30","71.29630","","",""
"GASPRSCIP","PUBLISHED","2009","SEAR","THA","77.04","77.03704","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","URY","32.00","32.00000","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","USA","9.63","9.62700","","",""
"GASPRSCIP","PUBLISHED","2009","AMR","VEN","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2009","WPR","VNM","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2009","AFR","ZWE","5.80","5.79710","","",""
"GASPRSCIP","PUBLISHED","2010","AMR","ARG","26.90","26.89873","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","AUS","34.65","34.65099","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","AUT","61.82","61.81818","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","BEL","60.00","60.00000","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","BLR","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","BRN","93.18","93.18182","","",""
"GASPRSCIP","PUBLISHED","2010","SEAR","BTN","96.09","96.08939","","",""
"GASPRSCIP","PUBLISHED","2010","AMR","CAN","35.96","35.95960","","",""
"GASPRSCIP","PUBLISHED","2010","AMR","CHL","30.11","30.11152","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","CHN","79.66","79.65839","","",""
"GASPRSCIP","PUBLISHED","2010","AMR","COL","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","CYP","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","DEU","58.72","58.71560","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","DNK","68.75","68.75000","","",""
"GASPRSCIP","PUBLISHED","2010","AMR","ECU","83.33","83.33333","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","ESP","60.40","60.39604","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","FJI","0.60","0.59524","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","FRA","32.43","32.43243","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","GBR","31.98","31.98198","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","GRC","63.92","63.91753","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","HUN","78.57","78.57143","","",""
"GASPRSCIP","PUBLISHED","2010","SEAR","IND","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","IRL","35.23","35.22727","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","ITA","58.10","58.09524","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","JPN","73.20","73.20099","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","KHM","8.00","8.00000","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","KOR","95.12","95.12195","","",""
"GASPRSCIP","PUBLISHED","2010","SEAR","LKA","90.28","90.27778","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","LVA","10.00","10.00000","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","MLT","82.76","82.75862","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","MNG","34.49","34.49275","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","MYS","88.24","88.23529","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","NLD","40.47","40.46512","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","NOR","34.78","34.78261","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","NZL","29.17","29.16667","","",""
"GASPRSCIP","PUBLISHED","2010","AMR","PAN","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","PHL","96.61","96.61017","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","POL","64.29","64.28571","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","PRT","37.50","37.50000","","",""
"GASPRSCIP","PUBLISHED","2010","AMR","PRY","30.77","30.76923","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","ROU","77.78","77.77778","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","RUS","53.32","53.31695","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","SGP","74.38","74.37500","","",""
"GASPRSCIP","PUBLISHED","2010","AMR","SLV","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","SVK","90.91","90.90909","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","SVN","71.43","71.42857","","",""
"GASPRSCIP","PUBLISHED","2010","EUR","SWE","69.05","69.04762","","",""
"GASPRSCIP","PUBLISHED","2010","SEAR","THA","97.59","97.59259","","",""
"GASPRSCIP","PUBLISHED","2010","AFR","TZA","18.18","18.18182","","",""
"GASPRSCIP","PUBLISHED","2010","AFR","UGA","53.25","53.24675","","",""
"GASPRSCIP","PUBLISHED","2010","AMR","USA","12.45","12.45389","","",""
"GASPRSCIP","PUBLISHED","2010","AMR","VEN","21.43","21.42857","","",""
"GASPRSCIP","PUBLISHED","2010","WPR","VNM","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2010","AFR","ZWE","66.67","66.66667","","",""
"GASPRSCIP","PUBLISHED","2011","AMR","ARG","47.86","47.86325","","",""
"GASPRSCIP","PUBLISHED","2011","WPR","AUS","27.57","27.56941","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","AUT","67.92","67.92453","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","BEL","55.45","55.45455","","",""
"GASPRSCIP","PUBLISHED","2011","WPR","BRN","89.15","89.15254","","",""
"GASPRSCIP","PUBLISHED","2011","SEAR","BTN","98.36","98.36066","","",""
"GASPRSCIP","PUBLISHED","2011","AMR","CAN","29.32","29.31548","","",""
"GASPRSCIP","PUBLISHED","2011","AMR","CHL","30.96","30.95559","","",""
"GASPRSCIP","PUBLISHED","2011","WPR","CHN","99.41","99.40697","","",""
"GASPRSCIP","PUBLISHED","2011","AMR","COL","34.15","34.14634","","",""
"GASPRSCIP","PUBLISHED","2011","AMR","CUB","48.48","48.48485","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","CYP","80.00","80.00000","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","DEU","50.93","50.92593","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","DNK","58.40","58.40000","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","ESP","59.00","59.00000","","",""
"GASPRSCIP","PUBLISHED","2011","WPR","FJI","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","FRA","44.95","44.95413","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","GBR","29.88","29.88048","","",""
"GASPRSCIP","PUBLISHED","2011","AFR","GHA","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","GRC","74.00","74.00000","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","HUN","61.54","61.53846","","",""
"GASPRSCIP","PUBLISHED","2011","SEAR","IDN","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2011","SEAR","IND","96.23","96.22642","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","IRL","14.06","14.06250","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","ITA","60.61","60.60606","","",""
"GASPRSCIP","PUBLISHED","2011","WPR","JPN","75.28","75.28345","","",""
"GASPRSCIP","PUBLISHED","2011","AFR","KEN","77.78","77.77778","","",""
"GASPRSCIP","PUBLISHED","2011","WPR","KOR","89.06","89.06250","","",""
"GASPRSCIP","PUBLISHED","2011","SEAR","LKA","86.84","86.84211","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","LVA","28.57","28.57143","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","MLT","69.23","69.23077","","",""
"GASPRSCIP","PUBLISHED","2011","SEAR","MMR","90.00","90.00000","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","NLD","25.81","25.80645","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","NOR","32.47","32.46753","","",""
"GASPRSCIP","PUBLISHED","2011","WPR","NZL","45.11","45.11041","","",""
"GASPRSCIP","PUBLISHED","2011","EMR","PAK","92.68","92.68293","","",""
"GASPRSCIP","PUBLISHED","2011","WPR","PHL","94.12","94.11765","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","POL","50.00","50.00000","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","PRT","46.46","46.46465","","",""
"GASPRSCIP","PUBLISHED","2011","AMR","PRY","58.33","58.33333","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","ROU","80.77","80.76923","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","RUS","32.62","32.62411","","",""
"GASPRSCIP","PUBLISHED","2011","WPR","SGP","83.75","83.75000","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","SVK","70.80","70.79646","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","SVN","73.68","73.68421","","",""
"GASPRSCIP","PUBLISHED","2011","EUR","SWE","57.14","57.14286","","",""
"GASPRSCIP","PUBLISHED","2011","SEAR","THA","80.15","80.14815","","",""
"GASPRSCIP","PUBLISHED","2011","AMR","USA","13.28","13.27968","","",""
"GASPRSCIP","PUBLISHED","2011","AMR","VEN","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2011","WPR","VNM","96.00","96.00000","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","ARG","49.01","49.00990","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","AUS","30.27","30.26706","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","AUT","73.83","73.83178","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","BEL","56.07","56.07477","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","BLR","21.33","21.33333","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","BRN","83.82","83.82353","","",""
"GASPRSCIP","PUBLISHED","2012","SEAR","BTN","88.24","88.23529","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","CAN","28.52","28.52437","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","CHL","30.90","30.89961","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","CHN","99.60","99.59547","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","COL","40.00","40.00000","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","CUB","46.67","46.66667","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","CYP","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","DEU","73.58","73.58491","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","DNK","58.77","58.77193","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","DOM","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","ESP","58.10","58.09524","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","FJI","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","FRA","39.09","39.09091","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","GBR","27.86","27.86260","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","GRC","69.12","69.11765","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","HUN","65.82","65.82278","","",""
"GASPRSCIP","PUBLISHED","2012","SEAR","IND","97.73","97.72727","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","IRL","22.50","22.50000","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","ITA","65.00","65.00000","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","JPN","72.45","72.44898","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","KOR","96.70","96.70330","","",""
"GASPRSCIP","PUBLISHED","2012","SEAR","LKA","95.83","95.83333","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","LVA","38.46","38.46154","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","MLT","56.25","56.25000","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","MNG","43.71","43.71373","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","NLD","34.25","34.24658","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","NOR","55.45","55.45455","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","NZL","41.74","41.73913","","",""
"GASPRSCIP","PUBLISHED","2012","EMR","PAK","94.37","94.36620","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","PAN","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","PHL","95.65","95.65217","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","POL","68.52","68.51852","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","PRT","40.91","40.90909","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","PRY","66.67","66.66667","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","RUS","25.47","25.47170","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","SGP","71.88","71.87500","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","SLV","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","SVK","53.70","53.70370","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","SVN","40.43","40.42553","","",""
"GASPRSCIP","PUBLISHED","2012","EUR","SWE","57.27","57.27273","","",""
"GASPRSCIP","PUBLISHED","2012","SEAR","THA","86.98","86.98061","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","USA","14.72","14.72247","","",""
"GASPRSCIP","PUBLISHED","2012","AMR","VEN","42.86","42.85714","","",""
"GASPRSCIP","PUBLISHED","2012","WPR","VNM","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2013","AMR","ARG","53.96","53.96040","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","AUS","34.18","34.18419","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","AUT","71.56","71.55963","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","BEL","56.36","56.36364","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","BLR","27.50","27.50000","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","BRN","70.59","70.58824","","",""
"GASPRSCIP","PUBLISHED","2013","SEAR","BTN","93.02","93.02326","","",""
"GASPRSCIP","PUBLISHED","2013","AMR","CAN","29.33","29.32707","","",""
"GASPRSCIP","PUBLISHED","2013","AMR","CHL","40.97","40.96521","","",""
"GASPRSCIP","PUBLISHED","2013","AFR","CIV","86.11","86.11111","","",""
"GASPRSCIP","PUBLISHED","2013","AMR","COL","14.75","14.75410","","",""
"GASPRSCIP","PUBLISHED","2013","AMR","CUB","46.67","46.66667","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","CYP","88.89","88.88889","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","DEU","63.37","63.36634","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","DNK","58.18","58.18182","","",""
"GASPRSCIP","PUBLISHED","2013","AMR","DOM","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","ESP","65.55","65.54622","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","FJI","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","FRA","44.64","44.64286","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","GBR","32.08","32.08333","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","GRC","72.00","72.00000","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","HUN","68.18","68.18182","","",""
"GASPRSCIP","PUBLISHED","2013","SEAR","IND","96.00","96.00000","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","IRL","26.21","26.21359","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","ISL","40.00","40.00000","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","ITA","63.00","63.00000","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","JPN","70.84","70.84399","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","KHM","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","KOR","93.90","93.90244","","",""
"GASPRSCIP","PUBLISHED","2013","SEAR","LKA","97.35","97.34513","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","LVA","26.32","26.31579","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","MLT","35.48","35.48387","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","MNG","19.82","19.81982","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","NLD","34.53","34.53237","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","NOR","79.46","79.46429","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","NZL","35.42","35.41667","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","PHL","93.70","93.70079","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","PRT","47.27","47.27273","","",""
"GASPRSCIP","PUBLISHED","2013","AMR","PRY","58.70","58.69565","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","SGP","83.13","83.12500","","",""
"GASPRSCIP","PUBLISHED","2013","AMR","SLV","20.00","20.00000","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","SVK","47.27","47.27273","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","SVN","63.01","63.01370","","",""
"GASPRSCIP","PUBLISHED","2013","EUR","SWE","60.00","60.00000","","",""
"GASPRSCIP","PUBLISHED","2013","SEAR","THA","92.16","92.15686","","",""
"GASPRSCIP","PUBLISHED","2013","AMR","USA","16.06","16.06392","","",""
"GASPRSCIP","PUBLISHED","2013","WPR","VNM","93.18","93.18182","","",""
"GASPRSCIP","PUBLISHED","2013","AFR","ZAF","0.00","0.00000","","",""
"GASPRSCIP","PUBLISHED","2014","AMR","ARG","61.41","61.41384","","",""
"GASPRSCIP","PUBLISHED","2014","WPR","AUS","36.43","36.42798","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","AUT","52.48","52.47525","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","BEL","57.86","57.85714","","",""
"GASPRSCIP","PUBLISHED","2014","AMR","BOL","40.00","40.00000","","",""
"GASPRSCIP","PUBLISHED","2014","SEAR","BTN","90.69","90.69069","","",""
"GASPRSCIP","PUBLISHED","2014","AMR","CAN","34.02","34.02468","","",""
"GASPRSCIP","PUBLISHED","2014","AMR","CHL","53.29","53.29392","","",""
"GASPRSCIP","PUBLISHED","2014","AFR","CIV","53.62","53.62319","","",""
"GASPRSCIP","PUBLISHED","2014","AMR","COL","42.17","42.16867","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","CYP","100.00","100.00000","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","DEU","63.21","63.20755","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","DNK","34.86","34.86239","","",""
"GASPRSCIP","PUBLISHED","2014","AMR","DOM","56.25","56.25000","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","ESP","67.55","67.54967","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","EST","15.38","15.38462","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","FRA","50.91","50.90909","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","GBR","33.33","33.33333","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","GRC","70.00","70.00000","","",""
"GASPRSCIP","PUBLISHED","2014","EUR","HUN","55.06","55.05618","","",""
"GASPRSCIP","PUBLISHED","2014","SEAR","IDN","70.00","70.00000","","",""
