"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GASPRSCRO","PUBLISHED","2009","AMR","ARG","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","AUS","0.03","0.03168","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","AUT","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","BEL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EMR","BHR","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","BLR","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","BOL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","BRA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","BRN","0.51","0.50505","","",""
"GASPRSCRO","PUBLISHED","2009","SEAR","BTN","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","CAN","3.09","3.09079","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","CHL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","CHN","55.79","55.79399","","",""
"GASPRSCRO","PUBLISHED","2009","AFR","CIV","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","COL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","CUB","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","DEU","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","DNK","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","ECU","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","ESP","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","FRA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","GBR","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","GRC","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","SEAR","IND","10.81","10.81081","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","ITA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","JPN","20.35","20.34739","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","KHM","3.95","3.94737","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","KOR","29.27","29.26829","","",""
"GASPRSCRO","PUBLISHED","2009","SEAR","LKA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","LVA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EMR","MAR","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","MLT","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","MNG","19.13","19.13043","","",""
"GASPRSCRO","PUBLISHED","2009","AFR","MOZ","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","MYS","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","NLD","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","NOR","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","NZL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","PER","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","PHL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","PRT","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","PRY","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","RUS","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","SGP","1.25","1.25000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","SVK","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","SVN","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","EUR","SWE","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","SEAR","THA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","AFR","UGA","0.68","0.67568","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","URY","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","USA","0.28","0.28419","","",""
"GASPRSCRO","PUBLISHED","2009","AMR","VEN","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2009","WPR","VNM","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","AMR","ARG","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","AUS","0.12","0.12422","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","AUT","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","BEL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","BLR","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","BRN","0.26","0.25707","","",""
"GASPRSCRO","PUBLISHED","2010","SEAR","BTN","2.21","2.20994","","",""
"GASPRSCRO","PUBLISHED","2010","AMR","CAN","7.34","7.34007","","",""
"GASPRSCRO","PUBLISHED","2010","AMR","CHL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","CHN","36.94","36.93957","","",""
"GASPRSCRO","PUBLISHED","2010","AFR","CIV","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","CYP","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","DEU","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","DNK","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","AMR","ECU","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","ESP","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","FJI","0.37","0.36969","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","FRA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","GBR","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","GRC","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","HUN","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","SEAR","IND","3.92","3.92157","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","IRL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","ITA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","JPN","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","KHM","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","KOR","47.54","47.54098","","",""
"GASPRSCRO","PUBLISHED","2010","SEAR","LKA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","LVA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","MLT","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","MNG","30.67","30.66667","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","MYS","10.00","10.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","NLD","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","NOR","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","NZL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","AMR","PAN","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","PHL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","PNG","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","POL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","PRT","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","AMR","PRY","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","ROU","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","RUS","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","SGP","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","AMR","SLV","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","SVK","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","SVN","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","EUR","SWE","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","SEAR","THA","19.86","19.86111","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","TON","25.00","25.00000","","",""
"GASPRSCRO","PUBLISHED","2010","AMR","USA","0.33","0.33374","","",""
"GASPRSCRO","PUBLISHED","2010","AMR","VEN","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2010","WPR","VNM","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","AMR","ARG","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","WPR","AUS","0.15","0.14613","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","AUT","2.83","2.83019","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","BEL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","WPR","BRN","1.02","1.01695","","",""
"GASPRSCRO","PUBLISHED","2011","SEAR","BTN","2.46","2.45902","","",""
"GASPRSCRO","PUBLISHED","2011","AMR","CAN","6.19","6.19048","","",""
"GASPRSCRO","PUBLISHED","2011","AMR","CHL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","WPR","CHN","21.35","21.34915","","",""
"GASPRSCRO","PUBLISHED","2011","AMR","CUB","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","CYP","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","DEU","6.48","6.48148","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","DNK","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","ESP","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","WPR","FJI","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","FRA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","GBR","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","GRC","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","HUN","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","SEAR","IDN","16.67","16.66667","","",""
"GASPRSCRO","PUBLISHED","2011","SEAR","IND","9.43","9.43396","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","IRL","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","ITA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","WPR","JPN","4.76","4.76190","","",""
"GASPRSCRO","PUBLISHED","2011","WPR","KOR","25.00","25.00000","","",""
"GASPRSCRO","PUBLISHED","2011","SEAR","LKA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","LVA","0.00","0.00000","","",""
"GASPRSCRO","PUBLISHED","2011","EUR","MLT","0.00","0.00000","","",""
