"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GASPTICRO","PUBLISHED","2009","AMR","ARG","310","310.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","AUS","3157","3157.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","AUT","104","104.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","BEL","110","110.00000","","",""
"GASPTICRO","PUBLISHED","2009","EMR","BHR","72","72.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","BLR","80","80.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","BOL","13","13.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","BRA","120","120.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","BRN","396","396.00000","","",""
"GASPTICRO","PUBLISHED","2009","SEAR","BTN","179","179.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","CAN","3106","3106.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","CHL","463","463.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","CHN","1398","1398.00000","","",""
"GASPTICRO","PUBLISHED","2009","AFR","CIV","10","10.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","COL","25","25.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","CUB","40","40.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","DEU","45","45.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","DNK","119","119.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","ECU","7","7.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","ESP","103","103.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","FRA","104","104.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","GBR","120","120.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","GRC","110","110.00000","","",""
"GASPTICRO","PUBLISHED","2009","SEAR","IND","37","37.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","ITA","70","70.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","JPN","403","403.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","KHM","76","76.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","KOR","82","82.00000","","",""
"GASPTICRO","PUBLISHED","2009","SEAR","LKA","72","72.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","LVA","9","9.00000","","",""
"GASPTICRO","PUBLISHED","2009","EMR","MAR","41","41.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","MLT","22","22.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","MNG","690","690.00000","","",""
"GASPTICRO","PUBLISHED","2009","AFR","MOZ","22","22.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","MYS","17","17.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","NLD","114","114.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","NOR","110","110.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","NZL","234","234.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","PER","40","40.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","PHL","59","59.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","PRT","79","79.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","PRY","3","3.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","RUS","1200","1200.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","SGP","160","160.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","SVK","15","15.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","SVN","24","24.00000","","",""
"GASPTICRO","PUBLISHED","2009","EUR","SWE","108","108.00000","","",""
"GASPTICRO","PUBLISHED","2009","SEAR","THA","611","611.00000","","",""
"GASPTICRO","PUBLISHED","2009","AFR","UGA","148","148.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","URY","44","44.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","USA","5630","5630.00000","","",""
"GASPTICRO","PUBLISHED","2009","AMR","VEN","15","15.00000","","",""
"GASPTICRO","PUBLISHED","2009","WPR","VNM","86","86.00000","","",""
"GASPTICRO","PUBLISHED","2010","AMR","ARG","316","316.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","AUS","3220","3220.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","AUT","110","110.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","BEL","110","110.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","BLR","78","78.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","BRN","389","389.00000","","",""
"GASPTICRO","PUBLISHED","2010","SEAR","BTN","181","181.00000","","",""
"GASPTICRO","PUBLISHED","2010","AMR","CAN","2970","2970.00000","","",""
"GASPTICRO","PUBLISHED","2010","AMR","CHL","508","508.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","CHN","1026","1026.00000","","",""
"GASPTICRO","PUBLISHED","2010","AFR","CIV","12","12.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","CYP","12","12.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","DEU","109","109.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","DNK","96","96.00000","","",""
"GASPTICRO","PUBLISHED","2010","AMR","ECU","6","6.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","ESP","101","101.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","FJI","541","541.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","FRA","111","111.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","GBR","222","222.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","GRC","97","97.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","HUN","14","14.00000","","",""
"GASPTICRO","PUBLISHED","2010","SEAR","IND","51","51.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","IRL","88","88.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","ITA","105","105.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","JPN","263","263.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","KHM","6","6.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","KOR","61","61.00000","","",""
"GASPTICRO","PUBLISHED","2010","SEAR","LKA","75","75.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","LVA","20","20.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","MLT","29","29.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","MNG","150","150.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","MYS","10","10.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","NLD","215","215.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","NOR","46","46.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","NZL","280","280.00000","","",""
"GASPTICRO","PUBLISHED","2010","AMR","PAN","1","1.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","PHL","160","160.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","PNG","40","40.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","POL","28","28.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","PRT","72","72.00000","","",""
"GASPTICRO","PUBLISHED","2010","AMR","PRY","13","13.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","ROU","9","9.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","RUS","407","407.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","SGP","80","80.00000","","",""
"GASPTICRO","PUBLISHED","2010","AMR","SLV","14","14.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","SVK","88","88.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","SVN","28","28.00000","","",""
"GASPTICRO","PUBLISHED","2010","EUR","SWE","84","84.00000","","",""
"GASPTICRO","PUBLISHED","2010","SEAR","THA","720","720.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","TON","4","4.00000","","",""
"GASPTICRO","PUBLISHED","2010","AMR","USA","5693","5693.00000","","",""
"GASPTICRO","PUBLISHED","2010","AMR","VEN","14","14.00000","","",""
"GASPTICRO","PUBLISHED","2010","WPR","VNM","54","54.00000","","",""
"GASPTICRO","PUBLISHED","2011","AMR","ARG","351","351.00000","","",""
"GASPTICRO","PUBLISHED","2011","WPR","AUS","4106","4106.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","AUT","106","106.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","BEL","110","110.00000","","",""
"GASPTICRO","PUBLISHED","2011","WPR","BRN","295","295.00000","","",""
"GASPTICRO","PUBLISHED","2011","SEAR","BTN","244","244.00000","","",""
"GASPTICRO","PUBLISHED","2011","AMR","CAN","3360","3360.00000","","",""
"GASPTICRO","PUBLISHED","2011","AMR","CHL","743","743.00000","","",""
"GASPTICRO","PUBLISHED","2011","WPR","CHN","1349","1349.00000","","",""
"GASPTICRO","PUBLISHED","2011","AMR","CUB","33","33.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","CYP","110","110.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","DEU","108","108.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","DNK","145","145.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","ESP","100","100.00000","","",""
"GASPTICRO","PUBLISHED","2011","WPR","FJI","17","17.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","FRA","109","109.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","GBR","251","251.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","GRC","100","100.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","HUN","13","13.00000","","",""
"GASPTICRO","PUBLISHED","2011","SEAR","IDN","6","6.00000","","",""
"GASPTICRO","PUBLISHED","2011","SEAR","IND","53","53.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","IRL","64","64.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","ITA","99","99.00000","","",""
"GASPTICRO","PUBLISHED","2011","WPR","JPN","441","441.00000","","",""
"GASPTICRO","PUBLISHED","2011","WPR","KOR","64","64.00000","","",""
"GASPTICRO","PUBLISHED","2011","SEAR","LKA","38","38.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","LVA","28","28.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","MLT","13","13.00000","","",""
"GASPTICRO","PUBLISHED","2011","SEAR","MMR","40","40.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","NLD","217","217.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","NOR","77","77.00000","","",""
"GASPTICRO","PUBLISHED","2011","WPR","NZL","317","317.00000","","",""
"GASPTICRO","PUBLISHED","2011","EMR","PAK","82","82.00000","","",""
"GASPTICRO","PUBLISHED","2011","WPR","PHL","34","34.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","POL","92","92.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","PRT","109","109.00000","","",""
"GASPTICRO","PUBLISHED","2011","AMR","PRY","24","24.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","ROU","26","26.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","RUS","423","423.00000","","",""
"GASPTICRO","PUBLISHED","2011","WPR","SGP","160","160.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","SVK","113","113.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","SVN","19","19.00000","","",""
"GASPTICRO","PUBLISHED","2011","EUR","SWE","105","105.00000","","",""
"GASPTICRO","PUBLISHED","2011","SEAR","THA","689","689.00000","","",""
"GASPTICRO","PUBLISHED","2011","AMR","USA","5467","5467.00000","","",""
"GASPTICRO","PUBLISHED","2011","AMR","VEN","6","6.00000","","",""
"GASPTICRO","PUBLISHED","2011","WPR","VNM","75","75.00000","","",""
"GASPTICRO","PUBLISHED","2011","AFR","ZAF","120","120.00000","","",""
"GASPTICRO","PUBLISHED","2011","AFR","ZWE","57","57.00000","","",""
"GASPTICRO","PUBLISHED","2012","AMR","ARG","404","404.00000","","",""
"GASPTICRO","PUBLISHED","2012","WPR","AUS","4718","4718.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","AUT","107","107.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","BEL","107","107.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","BLR","75","75.00000","","",""
"GASPTICRO","PUBLISHED","2012","AMR","CAN","3036","3036.00000","","",""
"GASPTICRO","PUBLISHED","2012","AMR","CHL","767","767.00000","","",""
"GASPTICRO","PUBLISHED","2012","WPR","CHN","1236","1236.00000","","",""
"GASPTICRO","PUBLISHED","2012","AMR","COL","65","65.00000","","",""
"GASPTICRO","PUBLISHED","2012","AMR","CUB","60","60.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","CYP","3","3.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","DEU","106","106.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","DNK","114","114.00000","","",""
"GASPTICRO","PUBLISHED","2012","AMR","DOM","4","4.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","ESP","105","105.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","FRA","110","110.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","GBR","262","262.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","GRC","68","68.00000","","",""
"GASPTICRO","PUBLISHED","2012","EUR","HUN","79","79.00000","","",""
"GASPTICRO","PUBLISHED","2012","SEAR","IND","88","88.00000","","",""
