"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","ARE","GHE000","29,298","29298.23047","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","ARE","GHE001","2,985","2985.30811","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","ARE","GHE060","23,385","23384.50977","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EMR","ARE","GHE151","2,928","2928.41309","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EMR","ARE","GHE000","25,546","25546.00977","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EMR","ARE","GHE001","2,588","2588.20605","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EMR","ARE","GHE060","20,714","20714.08008","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EMR","ARE","GHE151","2,244","2243.72095","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","ARG","GHE000","29,479","29479.24023","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","ARG","GHE001","4,348","4348.22021","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","ARG","GHE060","21,592","21591.51953","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","ARG","GHE151","3,540","3539.50293","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","ARG","GHE000","26,808","26808.17969","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","ARG","GHE001","3,706","3706.05298","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","ARG","GHE060","20,093","20092.77930","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","ARG","GHE151","3,009","3009.35400","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","ARM","GHE000","35,104","35104.42969","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","ARM","GHE001","4,956","4955.84424","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","ARM","GHE060","27,207","27206.73047","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","ARM","GHE151","2,942","2941.86011","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","ARM","GHE000","35,083","35083.03125","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","ARM","GHE001","3,719","3719.04590","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","ARM","GHE060","28,090","28089.73047","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","ARM","GHE151","3,274","3274.25708","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","AUS","GHE000","20,785","20785.41992","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","AUS","GHE001","1,333","1332.55396","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","AUS","GHE060","16,782","16782.11914","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","AUS","GHE151","2,671","2670.75195","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","AUS","GHE000","17,696","17695.91992","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","AUS","GHE001","1,161","1161.32202","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","AUS","GHE060","14,458","14458.09961","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","AUS","GHE151","2,076","2076.49707","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","AUT","GHE000","22,536","22536.44922","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","ALB","GHE151","3,508","3508.06592","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","ALB","GHE060","23,098","23097.84961","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","ALB","GHE001","3,297","3296.95605","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","ALB","GHE000","29,903","29902.86914","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","ALB","GHE151","4,837","4836.89014","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","ALB","GHE060","27,014","27014.25000","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","ALB","GHE001","5,068","5067.86816","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","ALB","GHE000","36,919","36919.01172","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","AGO","GHE151","8,858","8858.25586","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","AGO","GHE060","32,236","32236.11914","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","AGO","GHE001","52,615","52614.98828","","",""
