"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"GDO_q11x2x1","PUBLISHED","2017","EMR","QAT","Not applicable","","","",""
"GDO_q11x2x1","PUBLISHED","2017","AFR","TGO","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","AMR","DOM","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","SEAR","BGD","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","EUR","ITA","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","SEAR","MMR","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","WPR","JPN","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","EUR","NLD","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","AFR","MUS","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","AMR","CHL","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","EMR","JOR","not applicable","","","",""
"GDO_q11x2x1","PUBLISHED","2017","EMR","TUN","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","EUR","FRA","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","EUR","SWE","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","WPR","AUS","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","AFR","SWZ","not applicable","","","",""
"GDO_q11x2x1","PUBLISHED","2017","SEAR","MDV","Not applicable","","","",""
"GDO_q11x2x1","PUBLISHED","2017","WPR","FJI","not applicable","","","",""
"GDO_q11x2x1","PUBLISHED","2017","EUR","CHE","Yes","","","",""
"GDO_q11x2x1","PUBLISHED","2017","EUR","HUN","No","","","",""
"GDO_q11x2x1","PUBLISHED","2017","AMR","CRI","Yes","","","",""
